C0000731  ABDOMINAL DISTENTION
C0424438  Preference for temperature of drink
C0424444  Clenching teeth
C0424481  Symmetry of mandible
C0424482  Lip observation
C0424484  Lower lip low
C0424485  Lips everted
C0424487  Lips habitually held together
C0424488  Lip line
C0424718  Prominent maxilla
C0424721  Temporomandib joint deformity
C0424806  Breath normal
C0424821  Subling saliv gland swelling
C0424822  Submand saliv gland swelling
C0424823  Parotid swelling
C0424824  Abd. distension symptom NOS
C0424855  Pressure indents rectal mass
C0424869  Chewing symptom NOS
C0424870  Feeding problem symptom
C0424871  Feeds normally
C0424872  Feeding problem due to illness
C0425409  Regularly eats 3 meals/day
C0425410  Irregular meal times
C0425411  Irregular meal frequency
C0425412  Usually has breakfast
C0425413  Rarely has breakfast
C0425414  Eats snacks frequently
C0425416  Spouse cooks food
C0425417  Cooks for himself or herself (finding)
C0425418  Eats in restaurants
C0425419  Eats in cafe or canteen (finding)
C0425420  Eats in fast food outlets
C0425421  Eats junk food ++
C0425455  Choking during respiration
C0425554  Hiccough present
C0425669  Abdominal aortic bruit
C0426364  Diffic initiat bladder empty
C0426365  Must strain to pass urine
C0426366  Must adopt partic posture urin
C0426462  Nasopharynx observation
C0426464  Remnant adenoids
C0426468  Bleeding from back of nose
C0426476  Absent maxilla
C0426480  Mouth and pharynx observations
C0426483  Throat examination - normal
C0426488  Sucking calluses on mouth
C0426489  Cleft gum
C0426490  Tongue observation
C0426492  Small tongue
C0426493  Symmetry of tongue
C0426494  Wasting of tongue
C0426495  Surface of tongue
C0426496  Large fungiform papillae
C0426497  Large circumvallate papillae
C0426499  Beefy red tongue
C0426500  Frenulum of tongue observation
C0426501  Short frenulum of tongue
C0426502  Split frenulum of tongue
C0426503  Palate observations
C0426504  Previous cleft palate repair
C0426505  Pharyngeal observations
C0426506  Tonsil observations
C0426509  Tonsils meet in middle
C0426510  Tonsillar remnants
C0426511  Postnas disch post wall pharnx
C0426512  Lymph follicles post pharynx
C0426513  Oral mucosa observation
C0426515  White patches on oral mucosa
C0426516  White traceries on oral mucosa
C0426517  Oral pigmentation
C0426518  Coating of oral mucosa
C0426519  Deposits on oral mucosa
C0426520  Food deposits on oral mucosa
C0426521  Hyperkeratosis of oral mucosa
C0426522  Gingivae observation
C0426523  Deposit on gingivae
C0426524  Discharge from gums
C0426525  Accumulation debris under gums
C0426526  Bleeding in mouth or pharynx
C0426527  Bleeding of oral mucosa
C0426528  Contact bleeding of gums
C0426530  Bleeding from fauces
C0426532  Bleeding from tonsillar bed
C0426533  Salivary observation
C0426534  Lack of salivation
C0426535  Salivary gland observation
C0426536  Salivary duct observation
C0426537  Discharge from salivary duct
C0426566  Supraglottic atrophy
C0426567  Infantile epiglottis
C0426572  Bleeding from larynx
C0426573  Digestive system observation
C0426578  Appetite normal
C0426581  No interest in food
C0426582  Can't face food
C0426584  APPETITE EXAGGERATED
C0426585  Always hungry
C0426587  Altered appetite
C0426591  Less thirsty
C0426592  Little thirst
C0426593  Defective thirst mechanism
C0426603  Swallow with tongue-lip contct
C0426605  Difficulty swallowing liquids
C0426606  Difficulty swallowing solids
C0426607  Food gets stuck in throat
C0426609  Unable to initiate swallowing
C0426610  Choking attacks
C0426611  Food comes down nose
C0426612  Drink comes down nose
C0426614  Constant desire to swallow
C0426618  Bloodstained vomit
C0426620  Effortless vomiting
C0426622  Excessive flatus excretion
C0426625  Noises in abdomen
C0426628  Passing loud flatus
C0426629  Passing offensive flatus
C0426630  Involuntary passage flatulence
C0426634  No indigestion
C0426635  Desire for stool
C0426637  Lacking desire for stool
C0426638  Not constipated
C0426641  Self-induced purging
C0426642  Frequency of bowel action
C0426644  Unaware of passing flatus
C0426645  Loss awareness need defaecate
C0426646  Unabl distinguish stool-flatus
C0426647  Passage of meconium
C0426648  Failure to pass meconium
C0426654  Irregular abdominal contour
C0426657  Patulous umbilicus
C0426658  Protruding umbilicus
C0426659  Sunken umbilicus
C0426672  Visible abdominal pulsation
C0426674  Abdomen hyper-resonant
C0426675  Abdomen tympanitic
C0426679  Puddle sign
C0426680  Dipping over liver
C0426681  Dipping over spleen
C0426682  Fluid thrill
C0426684  Bowel observation
C0426686  Liver observation
C0426689  Liver edge
C0426690  Liver edge palpable
C0426691  Liver edge palpable inspiratn
C0426694  Gallbladder Palpable
C0426699  Tip of spleen palpable
C0426700  Splenic notch palpable
C0426701  Spleen palpable on inspiration
C0426702  Spleen palpable R lat position
C0426712  Splenic rub detected
C0426713  Succussion splash - abdomen
C0426714  Bowel sounds tinkling
C0426715  Abdominal venous hum
C0426716  Bruit over liver
C0426717  Bruit over kidney
C0426719  Inguinal canal empty
C0426721  Cough impuls in inguinal canal
C0426722  Rectum observation
C0426723  Contents of rectum
C0426724  Empty rectum
C0426725  Ballooning of rectum
C0426726  Full rectum
C0426728  Ulcer of rectal mucosa
C0426741  Meconium stool
C0426742  Starvation stool
C0426743  Breast milk stool
C0426745  Worms in stool
C0426746  Anal observations
C0426748  Anal verge observation
C0426749  Thickened anal verge
C0426750  Anal verge defect
C0426751  Anal mucosa observation
C0426752  Sentinel pile
C0426754  Anus patent
C0426756  Irreg dilated anal orifice
C0426757  Patulous anus - appearance
C0426758  Anal sphincter observation
C0426760  Intact anal sphincter
C0426761  Damaged anal sphincter
C0426762  Healed tear of anal sphincter
C0426764  Anal sphincter squeeze tone
C0426765  Anal sphincter tone absent
C0426766  Weak anal sphincter
C0426767  Reflex dilation of anus
C0426770  Anal canal observation
C0426771  Eversion of anal canal
C0426772  Anorectal vessel observation
C0426773  Perianal venous dilatation
C0426774  Reducibility of prolapsed pile
C0426776  Discharge from anus
C0426985  Increased protrusion of tongue
C0426986  Lat deviatn tongue on protrusn
C0426987  Trombone tongue
C0426988  Constant movement of tongue
C0426989  Ruminating movements of tongue
C0426992  Drooping of soft palate
C0426994  Deviation of uvula
C0426995  Poor elevation soft palate
C0427814  Vomit: frank blood present
C0427816  Vomit: faeculant
C0429136  Dental investigat observations
C0429168  Oral inflam sinus trac patency
C0429170  Caries active
C0429171  Caries inactive
C0429172  Susceptible to caries
C0429173  Not susceptible to caries
C0429214  GI test observations
C0429945  Dependent for feeding
C0429946  Needs help with feeding
C0429947  Independent feeding
C0429951  Bowel assessment observations
C0429956  Fecal continence
C0431579  Dysmotility of stomach
C0433715  Ecchymosis of oral cavity
C0433716  Ecchymosis of palate
C0433717  Ecchymosis of gingivae
C0433718  Ecchymosis of tongue
C0433719  Ecchymosis of floor of mouth
C0433720  Ecchymosis of buccal mucosa
C0433721  Ecchymosis intraorl surfac lip
C0433722  Ecchymosis of oral alveo mucos
C0433737  Ecchymosis of oropharynx
C0436551  C/O - low back pain
C0436555  C/O pelvic pain
C0436572  O/E - cachexic
C0436658  O/E - salivary glands
C0436659  O/E - salivary glands - NAD
C0436660  O/E - parotid swelling
C0436661  O/E - submandibular swelling
C0436662  O/E - sublingual swelling
C0436732  O/E - chest PN tympanitic
C0436865  O/E - gastrointestinal
C0436866  O/E - lips
C0436867  O/E - lips examined - NAD
C0436868  O/E - dry/cracked lips
C0436869  O/E - angular stomatitis
C0436871  O/E - mouth - NAD
C0436872  O/E - salivation excess
C0436873  O/E - mouth ulcer
C0436874  O/E - mouth - Koplik's spots
C0436875  O/E - mouth - purpuric spots
C0436876  O/E - dental examination
C0436877  O/E - teeth - NAD
C0436878  O/E - dental caries
C0436879  O/E - poor dental hygiene
C0436880  O/E - false teeth
C0436881  On examination - ill-fitting false teeth
C0436882  O/E - gums
C0436883  O/E - gums normal
C0436884  O/E - gingivitis
C0436885  O/E - blue gum line
C0436886  O/E - hypertrophy of gums
C0436887  O/E - tongue
C0436888  O/E - tongue - NAD
C0436889  O/E - dry tongue
C0436890  O/E - furred tongue
C0436891  O/E - glossitis
C0436892  O/E - macroglossia
C0436893  O/E - fissured tongue
C0436894  O/E - ulcer on tongue
C0436895  O/E - leukoplakia on tongue
C0436896  O/E - breath smell
C0436897  O/E - breath smell normal
C0436898  O/E - breath smell unpleasant
C0436899  O/E - bad breath
C0436900  O/E - breath sweet - acetone
C0436901  O/E - breath musty - hepatic
C0436902  O/E - alcoholic breath
C0436910  O/E - abd. wall movement NOS
C0436911  O/E - abd. wall moves normally
C0436912  O/E - abd. movement diminished
C0436914  O/E - abd. wall contour NOS
C0436916  O/E - uniform abd. swelling
C0436917  O/E - irregular abd. contour
C0436918  O/E - intra-abd. movement NOS
C0436920  O/E - visible abd. peristalsis
C0436922  O/E - abdo. pain on palpation
C0436924  O/E - abd.pain-R.hypochondrium
C0436925  O/E - abd. pain - epigastrium
C0436926  O/E - abd.pain-L.hypochondrium
C0436927  O/E - abd. pain - R.lumbar
C0436929  O/E - abd. pain - L.lumbar
C0436930  O/E - abd. pain - R.iliac
C0436931  O/E - abd. pain - hypogastrium
C0436932  O/E - abd. pain - L.iliac
C0436933  O/E - guarding of abdomen
C0436935  O/E - guarding-R.hypochondrium
C0436936  O/E - guarding - epigastrium
C0436937  O/E - guarding-L.hypochondrium
C0436938  O/E - guarding - R.lumbar
C0436939  O/E - guarding - umbilical
C0436940  O/E - guarding - L.lumbar
C0436941  O/E - guarding - R.iliac
C0436942  O/E - guarding - hypogastrium
C0436943  O/E - guarding - L.iliac
C0436944  O/E - rebound tenderness
C0436946  O/E - rebound-R.hypochondrium
C0436947  O/E - rebound - epigastrium
C0436948  O/E - rebound-L.hypochondrium
C0436949  O/E - rebound - R.lumbar
C0436950  O/E - rebound - umbilical
C0436951  O/E - rebound - L.lumbar
C0436952  O/E - rebound - R.iliac
C0436953  O/E - rebound - hypogastrium
C0436954  O/E - rebound - L.iliac
C0436958  O/E - liver palpated
C0436960  O/E - liver edge palpable
C0436961  O/E -liver moderately enlarged
C0436962  O/E - liver grossly enlarged
C0436963  O/E - liver character
C0436964  O/E - liver character normal
C0436965  O/E - liver soft
C0436966  O/E - liver firm
C0436967  O/E - liver very hard
C0436968  O/E - liver grossly irregular
C0436969  O/E - liver finely irregular
C0436970  O/E - liver smooth
C0436972  O/E - liver tender
C0436973  O/E - liver pulsatile
C0436974  O/E - gallbladder palpated
C0436977  O/E - gallbladder mod enlarged
C0436978  O/E - gallbladder v enlarged
C0436979  O/E - gallbladder irregular
C0436980  O/E - gallbladder smooth
C0437001  O/E - ascites
C0437003  O/E - ascites - dipping shown
C0437004  O/E-ascites-fluid thrill shown
C0437005  O/E -ascites-shifting dullness
C0437006  O/E -hernial orifices examined
C0437008  O/E - reducible hernia
C0437009  O/E - irreducible hernia
C0437010  O/E - strangulated hernia
C0437011  O/E-hernia-cough impulse shown
C0437012  O/E-hernia descends to scrotum
C0437017  O/E - PR - rectal mass
C0437019  O/E - PR - rectum empty
C0437020  O/E - percussion of abdomen
C0437021  O/E-percussion of abdomen NAD
C0437022  O/E - tympany over abd. mass
C0437023  O/E - dullness over abd. mass
C0437026  O/E - bowel sounds absent
C0437027  O/E - bowel sounds exaggerated
C0437028  O/E - tinkling bowel sounds
C0437029  O/E - succussion splash
C0437452  O/E-pharyngeal(gag) reflex -ve
C0437459  O/E - defaec.ref.abn.-constip.
C0437460  O/E -defaec.ref-spurious diar.
C0437465  O/E - taste sensation
C0437466  O/E - taste sensation normal
C0437467  O/E -taste loss ant.2/3 tongue
C0437468  O/E-taste loss post 1/3 tongue
C0437482  O/E - uvula movement normal
C0437483  O/E - uvula deviated left
C0437484  O/E - uvula deviated right
C0437634  O/E - spleen enlarged
C0437636  O/E - spleen just palpable
C0437637  O/E - moderate splenomegaly
C0437638  O/E - gross splenomegaly
C0437639  O/E - painful splenomegaly
C0437660  O/E - adenoid hypertrophy
C0437704  O/E - follicular tonsillitis
C0437705  O/E - pharynx
C0437706  O/E - granular pharyngitis
C0437716  O/E - hoarseness
C0438012  O/E: gallstone
C0438013  O/E: cholesterol gallstone
C0438014  O/E: pigment gallstone
C0438021  O/E - salivary calculus
C0438022  O/E - parotid calculus
C0438121  GIT examined - NAD
C0438197  Special GIT test normal
C0438198  Special GIT test abnormal
C0438237  LIVER ENZYME ABNORMAL
C0438922  Soiling - encopresis (finding)
C0439036  C/O - loss of taste sense
C0439039  C/O - vomiting
C0451792  Deliv viab fetus in abdom preg
C0455647  H/O: liver recipient
C0455740  Eats between meals
C0455788  Mouth observations
C0455811  Stomach observation
C0455882  Bowel sounds quiet
C0455883  Bowel sounds loud
C0455884  Bowel sounds intermittent
C0455885  Bowel sounds continuous
C0455890  Small stool
C0455891  Stool like rabbit's
C0455892  Food in stool
C0455893  Pile easily reducible
C0455894  Pile difficult to reduce
C0455895  Pile cannot be reduced
C0455898  Has passed meconium
C0455899  Red throat
C0455900  Moist mouth
C0455901  Small tonsils
C0455902  Healthy tonsils
C0455934  Small adenoids
C0455938  Large adenoids
C0455945  Some dental plaque
C0455946  Teeth covered in plaque
C0455953  Gaping of patulous anus
C0456001  Chylous ascites of newborn
C0456014  Newborn ingest of matern blood
C0456138  Incoord swallowing in newborn
C0456139  Choking in newborn
C0456140  Infant not tolerating feeds
C0456141  Poor feeding of newborn
C0456505  Periumbilical flare
C0456552  Absent adenoids
C0456568  Vocal cords erythematous
C0456569  Supraglottic observations
C0456575  Supraglottic erythema
C0457233  Herpetic vesicle in vagina
C0457430  Oral airway observation
C0457637  Dental appl/restoration observ
C0457639  Good oral hygiene
C0457640  Poor oral hygiene
C0457641  Tooth observation
C0457642  Dental restoration observation
C0457643  Dental appliance observation
C0457644  Dental restoration present
C0457645  Dental restoration lost
C0457647  Broken dental restoration
C0457648  Dent restoration surface rough
C0457649  Deficient dental restoration
C0457650  Loose dental restoration
C0457651  Dental filling present
C0457652  Dental inlay present
C0457653  Dental crown present
C0457654  Dental veneer present
C0457655  Dental bridge present
C0457656  AF - Dental amalgam filling present
C0457657  Dental comp filling present
C0457658  Dent glass-ionom fill present
C0457659  Dental filling fallen out
C0457660  Dental inlay fallen out
C0457661  Dental crown fallen out
C0457662  Dental bridge fallen out
C0457663  Dental veneer fallen off
C0457664  Dental post crown fallen out
C0457669  Dental crown incorrect shade
C0457670  Dental crown too bulky
C0457671  Dental crown too wide
C0457672  Dental crown too narrow
C0457673  Dental crown too dark
C0457674  Dental crown too light
C0457675  Dental veneer incorrect shade
C0457676  Dental veneer too bulky
C0457677  Dental veneer too wide
C0457678  Dental veneer too narrow
C0457679  Dental veneer too dark
C0457680  Dental veneer too light
C0457681  Dental bridge incorrect shade
C0457682  Dental bridge too bulky
C0457683  Dental bridge too wide
C0457684  Dental bridge too narrow
C0457685  Dental bridge too light
C0457686  Dental bridge too dark
C0457687  Fractured dental filling
C0457688  Fractured dental inlay
C0457689  Fractured dental crown
C0457690  Fractured dental veneer
C0457691  Fractured dental bridge
C0457692  Dental filling surface rough
C0457693  Dental inlay surface rough
C0457694  Dental crown surface rough
C0457695  Dental veneer surface rough
C0457696  Dental bridge surface rough
C0457697  Leaking dental filling
C0457698  Leaking dental crown
C0457699  Leaking dental veneer
C0457700  Leaking dental bridge
C0457701  Loose dental filling
C0457702  Loose dental crown
C0457703  Loose dental veneer
C0457704  Loose dental bridge
C0457705  Maxillofacial prosthesis obs
C0457706  Orthodontic appliance observat
C0457707  Maxillofacial prosth present
C0457709  Maxillofacial prosthesis lost
C0457711  Denture surface
C0457712  Fit of maxillofacial prosth
C0457714  Denture present
C0457715  Broken denture
C0457716  Tooth fallen off denture
C0457717  Broken denture clasp
C0457718  Denture lost
C0457719  Denture occlusion incorrect
C0457720  Patient unabl eat with denture
C0457721  Patient unab chew with denture
C0457722  Patient unab bite with denture
C0457723  Pat unabl wear maxillofac pros
C0457724  Patient unabl wear false teeth
C0457725  Denture surface rough
C0457726  Denture surface sharp
C0457727  Maxillofacial prosthesis loose
C0457728  Denture rocks
C0457729  Denture loose
C0457730  Denture teeth incorrect shade
C0457731  Denture teeth show too much
C0457732  Denture teeth show too little
C0457733  Denture teeth too wide
C0457734  Denture teeth too big
C0457735  Denture teeth too small
C0457736  Denture too bulky
C0457737  Denture too small
C0457738  Denture teeth too dark
C0457739  Denture teeth too light
C0457740  Broken orthodontic appliance
C0457741  Patient unable to eat wth orthodontic appliance
C0457742  Patient unable to chew with orthodontic appliance
C0457743  Patient unable to wear orthodontic appliance
C0457744  Orthodontic appliance loose
C0457745  Broken orthodontic appl compon
C0457746  Orthodontic bracket fallen off
C0457747  Orthodontic band fallen off
C0457748  No dental decay
C0457750  Tooth angulation
C0457751  TTP - Tooth tender to percussion
C0457752  Dental occlusion observation
C0457754  PE - Tooth partially erupted
C0457755  Tooth present
C0457756  Tooth absent
C0457757  Incisor tooth inclination
C0457758  Incisor tooth angulation
C0457759  Canine tooth angulation
C0457760  Buccal tooth inclination
C0457761  Interincisal teeth angle
C0457762  Proclined incisor tooth
C0457763  Retroclined incisor tooth
C0457764  Incisor tooth angulat - mesial
C0457765  Incisor tooth angulat - distal
C0457766  Canine tooth angulat - mesial
C0457767  Canine tooth angulat - distal
C0457768  Buccal tooth inclinat - buccal
C0457769  Bucc tooth inclin - palat-ling
C0457770  Interincis teeth angle - incr
C0457771  Interincis teeth angle - reduc
C0457772  Dental midline correct
C0457773  Dent midline coincid & correct
C0457776  Functional occlusion
C0457777  Canine guided functional occlusion
C0457778  Group functional occlusion
C0457779  Anterior guided funct occlus
C0457780  Non-work interfer funct occl
C0473123  Omental haematoma
C0473124  Perinephric haematoma
C0474365  Sensation as if diarrhea will start
C0474423  Eating behavior and appetite
C0474494  Gray line on gums
C0474499  Unaware of passing faeces
C0474502  Gen abdom dullness percussion
C0474503  Local abdom dullness percuss'n
C0474505  Faeces in rectum
C0474508  Floating faeces
C0474509  Faeces normal
C0474510  Faeces symptom
C0474518  Funneled anus
C0474573  Faeces pH: normal
C0474579  Faeces colour: normal
C0474583  Faeces colour: green
C0474594  Faeces examination - odour
C0474595  Faeces odour: normal
C0474600  Faeces consistency: normal
C0474608  Faeces quantity: normal
C0474610  Faeces quantity: sparse
C0474613  Faeces:no abnormal constituent
C0474614  Faeces: fresh blood present
C0474615  Faeces: mucous present
C0474616  Faeces:red currant jelly stool
C0474617  Faeces: undigested food
C0474618  Faeces: undigested meat fibres
C0474619  Faeces: pus present
C0474620  Faeces: abnorm.constituent NOS
C0474623  Faeces: parasite present
C0474632  Faeces: pancreas effect normal
C0474637  Faecal tryptic activity normal
C0474694  Faecal reducing subs. abnormal
C0474698  Faecal fat excessive
C0474979  Foreign body in caecum
C0474999  Salivary gland haematoma
C0475100  O/E - jaundiced
C0475122  O/E - discolored teeth
C0475123  O/E - pyorrhea
