C0000727  Abdomen, Acute
C0426590  Thirst symptom
C0426595  Cannot stop drinking
C0426601  Swallowing symptom NOS
C0426623  Excessive flatulence
C0426631  Unable to break wind
C0426632  Flatulent dyspepsia
C0426639  Incomplete bowel evacuation
C0426640  Infrequent bowel action
C0426649  Bowel spasm
C0426768  O sign
C0426769  Anal twitching
C0429220  GI sensation altered
C0429221  GI sensation unchanged
C0429222  GI symptoms reproduced
C0429955  Bowels: occasional accident
C0439019  C/O - ureteric colic
C0439040  C/O - loin pain
C0439042  C/O - renal pain
C0451633  Sore lip
C0455968  Encopresis symptom
C0455981  C/O - ureteric pain
C0457558  Anal symptoms
C0457950  Acute back pain - lumbar
C0458116  Lumbar trigger point syndrome
C0472514  Edema of uvula
C0473129  Diarrhea following gastrointestinal surgery
C0473131  Diarrhea due to ingestion of unabsorbable substances
C0473136  Neuromyopathic faecal incont
C0473137  Congenital faecal incontinence
C0474495  Constipation alternates with diarrhea
C0474496  D&V - Diarrhea and vomiting
C0474500  Faecal discharge
C0474507  Floating faeces symptom
C0474511  Worms in faeces symptom
C0474512  Blood in faeces symptom
C0474517  Tire sign
C0474585  Black stools
C0476288  Digestive system symptoms
C0476289  GAS PAIN
C0476305  Hypochondrial pain
C0476311  [D]Umbilical swelling (context-dependent category)
C0495462  Neonatal difficulty in feeding at breast
C0495671  Flatulence and related conditions
C0520559  Numbness of tongue
C0520904  Postoperative nausea
C0520905  Postoperative vomiting
C0520906  Increased nausea and vomiting
C0520907  Decreased nausea and vomiting
C0520909  Postoperative nausea and vomiting
C0521588  Abnormal jaw movement, NOS
C0521591  MOUTH PARESTHESIA
C0521592  Oral hypoaesthesia
C0522058  Carbohydrate craving
C0522061  Localized abdominal pain
C0522062  Ulcer-type pain
C0522067  Liver pain
C0522069  Pancreatic sign, NOS
C0522070  Pancreatic symptom, NOS
C0522071  Pancreatalgia
C0541938  EPIGASTRIC BURNING
C0541976  GAS IN STOMACH
C0548823  DISTRESS GASTROINTESTINAL
C0554107  Appendicular pain
C0555074  Regurgitates food
C0558921  [D]Rectal symptoms (context-dependent category)
C0558944  [D]Choking due to airways obstruction (context-dependent category)
C0559208  Anal stump pain
C0559537  Perineal irritation
C0559687  Congestion of pharynx
C0563234  Painful tooth socket
C0563276  Left sided abdominal pain
C0563277  Right sided abdominal pain
C0574984  Temporomandibular joint laxity
C0575010  Stiff temporomandibular joint
C0575014  Lumbar spine stiff
C0576789  Dribbling from one side mouth
C0577100  Difficult defecation
C0577105  Decreased defecation
C0577115  Decreased consistency of stools
C0577158  Cullen's sign positive (context-dependent category)
C0577565  Mass of oral cavity
C0577566  Mass of digestive structure
C0577589  Swelling of oral cavity struct
C0577660  Postural low back pain
C0578051  Pain of oral cavity structure
C0578052  Pain of digestive structure
C0578057  Right hypochondrial pain
C0578058  Left hypochondrial pain
C0578082  Tenderness of oral cav struct
C0578083  Tenderness of digestive struct
C0578093  Tenderness of epigastrium
C0578094  Tenderness R hypochondrium
C0578095  Tenderness L hypochondrium
C0578096  Tenderness of central region
C0578097  Tenderness of right lumbar
C0578098  Tenderness of left lumbar
C0578099  Tenderness of hypogastrium
C0578101  LIF - Tenderness L iliac fossa
C0578102  Rebound tenderness epigastrium
C0578105  Rebound tendern centr region
C0578106  Rebound tendern R lumbar
C0578107  Rebound tenderness L lumbar
C0578108  Rebound tendern hypogastrium
C0578109  RIF-Rebnd tendern R iliac foss
C0578110  LIF-Rebnd tendern L iliac foss
C0578994  Bad taste in mouth
C0581295  [D]Swelling of mandibular region (context-dependent category)
C0581358  Gastric spasm (disorder)
C0581362  Anorectal pain
C0581867  Tongue symptoms
C0581868  Peptic ulcer symptoms
C0581869  Abdominal wall pain
C0581870  Hunger pangs
C0587223  Abdominal pain in pregnancy
C0589386  [D]Nonspecific abdominal pain (context-dependent category)
C0596601  Gas
C0687713  GI PAIN
C0694551  RLQ ABDOMINAL PAIN
C0700184  Irritation of the throat, NOS
C0740432  Stomach fullness
C0740577  Acute abdominal pain
C0740584  diffuse abdominal pain
C0743317  chronic difficulty swallowing (symptom)
C0744288  GASTRIC CONTENT COFFEE GROUND
C0744289  GASTRIC CONTENT REDDISH BROWN
C0744876  Hepatomegaly tenderness
C0745015  HOARSENESS CHRONIC
C0745742  LIVER DAMAGE SIGN
C0746637  MOUTH BLOOD ON WAKING
C0746643  MOUTH SENSATION ABNORMAL
C0746779  chronic nausea (symptom)
C0747510  PERIODONTAL BLEEDING
C0749579  TONGUE CRACKING PAIN
C0750316  VOMIT APPEARANCE BILIOUS
C0750317  VOMIT APPEARANCE BLOOD STREAKED
C0750318  VOMIT APPEARANCE BROWN
C0750319  VOMIT APPEARANCE COFFEE GROUND
C0750320  VOMIT APPEARANCE DARK
C0750321  VOMIT CHRONIC INTERMITTENT
C0750323  Intractable vomiting
C0750325  VOMIT RECURRENT
C0847554  lump in throat
C0849747  regurgitation with acid (symptom)
C0849819  change in stool
C0849835  lip bleeding (physical finding)
C0877384  lip pale (physical finding)
C0877488  tenderness of lip
C0877495  tingling of tongue (symptom)
C0877717  burning sensation in mouth (symptom)
C0878638  tongue abnormalities
C1168325  VOMIT POSTPRANDIAL
C1262535  Jaundice, hepatocellular
C1280008  INTESTINAL ANGINA
C1281941  abdominal early pain pregnancy
C1282002  Abdominal pain - cause unknown (finding)
C1282322  acute pelvic pain
C1290643  Extrinsic staining of teeth associated with inadequate oral hygiene (disorder)
C1290644  Extrinsic staining of teeth associated with oral habits (disorder)
C1290771  edema of oral vestibule
C1291077  Bloating
C1291078  Epigastric discomfort
C1299637  Colicky hypogastric pain (finding)
C1300119  Generalised colicky abdominal pain
C1302160  Uncompensated swallowing impairment
C1319537  O/E - right eye background diabetic retinopathy (disorder)
C1319538  O/E - left eye background diabetic retinopathy (disorder)
C1319539  O/E - right eye preproliferative diabetic retinopathy (disorder)
C1319540  O/E - left eye preproliferative diabetic retinopathy (disorder)
C1319541  O/E - right eye proliferative diabetic retinopathy (disorder)
C1319542  O/E - left eye proliferative diabetic retinopathy (disorder)
C1319543  O/E - right eye diabetic maculopathy (disorder)
C1319544  O/E - left eye diabetic maculopathy (disorder)
C1321663  Colonic constipation
C1321898  Blood in stool
C1333310  Disturbance in Bowel Function
C1386209  breath; fetid
C1388945  atonic; dyspepsia
C1390877  abdomen; tympany
C1393776  constipation; drug, correct substance properly administered
C1394864  abdominal rigidity; severe abdominal pain
C1395353  diaphragm; spasm
C1395946  dysorexia
C1397829  frequency; micturition, and painful
C1402130  low back; myofasciitis
C1403230  lumbar region; pain
C1404372  mottling of tooth enamel (diagnosis)
C1404807  nephralgia
C1405030  pain; micturition, and frequent
C1405463  feeding; problem, newborn, underfeeding
C1405464  feeding; problem, newborn, overfeeding
C1405465  feeding; problem, newborn, slow
C1407055  feeding; slow
C1407990  ureteralgia
C1408330  renal calculus; colic
C1408558  malnutrition; newborn
C1411946  abdominal; pain, severe
C1443044  bilious; attack
C1443924  Severe diarrhea
C1510416  Coffee ground emesis
C1533286  pain; abdomen, epigastric
C1536047  desquamation of lip
C1536053  TONGUE DESQUAMATION
C1565887  Physiologic jaundice in newborn, NOS
C1579838  Sore mouth
C1611181  stercoral; vomiting
C1704205  Pharyngeal swelling
C1719857  Hepatomegaly associated with AIDS (disorder)
C1740793  Post-tussive vomiting
C1857155  Decreased taste
C1955516  Dysphagia, pharyngeal phase
C1955517  Dysphagia, pharyngoesophageal phase
C1994994  Excessive thirst
C2004489  REGURGITATION
C2008807  frequent heartburn
C2008822  frequent vomiting just after eating
C2008880  frothy saliva (symptom)
C2009901  gagging on food
C2009902  gagging on regurgitated food (symptom)
C2009903  gagging on foreign body (symptom)
C2009904  gagging on vomitus (symptom)
C2012492  gradual onset of abdominal pain
C2012500  lower back pain started gradually
C2012588  gravy-like stools (symptom)
C2012602  swelling of lymph nodes in both sides of groin
C2012603  groin pain progressive with decreased level of activity
C2012604  groin pain progressive with same level of activity (symptom)
C2012605  groin pain radiating to testicle (symptom)
C2012606  radiating groin pain
C2012607  groin pain worsens then abates
C2012694  spots on gums
C2012695  black spots on the gums
C2012696  blue spots on the gums
C2012697  gray spots on gums
C2012698  multiple spots on gums
C2012699  single spot on gums (symptom)
C2012700  white spots on gums
C2012701  gums symptoms (symptom)
C2013427  oral cavity symptoms
C2017441  softly formed stools
C2017774  sore throat comes and goes
C2017775  fluctuating sore throat getting better and worse
C2017776  sore throat getting progressively worse (symptom)
C2017777  sore throat lasting more than two weeks (symptom)
C2017778  sore throat on left side only (symptom)
C2017779  sore throat on right side only (symptom)
C2017780  sore throat radiating to ear (symptom)
C2017781  recurrent sore throat
C2017782  sore throat recurring daily (symptom)
C2017783  sudden onset of sore throat (symptom)
C2017784  sore throat triggered by swallowing (symptom)
C2017785  sore throat worse early AM, late PM
C2017786  sore throat worse in evening (symptom)
C2017787  sore throat worse in AM
C2017788  soreness or pain in salivary gland (symptom)
C2017789  soreness or pain of mouth
C2017790  soreness or pain on left side of mouth (symptom)
C2017791  soreness or pain on right side of mouth
C2017792  soreness or pain on roof of mouth (symptom)
C2017793  soreness or pain of mouth under tongue (symptom)
C2017794  soreness or pain of mouth without visible sores or cuts
C2017795  soreness or pain of tongue
C2017796  soreness or pain of bottom of tongue
C2017797  soreness or pain of left side of tongue
C2017798  soreness or pain of right side of tongue (symptom)
C2017799  soreness or pain of tip of tongue (symptom)
C2017800  soreness or pain of top of tongue (symptom)
C2017801  sores on bottom of tongue (symptom)
C2017802  sores on left side of tongue (symptom)
C2017803  sores on right side of tongue (symptom)
C2017804  sores on tip of tongue (symptom)
C2017805  sores on top of tongue (symptom)
C2019022  spots in mouth (symptom)
C2019023  black spots in mouth (symptom)
C2019024  gray spots in mouth (symptom)
C2019025  multiple spots in mouth (symptom)
C2019026  pink or salmon-colored spots in mouth
C2019027  red spots in the mouth
C2019028  single spot in mouth (symptom)
C2019029  white spots in mouth
C2019533  abdominal pain feels stabbing
C2020356  diffuse back stiffness (symptom)
C2020388  harder or firmer consistency of stool (symptom)
C2020389  looser or softer consistency of stool (symptom)
C2020427  sickly sweet smelling stool (symptom)
C2020448  stool retention with overflow
C2020504  stools formed like round balls (symptom)
C2029945  heartburn after meals (symptom)
C2029946  heartburn related to certain foods caffeine
C2029947  heartburn associated with certain foods (symptom)
C2029948  heartburn related to certain foods fatty foods
C2029949  heartburn related to non-steroidal anti-inflammatory drugs (NSAIDs)
C2029950  heartburn related to certain foods tomatoes
C2029951  heartburn at night in bed (symptom)
C2029952  heartburn causing awakening
C2029953  infrequent heartburn (monthly)
C2029954  heartburn occurs during pregnancy (symptom)
C2029955  heartburn related to alcohol (symptom)
C2029956  heartburn related to anxiety
C2029957  heartburn related to beer (symptom)
C2029958  heartburn related to bending
C2029959  heartburn related to biphosphonates
C2029960  heartburn related to birth control pills
C2029961  heartburn related to body position (symptom)
C2029962  heartburn related to calcium channel blockers (symptom)
C2029963  heartburn related to chocolate (symptom)
C2029964  heartburn related to citrus (symptom)
C2029965  heartburn related to corticosteroids
C2029966  heartburn related to emotions (symptom)
C2029967  heartburn related to exercise (symptom)
C2029968  heartburn related to fear (symptom)
C2029969  heartburn related to iron (symptom)
C2029970  heartburn related to lifting (symptom)
C2029971  heartburn related to nitroglycerin (symptom)
C2029972  heartburn related to peppermint (symptom)
C2029973  heartburn related to red wine (symptom)
C2029974  heartburn related to squatting
C2029975  heartburn related to theophylline (symptom)
C2029976  heartburn related to tight clothing (symptom)
C2029977  heartburn related to vitamins
C2029978  heartburn relieved by antacids
C2029979  heartburn relieved by medication (symptom)
C2029980  heartburn seems related to certain medications
C2029981  heartburn starts with smoking (symptom)
C2029982  heartburn with regurgitation (symptom)
C2032140  pain in back of throat (symptom)
C2032191  pain in left groin (symptom)
C2032252  pain in right groin
C2032305  bilateral flank pain
C2032306  flank pain disproportionate to injury
C2032307  radiating flank pain
C2032308  pain in the flank which radiates to a testicle
C2032332  pain in temporomandibular joints on both sides (symptom)
C2032363  pain in left temporomandibular joint (symptom)
C2032434  pain in right temporomandibular joint
C2032722  pain when defecating
C2032730  painful diarrhea (symptom)
C2032741  mouth sore painless
C2037144  sudden onset of abdominal pain (symptom)
C2037196  lower back pain started suddenly
C2039130  bottom of tongue swollen
C2039131  left side of tongue swollen (symptom)
C2039132  right side of tongue swollen (symptom)
C2039133  tip of tongue swollen (symptom)
C2039134  top of tongue swollen
C2045675  change in the stool character
C2045676  change in stool color
C2046451  breaking hoarseness
C2046452  breathy hoarseness (symptom)
C2046453  catching hoarseness
C2046454  hoarseness comes and goes
C2046455  complete hoarseness (symptom)
C2046456  constant hoarseness
C2046457  fluctuating hoarseness getting better and worse (symptom)
C2046458  hoarseness getting progressively worse
C2046459  harsh hoarseness (symptom)
C2046460  hoarseness lasting more than two weeks (symptom)
C2046461  occurrence of hoarseness (symptom)
C2046462  quality of hoarseness
C2046463  hoarseness recurs daily
C2046464  hoarseness worse in evening (symptom)
C2046465  hoarseness worse in morning (symptom)
C2048474  inability to pass gas painful
C2048475  inability to pass gas painful at one location
C2048476  inability to pass gas painful diffusely throughout abdomen
C2048477  inability to pass gas after surgery (symptom)
C2048478  inability to pass gas relieved by belching (symptom)
C2048479  inability to pass gas relieved by vomiting (symptom)
C2048480  inability to pass gas relieved by vomiting large amounts
C2048481  inability to pass gas relieved by vomiting resembling stools (symptom)
C2048482  inability to pass gas relieved by vomiting small amounts (symptom)
C2048483  inability to pass gas started suddenly
C2054361  teeth chip easily (symptom)
C2054480  teeth moved (symptom)
C2054481  multiple teeth moved (symptom)
C2054482  single tooth moved
C2054487  teeth sensitive to both cold and heat
C2054488  teeth sensitive to cold or heat
C2057715  seedy stool of newborn
C2057724  size of stool has changed (symptom)
C2057726  stool has become foul-smelling (symptom)
C2057727  reduction in diameter of stool (symptom)
C2058109  thick phlegm in throat (symptom)
C2073927  choking on liquid
C2074609  chronic abdominal pain for more than three months (symptom)
C2074632  chronic constant flank pain (symptom)
C2074633  chronic constipation with less than one stool a week
C2074634  chronic constipation with more than three hard stools a week (symptom)
C2074635  chronic constipation with one to three stools a week
C2074698  chronic flank pain recurring frequently (symptom)
C2074778  abdominal pain chronic / recurring frequently
C2077826  intermittent abdominal swelling
C2077839  lower back pain intermittent
C2077989  intolerance to milk products (history)
C2077990  intolerance to milk products used as filler in pills
C2077991  intolerance to milk products used in wine production (history)
C2077992  intolerance to wheat gluten
C2107733  constant burping
C2107748  constantly clearing the throat
C2107751  constipation accompanied by feeling of incomplete evacuation
C2107752  obstructed defecation
C2107753  constipation occurs when traveling
C2107754  constipation seems associated with medications
C2107755  constipation seems related to menstrual cycle (symptom)
C2107756  self-treatment for constipation
C2107757  constipation is self-treated with fiber supplements
C2107758  self-treatment for constipation with finger disimpaction
C2107759  self-treatment for constipation with laxatives
C2107760  self-treatment for constipation with suppositories (symptom)
C2107761  constipation with straining
C2107762  constipation within one month of abdominal surgery (symptom)
C2109045  stiffness of temporomandibular joint on both sides (symptom)
C2109050  left TMJ stiffness
C2109051  stiffness of right temporomandibular joint (symptom)
C2114753  progressive groin pain (symptom)
C2115920  excruciating throat pain
C2115921  throat pain on swallowing
C2115922  throat pain on left side only (symptom)
C2115923  throat pain on right side only
C2115924  throat pain radiating to the ear
C2115925  throat pain radiating to tongue
C2116456  tingling of tongue on both sides
C2116457  tingling of tongue on left side (symptom)
C2116458  tingling of tongue on right side (symptom)
C2126009  location where food sticks associated with difficulty swallowing (symptom)
C2126010  difficulty swallowing with food sticking in throat (symptom)
C2126011  difficulty swallowing with food sticking in middle chest (symptom)
C2126012  belching after meals (symptom)
C2126013  belching from excessive swallowing of air (symptom)
C2126014  belching after rapid ingestion of food
C2126015  belching after drinking carbonated beverages (symptom)
C2126016  belching after excessive drinking of carbonated beverages
C2126017  burping accompanied by abdominal bloating
C2126018  nausea seems associated with medications (symptom)
C2126019  nausea occurs with body motion while traveling
C2126020  vomiting 8-12 hours after eating
C2126021  vomiting with remote abdominal surgery
C2126022  abdominal swelling relieved by
C2126023  abdominal swelling relieved by passing gas
C2126024  abdominal swelling relieved by bowel movement
C2126025  abdominal swelling relieved by vomiting (symptom)
C2126026  abdominal swelling relieved by urination
C2126027  factors accompanying regurgitation (symptom)
C2126028  regurgitation accompanied by unwillingness to move
C2126029  regurgitation while taking steroids (symptom)
C2126030  yellow skin or eyes seems due to medication (symptom)
C2126031  yellow skin or eyes seems due to bacterial infection (symptom)
C2126032  yellow skin or eyes after hypotensive episode
C2126033  yellow skin or eyes following bone marrow transplant
C2126034  diarrhea amount (symptom)
C2126035  large volume of diarrhea (symptom)
C2126036  small volume of diarrhea
C2126037  excessive gas worsened
C2126038  excessive gas worsened by dairy products (symptom)
C2126039  excessive gas worsened by fruits and vegetables
C2126040  excessive gas occurs after
C2126041  excessive gas after chewing gum
C2126042  excessive gas after swallowing air (symptom)
C2126043  excessive gas after rapid eating (symptom)
C2126045  obstipation started suddenly (symptom)
C2126046  painful obstipation (symptom)
C2126047  obstipation painful at one location (symptom)
C2126048  obstipation painful diffusely throughout abdomen
C2126049  rectal pain accompanied by bleeding (symptom)
C2126050  rectal pain accompanied by discharge of pus (symptom)
C2126051  rectal pain worsens during bowel movements
C2126052  rectal pain worsens with acidic foods (symptom)
C2126053  rectal pain after anal sex
C2126054  rectal sore with bleeding (symptom)
C2126055  rectal sore after hard bowel movement (symptom)
C2126068  vomiting with prior abdominal surgery
C2126076  lower back pain worse with standing
C2126077  lower back pain worse with walking
C2126148  lump in gums
C2126149  lump in the right upper gum
C2126150  lump on anterior lingual surface of right upper gum (symptom)
C2126151  lump on posterior lingual surface of right upper gum
C2126152  lump in the left upper gum
C2126153  lump on anterior lingual surface of left upper gum
C2126154  lump left upper gum inside back
C2126155  lump in right lower gum
C2126156  lump on anterior lingual surface of right lower gum (symptom)
C2126157  lump on posterior lingual surface of right lower gum (symptom)
C2126158  lump in left lower gum (symptom)
C2126159  lump on anterior lingual surface of left lower gum (symptom)
C2126160  lump on posterior lingual surface of left lower gum (symptom)
C2126161  lump on anterior buccal surface of right upper gum
C2126162  lump right upper gum outside back
C2126163  lump on anterior buccal surface of left upper gum
C2126164  lump on posterior buccal surface of left upper gum (symptom)
C2126165  lump right lower gum outside front
C2126166  lump on posterior buccal surface of right lower gum
C2126167  lump on anterior buccal surface of left lower gum (symptom)
C2126168  lump left lower gum outside back
C2126169  sore on right side of mouth (symptom)
C2126170  sore on left side of mouth (symptom)
C2126171  sore on top of mouth (symptom)
C2126172  sore on floor of mouth
C2126173  lump in mouth on right
C2126174  lump in mouth on left (symptom)
C2126175  lump in mouth on top
C2126176  lump in mouth on floor (symptom)
C2126180  anal pain accompanied by bleeding (symptom)
C2126181  anal pain accompanied by discharge of pus
C2126182  anal pain worse with bowel movements
C2126183  anal pain worsens with acidic foods
C2126184  anal pain after anal sex (symptom)
C2126185  anal sore with bleeding (symptom)
C2126186  anal soreness after hard bowel movement (symptom)
C2126223  constant anal pain (symptom)
C2126224  intermittent anal pain (symptom)
C2126225  constant rectal pain (symptom)
C2126226  intermittent rectal pain (symptom)
C2126934  abdominal pain relieved by not eating
C2127014  skin lesion on vermilion border of lip
C2127098  difficulty swallowing precipitates coughing
C2127101  right-sided cheek swelling (symptom)
C2127102  left cheek swelling
C2127103  bilateral cheek swelling (symptom)
C2127104  diarrhea throughout day (symptom)
C2127112  totally unable to swallow
C2127123  vomiting blood (hematemesis) in large amounts
C2127134  abdominal pain initiated or exacerbated by food rich in dairy fat
C2127241  craving ice chips (symptom)
C2127242  craving lettuce (symptom)
C2127299  difficulty swallowing thin liquids
C2127300  dysphagia with hard dry foods
C2127301  difficulty swallowing mixed texture foods (symptom)
C2127302  difficulty swallowing medium texture foods (symptom)
C2127303  dysphagia is worse with some types of foods
C2127305  bitter taste in mouth (symptom)
C2127471  lower back pain radiating to legs when walking
C2127696  lower back pain radiating to the legs worse on right
C2127697  lower back pain radiating to the legs worse on left
C2128161  lower back pain worse with bending forward
C2128162  lower back pain worsens with bending backward
C2128163  lower back pain worsens with bending to right (symptom)
C2128164  lower back pain worsens with bending to left (symptom)
C2128165  lower back pain worse with turning
C2128196  lower back pain unrelenting
C2128227  lower back pain difficult to localize
C2128316  dull or aching groin pain (symptom)
C2128326  lower back pain shocklike sensation
C2128327  shocklike sensation from lower back to right foot (symptom)
C2128328  shocklike sensation from lower back to left foot
C2128497  lower back pain worse with straining during bowel movement
