C0008301  Choking
C0433718  Ecchymosis of tongue
C0436557  Complaining of postnasal drip
C0436589  O/E - collapse - resp. arrest
C0436590  O/E - collapse - asphyxia
C0436611  O/E - central cyanosis
C0436689  O/E - respiratory
C0436690  O/E - type of respiration
C0436691  O/E - normal respiration
C0436692  O/E - respiratory distress
C0436693  O/E - Cheyne - Stokes resp.
C0436694  O/E - expiratory wheeze
C0436695  O/E - accessory resp.m's.used
C0436696  O/E - stertorous breathing
C0436697  O/E - death rattle
C0436698  O/E - hyperventilating
C0436699  O/E - chest expansion
C0436700  O/E - chest expansion normal
C0436701  O/E - chest expansion reduced
C0436702  O/E -chest expansion increased
C0436703  O/E - chest expansion unequal
C0436704  O/E - breathing method
C0436705  O/E - abdominal breathing
C0436706  O/E - thoracic breathing
C0436707  O/E - mouth breathing
C0436708  O/E - breathing rate
C0436709  O/E-rate of respiration normal
C0436710  O/E - rate of respiration slow
C0436711  O/E - breathing depth
C0436712  O/E - depth of resp. normal
C0436713  O/E - shallow breathing
C0436722  O/E - position of trachea
C0436723  O/E - trachea central
C0436724  O/E -trachea displaced to left
C0436725  O/E-trachea displaced to right
C0436726  O/E - vocal fremitus
C0436727  O/E - vocal fremitus normal
C0436728  O/E - vocal fremitus increased
C0436729  O/E - vocal fremitus decreased
C0436730  O/E - percussion note normal
C0436731  O/E - chest PN hyperresonant
C0436732  O/E - chest PN tympanitic
C0436733  O/E - percussion note dull
C0436735  O/E - breath sounds
C0436736  O/E - breath sounds normal
C0436737  O/E - bronchial breathing
C0436740  O/E - amphoric breathing
C0436741  O/E - vocal resonance
C0436742  O/E - bronchophony
C0436743  O/E - pectoriloquy
C0436746  O/E - rhonchi
C0436747  O/E - coarse crepitations
C0436748  O/E - fine crepitations
C0436749  O/E - pleural friction rub
C0436750  O/E - nonspecif respir lesion
C0436751  O/E - consolidation
C0436869  O/E - angular stomatitis
C0436878  O/E - dental caries
C0436884  O/E - gingivitis
C0436885  O/E - blue gum line
C0436886  O/E - hypertrophy of gums
C0436888  O/E - tongue - NAD
C0436889  O/E - dry tongue
C0436890  O/E - furred tongue
C0436891  O/E - glossitis
C0436892  O/E - macroglossia
C0436893  O/E - fissured tongue
C0436894  O/E - ulcer on tongue
C0436895  O/E - leukoplakia on tongue
C0436898  O/E - breath smell unpleasant
C0436900  O/E - breath sweet - acetone
C0436901  O/E - breath musty - hepatic
C0436902  O/E - alcoholic breath
C0437452  O/E-pharyngeal(gag) reflex -ve
C0437471  O/E - slightly deaf
C0437472  O/E - significantly deaf
C0437473  O/E - very deaf
C0437474  O/E - completely deaf
C0437645  O/E - nasal discharge
C0437647  O/E-nasal discharge-foul smell
C0437648  O/E -nasal disch.-mucopurulent
C0437649  O/E - epistaxis
C0437652  O/E - foreign body in nose
C0437653  O/E - nasal polyp present
C0437654  O/E - nasal septum deflected
C0437655  O/E - nasal septum perforated
C0437656  O/E - nasal mucosa wet/boggy
C0437657  O/E - nasal mucosa pale
C0437660  O/E - adenoid hypertrophy
C0437664  O/E - discharge from ear
C0437666  O/E - serous ear discharge
C0437667  O/E - waxy ear discharge
C0437668  O/E - purulent ear discharge
C0437669  On examination - bloodstained ear discharge
C0437670  O/E - blood from ear
C0437672  O/E - painful ear
C0437674  O/E - ear auricle painful
C0437675  O/E - mastoid tender
C0437694  O/E - paranasal sinuses
C0437695  O/E - paranasal sinuse - NAD
C0437696  O/E-maxillary sinus tenderness
C0437697  O/E - frontal sinus tenderness
C0437698  On examination - maxillary sinus transillumination
C0437704  O/E - follicular tonsillitis
C0437705  O/E - pharynx
C0437706  O/E - granular pharyngitis
C0437707  O/E - laryngoscopy
C0437708  O/E - laryngoscopy NAD
C0437709  O/E - vocal cords thickened
C0437710  O/E - vocal cord nodule
C0437711  O/E-laryngoscopy=singers nodes
C0437712  O/E - laryngeal sign NOS
C0437714  O/E - stridor present
C0437715  O/E - respiratory obstruction
C0437716  O/E - hoarseness
C0437717  O/E - dysphonia
C0438186  Lung function testing normal
C0438189  Lung volume test abnormal
C0438190  Resp. flow rate normal
C0438191  Resp. flow rate abnormal
C0438192  FEV1/FVC ratio normal
C0438193  FEV1/FVC ratio abnormal
C0438985  Nocturnal cough / wheeze
C0439017  O/E - nose
C0439025  C/O - anosmia
C0439030  C/O nasal congestion
C0451597  Bronchial cough
C0454554  Hyponasal voice
C0454555  Hypernasal voice
C0455206  Expectoration of mucopurulent sputum
C0455777  Coughing ineffective
C0455831  Breathing easily
C0455899  Red throat
C0455901  Small tonsils
C0455902  Healthy tonsils
C0455914  Nasal mucosa moist
C0455934  Small adenoids
C0455938  Large adenoids
C0455945  Some dental plaque
C0455946  Teeth covered in plaque
C0456034  Lack of respiratory drive
C0456035  Poor respiratory drive
C0456138  Incoord swallowing in newborn
C0456139  Choking in newborn
C0456224  Suprasternal recession
C0456243  Normal spontaneous respiration
C0456491  Tenderness in ear canal
C0456492  Tender ear canal-distort pinna
C0456541  Crooked nose
C0456542  Deviation bony skeleton nose
C0456543  Deviation cartilag skelet nose
C0456544  Nasal mucosa boggy
C0456545  Pale nasal mucosa
C0456547  Blue nasal mucosa
C0456548  Crusted nasal mucosa
C0456549  Ulcerated nasal mucosa
C0456550  Granulomatous nasal mucosa
C0456551  Nasal turbinate absent
C0456552  Absent adenoids
C0456555  Evidence of recent epistaxis
C0456557  Tenderness over maxillar sinus
C0456558  Swelling over maxillary sinus
C0456559  Erythema over maxillary sinus
C0456560  Tenderness over frontal sinus
C0456561  Swelling over frontal sinus
C0456562  Erythema over frontal sinus
C0456566  Tender larynx
C0456567  Vocal cords swelling
C0456568  Vocal cords erythematous
C0456569  Supraglottic observations
C0456575  Supraglottic erythema
C0456576  Supraglottic swelling
C0456577  Subglottic observations
C0456578  Subglottic erythema
C0456579  Subglottic swelling
C0456673  Sputum retention
C0456759  Hears multiple distortion
C0456760  Binaural diplacusis
C0456761  Difficulty hearing in noise
C0457641  Tooth observation
C0457644  Dental restoration present
C0457647  Broken dental restoration
C0457648  Dent restoration surface rough
C0457649  Deficient dental restoration
C0457651  Dental filling present
C0457652  Dental inlay present
C0457653  Dental crown present
C0457654  Dental veneer present
C0457655  Dental bridge present
C0457656  AF - Dental amalgam filling present
C0457657  Dental comp filling present
C0457658  Dent glass-ionom fill present
C0457669  Dental crown incorrect shade
C0457670  Dental crown too bulky
C0457671  Dental crown too wide
C0457672  Dental crown too narrow
C0457673  Dental crown too dark
C0457674  Dental crown too light
C0457675  Dental veneer incorrect shade
C0457676  Dental veneer too bulky
C0457677  Dental veneer too wide
C0457678  Dental veneer too narrow
C0457679  Dental veneer too dark
C0457680  Dental veneer too light
C0457681  Dental bridge incorrect shade
C0457682  Dental bridge too bulky
C0457683  Dental bridge too wide
C0457684  Dental bridge too narrow
C0457685  Dental bridge too light
C0457686  Dental bridge too dark
C0457687  Fractured dental filling
C0457688  Fractured dental inlay
C0457689  Fractured dental crown
C0457690  Fractured dental veneer
C0457691  Fractured dental bridge
C0457692  Dental filling surface rough
C0457693  Dental inlay surface rough
C0457694  Dental crown surface rough
C0457695  Dental veneer surface rough
C0457696  Dental bridge surface rough
C0457697  Leaking dental filling
C0457698  Leaking dental crown
C0457699  Leaking dental veneer
C0457700  Leaking dental bridge
C0457701  Loose dental filling
C0457702  Loose dental crown
C0457703  Loose dental veneer
C0457715  Broken denture
C0457716  Tooth fallen off denture
C0457717  Broken denture clasp
C0457728  Denture rocks
C0457732  Denture teeth show too little
C0457748  No dental decay
C0457751  TTP - Tooth tender to percussion
C0457752  Dental occlusion observation
C0457754  PE - Tooth partially erupted
C0457755  Tooth present
C0457762  Proclined incisor tooth
C0457763  Retroclined incisor tooth
C0457764  Incisor tooth angulat - mesial
C0457765  Incisor tooth angulat - distal
C0457766  Canine tooth angulat - mesial
C0457767  Canine tooth angulat - distal
C0457768  Buccal tooth inclinat - buccal
C0457769  Bucc tooth inclin - palat-ling
C0457770  Interincis teeth angle - incr
C0457771  Interincis teeth angle - reduc
C0457776  Functional occlusion
C0457777  Canine guided functional occlusion
C0457778  Group functional occlusion
C0457779  Anterior guided funct occlus
C0457780  Non-work interfer funct occl
C0457994  Respiratory mechanisms
C0457995  Respiratory movement observations
C0459144  Hearing worse
C0474494  Gray line on gums
C0475116  O/E - dyspnea
C0475117  O/E - orthopnea
C0475118  O/E - tachypnea
C0475119  O/E - hyperpnea
C0475121  O/E - aegophony
C0475122  O/E - discolored teeth
C0475123  O/E - pyorrhea
C0475124  O/E - breath urinose - uraemic
C0475150  O/E - nasal mucosa edematous
C0475151  O/E - nasal mucosa hyperaemic
C0475152  O/E - Little's area hyperaemic
C0475154  O/E - pharynx hyperaemic
C0475155  O/E - vocal cords pink +edema
C0475156  O/E - throat haemorrhage
C0475584  Fail/diff intub dur lab/deliv
C0475765  NOSE EDEMA
C0475766  Hyperaemic nasal mucosa
C0475767  Anterior rhinorrhea
C0475769  Succinylcholine apnea
C0475770  Mivacurium apnea
C0475809  Color of sputum
C0475832  Dental filling discolored
C0476283  Percussion of chest abnorm.
C0476367  Shadow of lung
C0476405  Nonspecific abnormal results of function study of pulmonary system
C0476408  [D]Vital capacity reduced (context-dependent category)
C0520828  Normal total lung capacity
C0520829  Decreased total lung capacity
C0520830  Normal vital capacity
C0520832  Normal functional residual capacity
C0520833  Increased functional residual capacity
C0520834  Decreased functional residual capacity
C0520835  Normal forced expiratory volume
C0520836  Increased forced expiratory volume
C0520837  Decreased forced expiratory volume
C0520838  Normal maximal volontary ventilation
C0520839  Increased maximal volontary ventilation
C0520840  Decreased maximal volontary ventilation
C0520841  Normal peak expiratory flow rate
C0520842  Increased peak expiratory flow rate
C0520843  Decreased peak expiratory flow rate
C0521007  Hypophonia
C0521590  Limitation of movement of jaw
C0541813  Kussmaul respiration
C0541967  FLUORESCENCE TOOTH
C0546330  Complete atelectasis of left lung
C0546331  Complete atelectasis of right lung
C0546333  Pneumothorax, right
C0546334  Pneumothorax, left
C0549123  Large tonsils
C0554973  Ear discharge symptom NOS
C0555073  Overhanging epiglottis
C0555216  Absence of lung
C0555707  O/E - bronchospasm
C0555723  O/E - cracked lips
C0555724  Dry lips
C0555760  O/E - deaf
C0555765  O/E - nasal mucosa
C0555769  O/E - vocal cords
C0557275  Deaf telephone user
C0558167  Unable to cough up sputum
C0558168  Able to cough up sputum
C0558177  Choking during swallowing
C0558361  Sniffles
C0558430  Apnoea - anaesthetic
C0558493  O/E - resp. arrest
C0558516  O/E - blood - ext. ear
C0558518  O/E - maxill.sinus pain
C0558519  O/E -frontal sinus pain
C0558592  Blood in sputum O/E
C0559549  Uvula tag
C0559684  Inflamed tonsils
C0562475  Basal crepitations
C0563385  Difficulty moving tongue
C0563389  Difficulty protruding tongue
C0563394  Diff protruding tongue fully
C0563400  Difficulty retracting tongue
C0563406  Difficulty moving tongue tip
C0563412  Diff moving tongue tip repeat
C0563418  Difficulty moving blade of tongue
C0563424  Diff moving tongue laterally
C0564093  Unab coord airfl & voice onset
C0564095  Dosn coord airfl & voice onset
C0564096  Diff coord airfl & voice onset
C0564099  Unab use phonologic processes
C0564101  Does not use phonological processes
C0564102  Diff use phonologic processes
C0564105  Unab use voc tune & phon unit
C0564107  Does not use vocal tunes and phonetic units
C0564108  Diff use voc tune & phon unit
C0564181  Unable to phonate
C0564184  Difficulty phonating
C0564205  Unable to imitate vocalisation
C0564206  Does not imitate vocalisation
C0564207  Diff imitating vocalisation
C0564610  Tonsil congested
C0566523  Able to cough
C0566524  Does not cough
C0566525  Difficulty coughing
C0566527  Unable to clear chest
C0566620  Nasal voice
C0567366  Croupy cough
C0574058  Expiratory grunting
C0574067  COUGH INCREASED
C0574773  Obs appear nasal mucosa
C0574774  Lesion of nasal mucosa
C0575145  Temporomand joint swelling
C0575146  Bony swell temporomand joint
C0575147  Temporomandibular joint - soft tissue swelling
C0575154  Articular crepitus of temporomandibular joint
C0575488  Chest movement normal
C0575503  Pain of sternum
C0575512  Rib tender
C0576647  Problem of sense of smell
C0576949  Hearing for whisper impaired
C0576951  Hearing convers voice impair
C0576953  Hearing for loud voice impaired
C0576954  Hearing for voice impaired
C0576958  Observation of dentition
C0576959  Obs of sensation of tooth
C0576960  Tooth tender
C0576962  Tooth problem
C0576968  Obs appearance of tongue
C0576969  Tongue symmetrical
C0576970  Tongue asymmetrical
C0576971  Lesion of tongue
C0576972  Obs of moistness of tongue
C0576973  Moist tongue
C0576974  Tongue normal
C0576975  Obs appearance gingivae
C0576976  Lesion of gingivae
C0576992  Pharynx not seen
C0576993  Obs of appearance pharynx
C0576994  Fauces clear
C0576995  Hemorrhage from throat
C0576996  Obs of discharge of pharynx
C0576997  Obs of sensation of pharynx
C0576998  Tonsil present
C0576999  Absent tonsils
C0577000  Obs of appearance of tonsil
C0577001  Normal sized tonsils
C0577002  Pharynx normal
C0577003  Pharynx problem
C0577005  Obs of discharge of tonsil
C0577576  Cough impulse of mass present
C0577578  Obs movement mass respiration
C0577579  Mass moves with respiration
C0577580  Mass does not move with respiration
C0577662  Allergic cough
C0577703  Pleural scarring
C0577872  Upper resp tract observations
C0577873  Obs of appearance of nose
C0577874  Observation of size of nose
C0577875  Observation of nasal deformity
C0577876  Obs of color of nasal mucosa
C0577877  Lesion of nose
C0577880  Obs of sensation of nose
C0577883  Obs of measures of nose
C0577884  Nose normal
C0577885  Nasal problem
C0577886  Nasal sinuses normal
C0577888  Observation of adenoids
C0577889  Adenoids present
C0577890  No view of nasopharynx
C0577891  Nasopharynx normal
C0577892  Larynx present
C0577893  Obs of appearance larynx
C0577894  Laryngeal crepitus absent
C0577895  Lesion of larynx
C0577898  Obs of sensation of larynx
C0577900  Supraglottic lesion
C0577901  Normal supraglottis
C0577902  Vocal cord present
C0577903  Lesion of vocal cord
C0577904  Positn vocal cord at rest norm
C0577905  Normal vocal cord movement
C0577906  Normal vocal cords
C0577907  Subglottic lesion
C0577908  Normal subglottis
C0577909  Larynx normal
C0577910  Lower resp tract obs
C0577911  Tracheobronchial observations
C0577912  Observation of trachea
C0577913  Bronchial observation
C0577914  Lung observations
C0577915  Observation of lung field
C0577916  Lesion of lung
C0577917  Funct obs of resp tract
C0577920  Effective cough
C0577928  Difficulty coughing up sputum
C0577929  Does cough up sputum
C0577930  Does not cough up sputum
C0577934  Yawning absent
C0577935  Observation of patency of airway
C0577936  Inspir partial airway obstruct
C0577937  Expir partial airway obstruct
C0577938  Inspir/expir part airway obstr
C0577939  Pleura observations
C0577940  Respiratory obs of chest
C0577941  Chest movement absent
C0577943  Decreased chest expansion
C0577944  Chest expansion normal
C0577945  Normal percussion note
C0577946  Percussive tympany
C0577947  Chest percussion note ringing
C0577948  Chest reson to percuss reduc
C0577955  Hepat dullness to percuss norm
C0577956  Hepat dulln to percuss displ
C0577957  Up edge hep dull in chest rais
C0577958  Hep dulln to percus displ down
C0577959  Diaphr dulln to percussn norm
C0577960  Chest auscultation obs
C0577961  Inspiratory rales
C0577962  Expiratory rales
C0577964  Vocal fremitus increased
C0577965  Vocal fremitus decreased
C0577966  Vocal fremitus normal
C0577967  Named resp signs of chest
C0577969  Observation of breathing
C0577970  Obs of rate of respiration
C0577971  Normal depth of breathing
C0577973  Expiratory stridor
C0577974  Quiet respiration
C0577977  Frank blood in sputum
C0577980  Watery sputum
C0577981  Profuse watery sputum
C0577983  Observation of odor of sputum
C0577984  Expectoration of foul smelling sputum
C0577985  Sweet smelling sputum
C0577986  Obs of respiratory device
C0578162  Observation of size of tonsil
C0578395  Chest clear
C0578502  Observ respiratory effort
C0578507  Intermittent stridor
C0578508  Lesion of bronchus
C0578509  Necrosis of bronchus
C0578733  Diff imitating tongue movement
C0578786  Tracheostomy present
C0578987  Postproced obs respirat tract
C0580371  FVC - forced vital capacity normal
C0580372  FVC - forced vital capacity abnormal
C0580528  Peak flow rate abnormal
C0581123  Occasional asthma (finding)
C0581124  Mild asthma (finding)
C0581125  Moderate asthma (finding)
C0581126  Severe asthma (finding)
C0581298  [D]Lump on nose (context-dependent category)
C0581853  O/E - air hunger
C0581859  O/E - bleeding gums
C0581864  Evening cough
C0581865  C/O bronchial catarrh
C0581925  O/E laryngoscopy abnormal
C0581926  O/E - nasopharyngeal signs
C0581927  O/E - edema of turbinates
C0581942  Bronchoscopy abnormal
C0582156  Bubbling respiration
C0582410  Pulmonary vein observation
C0582411  Pulmonary venous congestion
C0584595  Diff moving tongue symmetrical
C0584601  Unable produce voiced sounds
C0584602  Diffic producing voiced sounds
