C0002418  Amblyopia
C0232115  VENOUS PRESSURE INCREASED
C0232116  Decreased venous pulse pressure
C0232118  Kussmaul pulse
C0232120  Pulsus bisferiens
C0232121  Pulsus alternans
C0232123  Cannonball pulse
C0232124  Dropped beat pulse
C0232132  Pulse, thready
C0232134  Normal jugular venous pulse
C0232135  Abnormal jugular venous pulse
C0232137  Normal carotid arterial pulse
C0232138  Abnormal carotid arterial pulse
C0232140  Normal peripheral pulse
C0232141  Abnormal peripheral pulse
C0232143  Normal radial pulse
C0232144  Abnormal radial pulse
C0232146  Normal ulnar pulse
C0232147  Abnormal ulnar pulse
C0232149  Normal femoral pulse
C0232150  Abnormal femoral pulse
C0232152  Normal popliteal pulse
C0232153  Abnormal popliteal pulse
C0232155  Normal ankle pulse
C0232156  Abnormal ankle pulse
C0232158  Normal foot pulse
C0232159  Abnormal foot pulse
C0232161  Normal precordial pulsation
C0232162  Abnormal precordial pulsation
C0232165  Cardiac function, increased
C0232166  Cardiac function, decreased
C0232179  Abnormal cardiac flow
C0232180  Shunt
C0232185  CARDIAC RHYTHMS AND RATES
C0232188  Cardiac rate, normal
C0232189  Alteration in heart rate, NOS
C0232200  Gallop rhythm
C0232201  Coronary sinus rhythm
C0232202  Cardiac rhythm, normal
C0232203  ATRIAL RHYTHMS
C0232218  Cardiac conduction, normal
C0232221  Reciprocal rhythm
C0232224  Normal first heart sound, S1
C0232225  Abnormal first heart sound, S1
C0232227  Reduced intensity of first heart sound, S1
C0232228  Widened split of first heart sound, S1
C0232229  Reversed split of first heart sound, S1
C0232231  Normal second heart sound, S2
C0232232  Abnormal second heart sound, S2
C0232233  Accentuated split of second heart sound, S2
C0232234  Diminished split of second heart sound, S2
C0232235  Fixed split of second heart sound, S2
C0232236  Paradoxic split of second heart sound, S2
C0232237  Third heart sound, S3, NOS
C0232238  Normal third heart sound, S3
C0232239  Abnormal third heart sound, S3, NOS
C0232240  Fourth heart sound, S4, NOS
C0232241  Normal fourth heart sound, S4
C0232242  Abnormal fourth heart sound, S4, NOS
C0232243  Systolic ejection sound
C0232244  Aortic ejection sound
C0232245  Pulmonic ejection sound
C0232255  Functional heart murmur
C0232257  SYSTOLIC HEART MURMUR
C0232259  Midsystolic murmur
C0232264  Middiastolic murmur
C0232265  Early systolic murmur
C0232267  PERICARDIAL FRICTION RUB
C0232268  Cardiac friction fremitus
C0232269  Thrill
C0232273  Mediastinal crunch
C0232275  OS
C0232278  Protodiastolic gallop
C0232294  EKG AXIS FINDINGS
C0232295  Indeterminate axis by EKG
C0232299  EKG axis perpendicular to frontal plane
C0232300  Dextrocardia/situs inversus finding
C0232301  Ventricular inversion
C0232302  Counterclockwise vectorcardiographic loop
C0232303  EKG FINDINGS IN HYPERTROPHY, INFARCTION AND ISCHEMIA
C0232304  EKG hypertrophy
C0232308  P pulmonale by EKG
C0232309  LAH by EKG
C0232310  P mitrale by EKG
C0232311  Atrial hypertrophy, NOS by EKG
C0232312  Ventricular hypertrophy, NOS by EKG
C0232314  Low ventricular voltage by EKG
C0232320  Anteroseptal infarction by EKG
C0232325  Lateral infarction by EKG
C0232326  S-T changes
C0232327  Left ventricular S-T changes
C0232328  Right ventricular S-T changes
C0232333  U wave
C0232339  Normal vascular flow
C0232341  Increased vascular flow
C0232345  Jet type vascular flow
C0232346  Reflux flow
C0232347  No reflow phenomenon
C0232348  Increased collateral circulation
C0232349  Decreased collateral circulation
C0232350  Shunting vascular flow
C0232357  Capillary filling, normal
C0232358  Abnormal capillary filling
C0232359  Capillary filling, increased
C0232360  Capillary filling, decreased
C0232362  Normal organ or tissue vascular perfusion
C0232363  Organ or tissue vascular perfusion increased
C0232364  Organ or tissue vascular perfusion decreased
C0232366  Normal vasomotor function
C0232367  Abnormal vasomotor function
C0232374  Blood vessel permeability, increased
C0232375  Blood vessel permeability, decreased
C0232376  Decreased capillary fragility
C0232377  CAPILLARY PERMEABILITY INCREASED
C0232743  Increased liver function
C0232744  Decreased liver function
C0232751  Impaired bile formation
C0232756  Abnormal bile secretion
C0232799  Turner's sign
C0233771  Macropsia
C0234502  Agnosia, visual
C0234630  Tunnel vision
C0234719  Scotoma, physiologic
C0234749  Carotid bruit, subjective
C0234987  DIZZINESS POSTURAL
C0235066  SCOTOMA PERIPHERAL
C0235095  VISUAL FIELD CONSTRICTION
C0235096  VISION PERIPHERAL DECREASED
C0235229  CILIARY SPASM
C0235231  PUPILS PINPOINT
C0235266  EYE IRRITATION
C0235380  BILIRUBINEMIA NEWBORN
C0235437  EDEMA DEPENDENT
C0235439  ANKLE EDEMA
C0235467  ANGINA PECTORIS AGGRAVATED
C0235470  Angina pectoris with documented spasm
C0235472  PULSE ABNORMAL
C0235475  QRS WIDENED
C0235482  CAPILLARY RESISTANCE DECREASED
C0235649  BREAST EDEMA
C0235715  CHEST ACHE
C0235901  LACRIMATION ABNORMAL
C0235996  HEPATIC ENZYMES INCREASED
C0236140  Nonspecific abnormal electrocardiogram (ECG) (EKG)
C0236141  ECG ABNORMAL SPECIFIC
C0237249  Difficulty seeing distant objects (finding)
C0237313  Pulse deficit
C0237314  Irregular heart beat
C0238300  Stenosis of nasolacrimal duct
C0238658  purpura on ankle (physical finding)
C0238672  diffuse apical impulse (physical finding)
C0238739  muscle spasms in lower back (symptom)
C0238829  purpura on breast
C0238903  Carotid pulse absent
C0238904  carotid pulses increased
C0239008  CHEST TENDERNESS OF
C0239082  Common Bile Duct Obstruction
C0239242  T Wave Peaked
C0239556  Femoral pulse absent
C0239592  purpura on the fingers
C0239654  Foot pulses absent
C0239655  purpura of foot
C0239680  purpura on the face forehead
C0239707  Digestive Angioma
C0239837  purpura on hand (physical finding)
C0239949  Hepatojugular reflux
C0239991  iliac bruit
C0240207  purpura on lip (physical finding)
C0240392  Mucous Membrane Hemangioma
C0240405  Duroziez murmur
C0240464  NECK EDEMA
C0240897  Retinal exudates
C0240916  Roth's spots
C0240964  Positive scotoma
C0241228  Spleen palpable
C0241246  tender sternum on palpation (physical finding)
C0241401  thyroid bruit (physical finding)
C0241451  Exudate on tonsils
C0241501  purpura of trunk
C0241681  visual distortion
C0262662  Bigeminy
C0263841  Hemarthrosis involving ankle and foot
C0264711  Past myocardial infarction diagnosed on ECG or other special investigation, but currently presenting no symptoms
C0264907  Second degree AV block, Mobitz type I
C0264939  Systemic vasculitis
C0269787  Fetal bradycardia affecting management of mother
C0269788  Fetal tachycardia affecting management of mother
C0270133  Abnormal fetal heart beat noted before labor in liveborn infant
C0270140  Abnormal fetal heart beat first noted during labor or delivery in liveborn infant
C0270208  Fetal or neonatal jaundice from bruising
C0270209  Fetal or neonatal jaundice from drugs or toxins transmitted from mother
C0270212  Fetal or neonatal jaundice from polycythemia
C0271012  Retained magnetic foreign body in vitreous
C0271013  Retained magnetic foreign body in posterior wall of eye
C0271014  Retained magnetic foreign body in multiple sites
C0271016  Retained nonmagnetic foreign body in anterior chamber
C0271018  Retained nonmagnetic foreign body in lens
C0271019  Retained nonmagnetic foreign body in vitreous
C0271020  Retained nonmagnetic foreign body in posterior wall of eye
C0271021  Retained nonmagnetic foreign body in multiple sites
C0271049  Subretinal hemorrhage
C0271053  Retinal cotton wool spots
C0271119  Cyst of iris, NOS
C0271120  Idiopathic cyst of iris
C0271122  Exudative cyst of iris
C0271123  Cyst of ciliary body, NOS
C0271124  Idiopathic cyst of ciliary body
C0271141  Pupillary paralysis
C0271196  Centrocecal scotoma
C0271197  Paracentral scotoma
C0271198  Arcuate defects
C0271200  Bjerrum scotoma
C0271202  Homonymous bilateral field defects
C0271203  Right homonymous hemianopsia
C0271204  Left homonymous hemianopsia
C0271205  Altitudinal hemianopsia
C0271207  Heteronymous bilateral field defects
C0271208  Binasal hemianopia
C0271211  Erythropia
C0271275  Adherent leucoma
C0271303  Hyperemia of eyelid
C0271304  Sebaceous cyst of eyelid
C0271323  Lacrimal cyst, NOS
C0271381  Skew deviation
C0271405  Vitreous liquifaction
C0272389  Cicatrix of tonsil
C0272390  Cicatrix of adenoid
C0277882  Normal systolic arterial pulse pressure
C0277883  Abnormal systolic arterial pulse pressure
C0277884  High systolic arterial pulse pressure
C0277885  Decreased systolic arterial pulse pressure
C0277887  Normal diastolic arterial pulse pressure
C0277888  Abnormal diastolic arterial pulse pressure
C0277889  High diastolic arterial pulse pressure
C0277890  Decreased diastolic arterial pulse pressure
C0277894  Normal central venous pulse pressure
C0277895  Abnormal central venous pulse pressure
C0277896  Increased central venous pulse pressure
C0277897  Decreased central venous pulse pressure
C0277898  Normal pulse
C0277899  Absent pulse
C0277900  Normal pulse rate
C0277901  Abnormal pulse rate
C0277903  Anacrotic pulse
C0277904  Anadicrotic pulse
C0277905  Anatricrotic pulse
C0277906  Dicrotic pulse
C0277907  Tricrotic pulse
C0277908  Polycrotic pulse
C0277910  Ejection murmur
C0277911  Ejection click
C0277912  Austin Flint murmur
C0277913  Graham Steell murmur
C0277914  Machinery murmur
C0277915  Apical diastolic thrill
C0277916  Basal systolic thrill
C0277917  To-and-fro murmur
C0277926  Pulsatile liver
C0277929  Cranial bruit
C0277932  Pistol-shot sound
C0277933  Sheathing of arterioles
C0277934  Aortic bruit
C0277979  Shifting dullness
C0278002  Vomit: coffee ground
C0278224  Ocular bruit
C0278231  A V nicking
C0278962  NYHA Class III/IV
C0280956  poor vascular access
C0281789  Bleeding From Nipple
C0281929  Pacemaker Failure
C0281943  ARTERIAL INSUFFICIENCY PERIPHERAL
C0338572  SAH - Subarachnoid haemorrhage from ruptured aneurysm
C0338584  Cervicocerebral art dissectn
C0339173  Conj deposits due to drugs
C0339249  Corneal pigmentations and deposits
C0339254  Corneal blood staining
C0339256  Metallic pigmentation cornea
C0339262  Phakic bullous keratopathy
C0339263  Pseudophak bullous keratopathy
C0339264  Aphakic bullous keratopathy
C0339336  Haemorrhage in iris stroma
C0339340  Foreign body in ciliary body
C0339346  Miotic cyst of iris
C0339347  Miotic cyst of ciliary body
C0339376  Elschnig's pearls
C0339552  Foster-Fuchs' spot
C0339662  Marcus-Gunn pupillary sign
C0339666  Nystagmus and other irregular eye movements
C0340632  Leaking abdom aortic aneurysm
C0340650  Femoral dissection
C0340655  Renal artery haemorrhage
C0340658  Vertebral artery rupture
C0340771  Venous haemorrhage
C0340773  Rupture of vein
C0340870  Absolute hypovolaemia
C0340871  Relative hypovolaemia
C0340876  Mech.comp.-vasc.device NOS
C0341512  Retroperitoneal haematoma
C0341985  Haematoma - perineal wound
C0342348  Haemorrhage of parathyroid
C0342484  Adrenocortical haemorrhage
C0344169  Penicillin-induced anaphylaxis
C0344286  Peripheral drusen
C0344294  Periph ret white without press
C0344295  Periph ret - white with press
C0344305  Intercostal myalgia
C0344329  Collapse
C0344369  Submucosal haemorr,vocal cord
C0344417  ECG: Wenckebach phenomenon
C0344424  ECG: ventricular arrythmia NOS
C0347606  Thyroid gland haematoma
C0347611  Parathyroid gland haematoma
C0347631  Subcapsular liver haematoma
C0347638  Adrenal gland haematoma
C0347697  Secondary haemorrhage
C0347828  O/E - arcus senilis
C0347829  O/E - pinpoint pupils
C0347832  O/E - exophthalmos present
C0347834  O/E - subconjunctival haemorrhage
C0347837  O/E - pulmonary edema
C0347841  O/E - arterial wall - aneurysm
C0347846  O/E - pupils unequal
C0349435  Subarach haem from mult aneur
C0349436  Subarach haem frm ant cer a an
C0349440  Subarach haem frm pst cer a an
C0349444  Subar haem pst inf cerebl a an
C0349445  Subarach haem frm carotid a an
C0349505  Acroderm pustulosa hiemalis
C0349594  Rupt aneurysm of ant cer art
C0349595  Rupt aneurysm of mid cer art
C0349596  Rupt aneurysm of pst cer art
C0349598  Rup aneurysm of post com art
C0349600  Rup aneur post inf cerebel a
C0349601  Rupt int carot-ant com aneur
C0349602  Rupt int carot-pst com aneur
C0349603  Rupt int carot bifur aneurys
C0349702  Corneal scar, NOS
C0392191  Irregular tachycardia
C0392582  One eye: severe vision impairment; other eye: near-normal vision
C0392587  Paralytic ptosis
C0392682  Elevated blood pressure reading without diagnosis of hypertension
C0392684  Allorhythmic pulse
C0393782  Morning glory disc
C0396028  Tonsillar caseous debris
C0405063  Heavy show
C0406487  Rosaceal flushing
C0410150  Rheumatic fever nodule
C0410983  Perinatal jaundice - bruising
C0410993  Bruising in fetus or newborn
C0410994  Petechiae in fetus or newborn
C0420856  Hypertension induced by o.c
C0422964  Temporary visual disturbance
C0422968  Sees patterns
C0422974  Halo vision
C0422980  Movement of visual image
C0422984  Multiple visual images
C0422987  Loss of part of visual field
C0422989  Peripheral ring scotoma
C0422990  Local peripheral scotoma
C0422991  Altitudinal scotoma
C0422993  Complete homonymous hemianopia
C0422994  Incomplete homonym hemianopia
C0422996  Inattention homon hemianopia
C0422997  Complete bitemporal hemianopia
C0422998  Incomplete bitemp hemianopia
C0423009  Blood in eye
C0423038  Convergence in manifest squint, divergence at intersection of visual axes
C0423039  Converge in manifest squint, fusion intersection of vis axes
C0423040  Convergence in manifest squint, anomalous with constant angle
C0423052  Has a squint
C0423054  Constant comit alt esotropia
C0423055  Constant comitant exotropia
C0423056  Constant comitant alternating exotropia
C0423058  Constant comitant hypertropia
C0423059  Constant comitant hypotropia
C0423064  Comitant esophoria
C0423065  Latent divergent squint
C0423066  Latent vertical squint
C0423067  Latent vertical squint with eye up
C0423068  Comitant hypophoria
C0423069  Incomitant heterotropia
C0423070  Incomitant esotropia
C0423071  Incomitant exotropia
C0423072  Incomitant hypertropia
C0423073  Incomitant hypotropia
C0423076  Incomitant exophoria
C0423077  Incomitant hyperphoria
C0423078  Incomitant hypophoria
C0423082  Hypometric saccades
C0423083  Hypermetric saccades
C0423085  Cogwheel eye movements
C0423091  Irregular eye movements
C0423093  Myostatic paralysis
C0423094  Ocular dipping
C0423132  Uncomplicated ptosis
C0423136  Retract up lid,not ass eye mvm
C0423145  Hypertrophy of orbicularis muscle
C0423151  Sticking of eyelids - discharge
C0423154  Absent lacrimation
C0423155  Scanty tear production
C0423173  Inflamed lacr canal + calculus
C0423181  Bulbar conjunctiv degeneration
C0423226  Corneal pigmentation
C0423227  Corneal melanosis
C0423238  Corneal immune ring
C0423249  Corneal stromal abscess
C0423250  Corneal stromal opacities
C0423251  Regular cornea strom opacities
C0423252  Irreg cornea stromal opacities
C0423253  Corneal stromal wound
C0423260  Central post corneal opacity
C0423310  Wernicke's hemianopic pupil
C0423326  Incomplete posterior synechiae
C0423327  Complete posterior synechia
C0423329  Pupillary seclusion
C0423382  Retinal vessel observation
C0423383  Retinal artery observation
C0423385  Copper wire retinal artery
C0423387  Retinal arteries irregular
C0423388  Retinal arteries sheathed
C0423389  Narrowing of retinal vessels
C0423391  AV - Arterioven cross change
C0423393  Distension of vein beyond arteriovenous crossing
C0423394  Retinal vein observation
C0423396  Retinal veins dilated
C0423398  Retinal veins sheathed
C0423399  Retinal venous loops
C0423400  Retinal vascular anomalies
C0423401  Retinal arterial tortuosity
C0423402  Retinal macroaneurysm
C0423403  Anastomotic retinal vessels
C0423409  Retinal microvascular observation
C0423410  Hard exudates of retina
C0423411  Retinal microvascular lesions
C0423413  Retinal microvasc anastomoses
C0423414  Retinal flecking
C0423415  Punctate retinal deposits
C0423417  Retinal pigment deposits
C0423418  Retinal pigmentation grouped
C0423421  Atrophic macular change
C0423422  Macular pigment deposit
C0423423  Macular diffuse atrophy
C0423424  Macular areolar choroid atroph
C0423425  Macular choroidal sclerosis
C0423459  Optic disc vascular anomaly
C0423462  Retinociliary vein
C0423578  Has an itchy eye
C0423677  Acute back pain with sciatica
C0423679  Backache with radiation
C0423733  Painful lactation
C0423734  Pain when milk coming in
C0423793  Vascular lesion in skin or mucosa
C0423794  Dilated blood vessels in skin
C0423849  Malposition of lashes
C0424047  Perception of things changing shape
C0424073  Scenic visual hallucinations
C0424085  Dissoc visual hallucination
C0424496  Plethoric face
C0424514  Flushed complexion
C0424737  Red extremities
C0424740  Cold hands
C0424741  Cold feet
C0424820  Ulceration of lymph node
C0424829  Bulging blood vessel
C0424830  Dilated blood vessel
C0424831  Swollen artery
C0424833  Swollen veins round shoulder
C0424834  Chest wall veins distended
C0424835  Abdominal wall veins distended
C0424836  Distended epigastric veins
C0424846  Lid margin cyst
C0425533  Cardiac dullness
C0425552  Pleuropericardial rub
C0425560  CVS - Cardiovascular observations
C0425563  Pulse rate altered
C0425565  Pulse regular
C0425566  Sinus rhythm - pulse
C0425567  Pulse irregularly irregular
C0425568  Pulse regularly irregular
C0425569  Regular intermission in pulse
C0425571  Pulse unequal
C0425572  Slow rising pulse
C0425573  Jerky pulse
C0425574  Bounding pulse
C0425575  Delayed pulse
C0425576  Brachiofemoral delay
C0425577  Radiofemoral delay
C0425578  Plateau pulse
C0425579  Arm traction obliterates radial pulse
C0425581  Alternating pulse volume
C0425585  Palpitations - rapid
C0425589  Heart irregularly irregular
C0425590  Heart regularly irregular
C0425591  Dropped beat
C0425592  Third sound gallop
C0425593  Presystolic gallop
C0425594  Summation gallop
C0425595  Absent heart beat
C0425598  Bumping heart
C0425599  Palpable mitral first sound
C0425600  Visible prominence apex beat
C0425602  Apex beat displaced
C0425603  Exocard pulsatn assoc hrt beat
C0425605  Systolic cardiac thrill
C0425606  Diastolic cardiac thrill
C0425607  Continuous cardiac thrill
C0425608  Upper sternal shock
C0425609  Heart sounds different
C0425611  Heart sounds exaggerated
C0425612  Norm 3rd hrt snd, young person
C0425613  Early high pitched third sound
C0425614  Heart sounds diminished
C0425615  Heart sound inaudible
C0425616  Heart sound volume variable
C0425618  1st heart sound split
C0425619  2nd heart sound split
C0425620  Physiol split 2nd heart sound
C0425623  Soft systolic murmur
C0425625  Aortic ejection murmur
C0425626  Pulmonary ejection murmur
C0425627  Systolic flow murmur
C0425628  Mitral late systolic murmur
C0425629  Mitral pansystolic murmur
C0425630  Tricusp, inspir, pansyst murm
C0425631  Left parastern pansyst murmur
C0425632  Aortic diastolic murmur
C0425633  Pulmonary diastolic murmur
C0425635  Mid-diastolic mitral murmur
C0425636  Mid-diastolic tricuspid murmur
C0425637  Diastol tricuspid flow murmur
C0425638  Presystolic mitral murmur
C0425639  Presystolic tricuspid murmur
C0425640  Shunt murmur
C0425641  Added heart sounds
C0425642  Early opening snap
C0425643  Mid-systolic click
C0425644  Prosthetic valve sound
C0425645  Opening click of prosthetic valve
C0425646  Closing click of prosthetic valve
C0425647  Prosthetic valve sound muffled
C0425649  Exocardial murmurs
C0425654  VASCULAR SIGNS AND SYMPTOMS
C0425656  Broken blood vessel
C0425657  Burst blood vessel
C0425658  Fragile blood vessel
C0425659  Hard blood vessel
C0425660  Prominent blood vessel
C0425661  Prominent veins
C0425662  Prominent arm veins
C0425663  Prominent chest veins
C0425664  Prominent abdominal veins
C0425666  Prominent leg veins
C0425668  Abdominal aorta observation
C0425669  Abdominal aortic bruit
C0425670  Aortic pulsation in abdomen
C0425671  Aorta palpable
C0425672  Transmitted aortic pulsation in abdomen
C0425673  Expansile aortic pulsation in abdomen
C0425674  Arterial observation
C0425676  Thyroid flow murmur
C0425678  Arterial wall palpable
C0425679  Arterial wall cord-like
C0425680  Hardened arteries
C0425681  Arterial wall pipe stem
C0425682  Capillary observation
C0425683  Dilated capillaries
C0425685  Venous observation
C0425686  Condition of jugular veins
C0425687  JUGULAR VENOUS DISTENTION
C0425698  Varicose vein observation
C0425700  Incompetent perforator
C0425701  Hyphenwebs
C0425702  Reticular varices
C0425703  Trunk varices
C0425704  Dilated subcutaneous veins
C0425707  Venous flow direction
C0425709  Hard vein
C0425719  Poor ulnar perfusion of hand
C0425721  Poor arterial perfusion of leg
C0425908  Bleeding through os cervix
C0425958  Vaginal introitus bleeding
C0425959  Bleeding from hymen
C0425960  Contact bleeding from cervix
C0426037  Fetal heart observation
C0426038  FHH - Fetal heart heard
C0426196  Vaginal show
C0426464  Remnant adenoids
C0426468  Bleeding from back of nose
C0426469  Bleeding point in nose
C0426506  Tonsil observations
C0426509  Tonsils meet in middle
C0426510  Tonsillar remnants
C0426527  Bleeding of oral mucosa
C0426528  Contact bleeding of gums
C0426530  Bleeding from fauces
C0426532  Bleeding from tonsillar bed
C0426572  Bleeding from larynx
C0426618  Bloodstained vomit
C0426679  Puddle sign
C0426682  Fluid thrill
C0426686  Liver observation
C0426689  Liver edge
C0426690  Liver edge palpable
C0426691  Liver edge palpable inspiratn
C0426699  Tip of spleen palpable
C0426700  Splenic notch palpable
C0426701  Spleen palpable on inspiration
C0426702  Spleen palpable R lat position
C0426716  Bruit over liver
C0426717  Bruit over kidney
C0426752  Sentinel pile
C0426774  Reducibility of prolapsed pile
C0427814  Vomit: frank blood present
C0428712  Intracerebral vasc observatn
C0428723  Tourniquet observation
C0428727  Waveform observation
C0428837  Coronary artery collaterals
C0428871  Right to left shunt
C0428895  Labile blood pressure
C0428896  Stable blood pressure
C0428951  Borderline normal ECG
C0428952  Borderline abnormal ECG
C0428953  EKG findings of infarction
C0428968  Low QRS voltages
C0428975  ECG: supraventric. arryth. NOS
C0428999  Ventricular trigeminy
C0429003  Escape beat
C0429018  Indeterminate cardiac axis
C0429022  Prolonged P wave
C0429023  Shortened P wave
C0429027  Narrow QRS complex
C0429031  Shortened ST segment
C0429033  Prolonged T wave
C0429036  Prolonged TU interval
C0429037  Shortened TU interval
C0429039  Prolonged U wave
C0429043  Inverted P wave
C0429044  Flattened P wave
C0429045  Tall P wave
C0429047  Q wave height increased
C0429048  Q wave height decreased
C0429050  R wave height increased
C0429051  R wave height decreased
C0429053  S wave height increased
C0429054  S wave height decreased
C0429056  QRS complex height increased
C0429057  QRS complex height decreased
C0429059  T AMPLITUDE DECREASED
C0429060  Tall T wave
C0429061  Tall tented T wave
C0429063  Inverted U wave
C0429065  Tall U wave
C0429067  PR elevation
C0429068  PR depression
C0429073  Bifid P wave
C0429080  U wave shape
C0429082  ECG: F wave present
C0429083  ECG: F wave absent
C0429085  ECG: P wave NOS
C0429087  ECG: PR interval NOS (observable entity)
C0429088  Sloping PR interval
C0429090  Pathological Q wave
C0429093  Tall R wave
C0429095  Deep S wave
C0429098  ECG: QRS complex NOS
C0429100  Sloping ST segment
C0429101  Reverse tick ST segment
C0429105  Bifid T wave
C0429106  High T-voltage
C0429107  TU elevation
C0429108  TU depression
C0429109  ECG: U wave NOS
C0429110  ECG: U wave exaggerated
C0429112  Low U wave
C0429113  Bifid U wave
C0429115  Ventricular pacing pattern
C0429117  Atrial pacing pattern
C0429118  Ineffect artific pacemak patt
C0429122  Cardiopulm bypass observation
C0429132  Extracorp gas exchange observ
C0429473  CTG observations
C0429475  Reactive CTG tracing
C0429476  Nonreactive CTG tracing
C0429477  Baseline fetal heart rate
C0429478  Beat to beat variability
C0429480  Fetal heart deceleration
C0429481  Early fetal heart deceleration
C0429482  Late fetal heart deceleration
C0429483  Fetal heart acceleration
C0429531  Congenital malformation of angle
C0429532  Barkan membrane
C0429535  Angle foreign body
C0429560  Stereoscopic discrimination
C0429684  Distrib ventilation:perfusion
C0429687  Exercise test observation
C0429832  Penile arterial insufficiency
C0429884  Distal vessel patency reduced
C0429885  Distal vessel occluded
C0430453  ECG - no new changes
C0430454  ECG - improved
C0433715  Ecchymosis of oral cavity
C0433716  Ecchymosis of palate
C0433717  Ecchymosis of gingivae
C0433718  Ecchymosis of tongue
C0433719  Ecchymosis of floor of mouth
C0433720  Ecchymosis of buccal mucosa
C0433721  Ecchymosis intraorl surfac lip
C0433722  Ecchymosis of oral alveo mucos
C0433737  Ecchymosis of oropharynx
C0436534  Venogram abnormal
C0436551  C/O - low back pain
C0436553  C/O cold hands
C0436554  C/O cold feet
C0436576  O/E - dilated blood vessels
C0436586  O/E - unconscious
C0436587  O/E - collapse NOS
C0436588  O/E - collapse -cardiac arrest
C0436589  O/E - collapse - resp. arrest
C0436590  O/E - collapse - asphyxia
C0436591  O/E - collapse - syncope
C0436755  O/E - pulse rate
C0436756  O/E - pulse rate very slow
C0436757  O/E - pulse rate - bradycardia
C0436758  O/E - pulse borderline slow
C0436759  O/E - pulse rate normal
C0436760  O/E - pulse borderline fast
C0436761  O/E - pulse rate tachycardia
C0436762  O/E - pulse rate very fast
C0436763  O/E - pulse rate-pulse deficit
C0436764  O/E pulse rate stable
C0436765  O/E - pulse rhythm
C0436766  O/E - pulse rhythm regular
C0436767  O/E - pulse irregularly irreg.
C0436768  O/E -pulse regularly irregular
C0436769  O/E - pulse character
C0436770  O/E - pulse character normal
C0436771  O/E - bounding pulse
C0436772  O/E - thin pulse
C0436773  O/E - plateau pulse
C0436774  O/E - collapsing pulse
C0436775  O/E - arterial wall character
C0436776  O/E - arterial wall normal
C0436777  O/E - arterial wall thin
C0436778  O/E - arterial wall palpable
C0436779  On examination - arterial wall cord-like
C0436780  O/E - arterial wall-pipe stem
C0436781  O/E - BP reading
C0436782  O/E - BP unrecordable
C0436783  O/E - BP reading very low
C0436784  O/E - BP reading low
C0436785  O/E - BP borderline low
C0436786  O/E - BP reading normal
C0436787  O/E - BP borderline raised
C0436788  O/E - BP reading raised
C0436789  O/E - initial high BP
C0436790  O/E - check high BP
C0436791  O/E - BP reading very high
C0436792  O/E - BP reading:postural drop
C0436793  O/E - Systolic BP reading
C0436794  O/E - Diastolic BP reading
C0436795  O/E - BP stable
C0436796  O/E - arterial bruit
C0436798  O/E - carotid bruit present
C0436799  O/E - femoral bruit present
C0436800  O/E - renal bruit present
C0436802  O/E - venous system - NAD
C0436803  O/E - varicose veins
C0436804  O/E - JVP raised
C0436805  O/E - lateral abdo wall veins
C0436806  O/E - caput medusae
C0436807  O/E-chest wall veins distended
