C0027947  Neutropenia
C1273955  O/E - post-auricular lymphadenopathy (disorder)
C1287647  Finding of size of adenoids
C1292124  Lymphoid system finding (finding)
C1319030  Status of metastases in marker lymph node unknown (finding)
C1333078  Collagen Fibrosis of the Bone Marrow
C1334245  Intracranial Plasma Cell Granuloma
C1334458  Lymphadenopathy with Polyclonal Hypergammaglobulinemia
C1334688  Megaloblastic Erythroid Hyperplasia
C1335067  Normoblastic Erythroid Hyperplasia
C1335762  Bone marrow reticulin fibrosis
C1399464  hepatomegaly; splenomegaly
C1401677  glands; swelling, generalized
C1512996  Marked Bone Marrow Fibrosis
C1513005  Massive Sinusoidal Histiocytic Infiltrate
C1513313  Minimal Reticulin Fibrosis of the Bone Marrow
C1533098  Panleucopenia
C1562854  Sickle cell-haemoglobin C disease without crisis
C1562909  anemia hemolytic sickle Hb-E disease with crisis
C1562946  Penile sclerosing lipogranuloma due to injected substance (disorder)
C1562947  Sickle cell-haemoglobin E disease without crisis
C1562978  Sickle cell-thalassaemia disease without crisis
C1626924  On examination - spleen palpable (finding)
C1706304  gland; hypertrophy
C1709089  Multilocular Thymic Cyst
C1719331  Basophilic leukopenia
C1827289  Lymphadenopathy of head AND/OR neck
C1858586  Mild anemia
C1996951  Finding of sensation of lymph node
C2004660  abnormal RBC morphology
C2018785  tuberculosis of spleen bacteriology and histology not done (diagnosis)
C2018786  tuberculosis of spleen bacteriology and histology unknown (diagnosis)
C2021409  X-ray chest hilar lymphadenopathy bilateral symmetrical
C2021410  X-ray chest hilar lymphadenopathy bilateral asymmetrical
C2022946  echocardiography: enlargement of liver (procedure)
C2022953  echocardiography: enlargement of spleen (procedure)
C2026798  enlarged, fluctuant cervical lymph nodes bilaterally
C2026799  enlarged, rubbery cervical lymph nodes bilaterally
C2026800  enlarged, hard cervical lymph nodes bilaterally (physical finding)
C2026801  enlarged, tender right cervical lymph node
C2026802  enlarged, fixed cervical lymph nodes bilaterally (physical finding)
C2026803  enlarged, mobile cervical lymph nodes bilaterally
C2026804  enlarged, suppurative cervical lymph nodes bilaterally (physical finding)
C2026805  buboes of cervical lymph nodes bilaterally
C2026806  bubo of left cervical lymph node
C2026807  consistency of enlarged left cervical lymph node (physical finding)
C2026808  left cervical lymphadenopathy with draining sinus tract
C2026809  enlarged, suppurative left cervical lymph node (physical finding)
C2026810  cervical lymphadenopathy on left
C2026811  enlarged right cervical lymph node
C2026812  bubo of right cervical lymph node (physical finding)
C2026813  consistency of enlarged right cervical lymph node (physical finding)
C2026814  right cervical lymphadenopathy with draining sinus tract
C2026815  enlarged, fixed right cervical lymph node (physical finding)
C2026816  enlarged, mobile right cervical lymph node (physical finding)
C2026817  enlarged, suppurative right cervical lymph node
C2036927  enlarged, fluctuant submandibular lymph nodes bilaterally
C2036928  enlarged, rubbery submandibular lymph nodes bilaterally
C2036929  submandib lymph nodes enlarged and stony hard bilaterally
C2036930  enlarged submandibular lymph nodes bilaterally
C2036931  buboes of bubo submandibular lymph nodes (physical finding)
C2036932  consistency of bilaterally enlarged submandibular lymph nodes (physical finding)
C2036933  enlarged, fixed submandibular lymph nodes bilaterally
C2036934  enlarged, mobile submandibular lymph nodes bilaterally (physical finding)
C2036935  enlarged, suppurative submandibular lymph nodes bilaterally (physical finding)
C2036936  enlarged, tender submandibular lymph nodes bilaterally
C2036937  bubo of left submandibular lymph node
C2036938  consistency of enlarged left submandibular lymph node
C2036939  left submandibular lymphadenopathy with draining sinus tract
C2036940  enlarged, fixed left submandibular lymph node
C2036941  enlarged, mobile left submandibular lymph node (physical finding)
C2036942  enlarged, suppurative left submandibular lymph node
C2036943  enlarged, tender left submandibular lymph node (physical finding)
C2036944  enlarged left submandibular lymph node (physical finding)
C2036945  enlarged right submandibular lymph nodes (physical finding)
C2036946  bubo of right submandibular lymph node
C2036947  consistency of enlarged right submandibular lymph node (physical finding)
C2036948  enlarged, fixed right submandibular lymph node
C2036949  enlarged, mobile right submandibular lymph node
C2036950  enlarged, suppurative right submandibular lymph node
C2036951  enlarged, tender right submandibular lymph node (physical finding)
C2036953  enlarged, fluctuant submental lymph node
C2036954  enlarged, rubbery submental lymph node
C2036955  enlarged, hard submental lymph node
C2036956  bubo of submental lymph node (physical finding)
C2036957  consistency of enlarged submental lymph nodes
C2036958  submental lymphadenopathy with draining sinus tract
C2036959  enlarged, fixed submental lymph node
C2036960  enlarged, mobile submental lymph node (physical finding)
C2036961  enlarged, suppurative submental lymph node (physical finding)
C2036962  enlarged, tender submental lymph node (physical finding)
C2036975  enlarged, fluctuant suboccipital lymph nodes bilaterally
C2036976  enlarged, rubbery suboccipital lymph nodes bilaterally (physical finding)
C2036977  enlarged, hard suboccipital lymph nodes bilaterally (physical finding)
C2036978  bilateral suboccipital lymphadenopathy with draining sinus tract
C2036979  enlarged suboccipital lymph nodes bilaterally
C2036980  buboes of suboccipital lymph nodes bilaterally (physical finding)
C2036981  consistency of bilaterally enlarged suboccipital lymph nodes (physical finding)
C2036982  enlarged, fixed suboccipital lymph nodes bilaterally (physical finding)
C2036983  enlarged, mobile suboccipital lymph nodes bilaterally (physical finding)
C2036984  enlarged, suppurative suboccipital lymph nodes bilaterally
C2036985  enlarged, tender suboccipital lymph nodes bilaterally
C2036986  bubo of left suboccipital lymph node
C2036987  consistency of enlarged left suboccipital lymph node (physical finding)
C2036988  left suboccipital lymphadenopathy with draining sinus tract
C2036989  enlarged, fixed left suboccipital lymph node (physical finding)
C2036990  enlarged, mobile left suboccipital lymph node (physical finding)
C2036991  enlarged, suppurative left suboccipital lymph node
C2036992  enlarged, tender left suboccipital lymph node (physical finding)
C2036993  enlarged left suboccipital lymph node (physical finding)
C2036994  enlarged right suboccipital lymph node
C2036995  bubo of right suboccipital lymph node (physical finding)
C2036996  consistency of enlarged right suboccipital lymph node (physical finding)
C2036997  right suboccipital lymphadenopathy with draining sinus tract
C2036998  enlarged, fixed right suboccipital lymph node
C2036999  enlarged, mobile right suboccipital lymph node (physical finding)
C2037000  enlarged, suppurative right suboccipital lymph node (physical finding)
C2037001  enlarged, tender right suboccipital lymph node (physical finding)
C2037277  superficial femoral lymphadenopathy was seen
C2037451  enlarged, fluctuant supraclavicular lymph nodes bilaterally
C2037452  enlarged, rubbery supraclavicular lymph nodes bilaterally (physical finding)
C2037453  enlarged supraclavicular lymph nodes bilaterally
C2037454  buboes of supraclavicular lymph nodes bilaterally (physical finding)
C2037455  consistency of bilaterally enlarged supraclavicular lymph nodes (physical finding)
C2037456  enlarged, fixed supraclavicular lymph nodes bilaterally (physical finding)
C2037457  enlarged, mobile supraclavicular lymph nodes bilaterally (physical finding)
C2037458  enlarged, suppurative supraclavicular lymph nodes bilaterally (physical finding)
C2037459  enlarged, tender supraclavicular lymph nodes bilaterally
C2037460  bubo of left supraclavicular lymph node
C2037461  consistency of enlarged left supraclavicular lymph node
C2037462  enlarged, fixed left supraclavicular lymph node (physical finding)
C2037463  enlarged, mobile left supraclavicular lymph node
C2037464  enlarged, suppurative left supraclavicular lymph node (physical finding)
C2037465  enlarged, tender left supraclavicular lymph node
C2037466  enlarged left supraclavicular lymph node (physical finding)
C2037467  multiple enlarged left supraclavicular lymph nodes
C2037468  single enlarged left supraclavicular lymph node (physical finding)
C2037469  enlarged right supraclavicular lymph node
C2037470  multiple enlarged right supraclavicular lymph nodes (physical finding)
C2037471  single enlarged right supraclavicular lymph node (physical finding)
C2037472  bubo of right supraclavicular lymph node
C2037473  consistency of enlarged right supraclavicular lymph node
C2037474  enlarged, fixed right supraclavicular lymph node (physical finding)
C2037475  enlarged, mobile right supraclavicular lymph node
C2037476  enlarged, suppurative right supraclavicular lymph node
C2037477  enlarged, tender right supraclavicular lymph node
C2038659  swelling of both adenoids
C2038763  swelling of left adenoid (physical finding)
C2038809  swelling of left tonsil
C2038928  swelling of right adenoid
C2038977  swelling of right tonsil
C2041211  echocardiography: infarction of spleen (procedure)
C2051913  computed tomography of pelvis: lymph nodes calcified (procedure)
C2051914  computed tomography of pelvis: lymph nodes enlarged (procedure)
C2054287  a technetium liver scan showed hepatomegaly
C2071391  tonsils enlargement asymmetrically
C2071392  asymmetrical enlargement of tonsils with right greater than left (physical finding)
C2071393  asymmetrical enlargement of tonsils with left greater than right (physical finding)
C2071398  enlarged popliteal lymph node
C2071399  enlarged right popliteal lymph node (physical finding)
C2071400  enlarged left popliteal lymph node (physical finding)
C2071401  enlarged popliteal lymph nodes bilaterally (physical finding)
C2073423  X-ray chest hilar lymphadenopathy bilateral
C2073514  X-ray chest hilar lymphadenopathy
C2073708  X-ray chest hilar lymphadenopathy unilateral
C2076571  inflammation of both adenoids
C2076574  inflammation of left adenoid
C2076579  inflammation of right adenoid (physical finding)
C2076981  enlarged, fluctuant inguinal lymph nodes bilaterally
C2076982  enlarged, rubbery inguinal lymph nodes bilaterally (physical finding)
C2076983  enlarged, hard inguinal lymph nodes bilaterally
C2076984  bilateral inguinal lymphadenopathy with draining sinus tract
C2076985  enlarged inguinal lymph nodes bilaterally (physical finding)
C2076986  buboes of inguinal lymph nodes bilaterally
C2076987  consistency of bilaterally enlarged inguinal lymph nodes (physical finding)
C2076988  enlarged, fixed inguinal lymph nodes bilaterally
C2076989  enlarged, mobile inguinal lymph nodes bilaterally (physical finding)
C2076990  enlarged, suppurative inguinal lymph nodes bilaterally (physical finding)
C2076991  enlarged, tender inguinal lymph nodes bilaterally (physical finding)
C2076992  bubo of left inguinal lymph node (physical finding)
C2076993  consistency of enlarged left inguinal lymph node
C2076994  left inguinal lymphadenopathy with draining sinus tract
C2076995  enlarged, fixed left inguinal lymph node
C2076996  enlarged, mobile left inguinal lymph node (physical finding)
C2076997  enlarged, suppurative left inguinal lymph node
C2076998  enlarged, tender left inguinal lymph node
C2076999  enlarged left inguinal lymph node (physical finding)
C2077000  multiple enlarged left inguinal lymph nodes (physical finding)
C2077001  single enlarged left inguinal lymph node
C2077002  enlarged right inguinal lymph node
C2077003  multiple enlarged right inguinal lymph nodes (physical finding)
C2077004  single enlarged right inguinal lymph node
C2077005  bubo of right inguinal lymph node (physical finding)
C2077006  consistency of enlarged right inguinal lymph node (physical finding)
C2077007  right inguinal lymphadenopathy with draining sinus tract
C2077008  enlarged, fixed right inguinal lymph node (physical finding)
C2077009  enlarged, mobile right inguinal lymph node (physical finding)
C2077010  enlarged, suppurative right inguinal lymph node
C2077011  enlarged, tender right inguinal lymph node
C2087489  severity of obstruction due to enlargement of tonsils
C2087491  adenoids enlargement severity of hypertrophy ___(0-4+)
C2087572  warmth and inflammation of tonsils
C2087573  tonsillar induration
C2087574  inflammation of right tonsil
C2087575  inflammation of left tonsil (physical finding)
C2087576  inflammation of both tonsils
C2087577  bilateral swelling of tonsils
C2087582  tonsils mass (___ cm)
C2087583  tonsils mass fluctuant (___ cm)
C2087584  tonsils mass rubbery (___ cm)
C2087585  tonsils mass hard (___ cm)
C2087586  tonsils mass right (___ cm)
C2087587  tonsils mass left (___ cm)
C2087588  tonsils mass bilateral (___ cm)
C2087718  kissing tonsils (physical finding)
C2087895  enlargement of anterior tonsillar pillar
C2087896  anterior tonsillar pillar enlargement asymmetrically
C2087897  ant tonsillar pillar enlargement asymmetrically right > left
C2087898  ant tonsillar pillar enlargement asymmetrically left > right
C2087899  ant tonsillar pillar enlargement severity obstruct ___(0-4+)
C2087921  asymmetrical enlargement of posterior tonsillar pillar
C2087922  post tonsillar pillar enlargement asymmetrically right>left
C2087923  post tonsillar pillar enlargement asymmetrically left>right
C2097026  the spleen was normal
C2098234  biopsy brain lumbar spinal cord primary CNS lymphoma
C2098442  large intestine biopsy benign lymphangioma
C2098478  malignant medullary carcinoma metastatic to mediastinal node (procedure)
C2098481  thyroid biopsy malignant lymphoma
C2104174  tuberculous tracheobronchial adenopathy bacteriology and histology not done
C2104175  tuberculous tracheobronchial adenopathy bacteriology and histology unknown (diagnosis)
C2104180  tuberculous hilar adenopathy bacteriology and histology not done (diagnosis)
C2104181  tuberculous hilar adenopathy bacteriology and histology unknown
C2104186  tuberculous mediastinal adenopathy bacteriology and histology not done (diagnosis)
C2104187  tuberculous mediastinal adenopathy bacteriology and histology unknown (diagnosis)
C2104192  tuberculosis of intrathoracic lymph nodes bacteriology and histology not done
C2104193  tuberculosis of intrathoracic lymph nodes bacteriology and histology unknown (diagnosis)
C2107729  consistency of bilaterally enlarged cervical lymph nodes (physical finding)
C2111917  enlarged, fluctuant popliteal lymph nodes bilaterally (physical finding)
C2111918  enlarged, rubbery popliteal lymph nodes bilaterally (physical finding)
C2111919  enlarged, hard popliteal lymph nodes bilaterally
C2111920  bilateral popliteal lymphadenopathy with draining sinus tract
C2111921  buboes of popliteal lymph nodes bilaterally (physical finding)
C2111922  consistency of bilaterally enlarged popliteal lymph nodes
C2111923  enlarged, fixed popliteal lymph nodes bilaterally (physical finding)
C2111924  enlarged, mobile popliteal lymph nodes bilaterally
C2111925  enlarged, suppurative popliteal lymph nodes bilaterally (physical finding)
C2111926  enlarged, tender popliteal lymph nodes bilaterally
C2111927  bubo of left popliteal lymph node
C2111928  consistency of enlarged left popliteal lymph node (physical finding)
C2111929  left popliteal lymphadenopathy with draining sinus tract
C2111930  enlarged, fixed left popliteal lymph node
C2111931  enlarged, mobile left popliteal lymph node (physical finding)
C2111932  enlarged, suppurative left popliteal lymph node (physical finding)
C2111933  enlarged, tender left popliteal lymph node
C2111934  bubo of right popliteal lymph node
C2111935  consistency of enlarged right popliteal lymph node (physical finding)
C2111936  right popliteal lymphadenopathy with draining sinus tract
C2111937  enlarged, fixed right popliteal lymph node (physical finding)
C2111938  enlarged, mobile right popliteal lymph node (physical finding)
C2111939  enlarged, suppurative right popliteal lymph node (physical finding)
C2111940  enlarged, tender right popliteal lymph node
C2112101  enlarged, fluctuant postauricular lymph nodes bilaterally (physical finding)
C2112102  enlarged, rubbery postauricular lymph nodes bilaterally (physical finding)
C2112103  enlarged, hard postauricular lymph nodes bilaterally
C2112104  enlarged postauricular lymph nodes bilaterally (physical finding)
C2112105  buboes of postauricular lymph nodes bilaterally
C2112106  consistency of bilaterally enlarged postauricular lymph nodes
C2112107  bilateral posterior auricular lymphadenopathy with draining sinus tract
C2112108  enlarged, fixed postauricular lymph nodes bilaterally
C2112109  enlarged, mobile postauricular lymph nodes bilaterally
C2112110  enlarged, suppurative postauricular lymph nodes bilaterally (physical finding)
C2112111  enlarged, tender postauricular lymph nodes bilaterally (physical finding)
C2112112  bubo of left postauricular lymph node
C2112113  consistency of enlarged left postauricular lymph node (physical finding)
C2112114  left posterior auricular lymphadenopathy with draining sinus tract
C2112115  enlarged, fixed left postauricular lymph node (physical finding)
C2112116  enlarged, mobile left postauricular lymph node (physical finding)
C2112117  enlarged, suppurative left postauricular lymph node
C2112118  enlarged, tender left postauricular lymph node
C2112119  enlarged left postauricular lymph node
C2112120  enlarged right postauricular lymph node
C2112121  bubo of right postauricular lymph node (physical finding)
C2112122  consistency of enlarged right postauricular lymph node
C2112123  postauric lymph nodes enlarged right draining sinus tract
C2112124  enlarged, fixed right postauricular lymph node (physical finding)
C2112125  enlarged, mobile right postauricular lymph node (physical finding)
C2112126  enlarged, suppurative right postauricular lymph node
C2112127  enlarged, tender right postauricular lymph node (physical finding)
C2112215  enlarged posterior cervical lymph nodes bilaterally
C2112216  enlarged left posterior cervical lymph nodes (physical finding)
C2112217  enlarged right posterior cervical lymph nodes (physical finding)
C2112915  enlarged, fluctuant preauricular lymph nodes bilaterally (physical finding)
C2112916  enlarged, rubbery preauricular lymph nodes bilaterally (physical finding)
C2112917  enlarged, hard preauricular lymph nodes bilaterally
C2112918  bilateral preauricular lymphadenopathy with draining sinus tract
C2112919  enlarged preauricular lymph nodes bilaterally (physical finding)
C2112920  buboes of preauricular lymph nodes bilaterally (physical finding)
C2112921  consistency of bilaterally enlarged preauricular lymph node
C2112922  enlarged, fixed preauricular lymph nodes bilaterally (physical finding)
C2112923  enlarged, mobile preauricular lymph nodes bilaterally
C2112924  enlarged, suppurative preauricular lymph nodes bilaterally
C2112925  enlarged, tender preauricular lymph nodes bilaterally (physical finding)
C2112926  bubo of left preauricular lymph node (physical finding)
C2112927  consistency of enlarged left preauricular lymph node
C2112928  enlarged left preauricular lymph node with draining sinus tract (physical finding)
C2112929  enlarged, fixed left preauricular lymph node (physical finding)
C2112930  enlarged, mobile left preauricular lymph node
C2112931  enlarged, suppurative left preauricular lymph node (physical finding)
C2112932  enlarged, tender left preauricular lymph node (physical finding)
C2112933  enlarged left preauricular lymph node
C2112934  enlarged right preauricular lymph node (physical finding)
C2112935  bubo of right preauricular lymph node (physical finding)
C2112936  consistency of enlarged right preauricular lymph node
C2112937  enlarged right preauricular lymph node with draining sinus tract (physical finding)
C2112938  enlarged, fixed right preauricular lymph node (physical finding)
C2112939  enlarged, mobile right preauricular lymph node
C2112940  enlarged, suppurative right preauricular lymph node (physical finding)
C2112941  enlarged, tender right preauricular lymph node (physical finding)
C2133618  dosage failure excessive amount during blood transfusion
C2139695  left anterior cervical lymphadenopathy
C2140138  left axillary lymphadenopathy
C2140139  enlarged, fluctuant left axillary lymph node
C2140140  enlarged, rubbery left axillary lymph node
C2140141  enlarged, hard left axillary lymph node (physical finding)
C2140516  enlarged, fixed left cervical lymph node (physical finding)
C2140517  enlarged, fluctuant left cervical lymph node
C2140518  enlarged, mobile left cervical lymph node (physical finding)
C2140519  enlarged, rubbery left cervical lymph node (physical finding)
C2140520  enlarged, hard left cervical lymph node
C2140521  enlarged, tender left cervical lymph node (physical finding)
C2141005  enlarged, fluctuant left epitrochlear lymph node (physical finding)
C2141006  enlarged, rubbery left epitrochlear lymph node
C2141007  enlarged, hard left epitrochlear lymph node
C2141132  enlarged, fluctuant left femoral lymph node
C2141133  enlarged, rubbery left femoral lymph node (physical finding)
C2141134  enlarged, hard left femoral lymph node (physical finding)
C2142141  enlarged, fluctuant left inguinal lymph node
C2142142  enlarged, rubbery left inguinal lymph node
C2142143  enlarged, hard left inguinal lymph node (physical finding)
C2143320  purpura along anterior jaw line (physical finding)
C2143321  purpura along entire jaw line
C2143322  purpura on the face along the jaw line
C2143323  purpura along left jaw line (physical finding)
C2143324  purpura along posterior jaw line
C2143325  purpura along right jaw line
C2143326  purpura on the face circumorally both
C2143327  purpura around both sides of nose and mouth (physical finding)
C2143328  purpura around left side of mouth (physical finding)
C2143329  purpura around left side of nose and mouth
C2143330  purpura around mouth (physical finding)
C2143331  purpura on the face around nose and mouth
C2143332  purpura around right side of mouth (physical finding)
C2143333  purpura on the face around nose and mouth right
C2143334  purpura between the toes left foot first-second
C2143335  purpura between the toes right foot first-second
C2143336  purpura between fourth and fifth toes on left foot
C2143337  purpura between fourth and fifth toes on right foot
C2143338  purpura between the toes left foot second-third
C2143339  purpura between second and third toes on right foot
C2143340  purpura between third and fourth toes on left foot (physical finding)
C2143341  purpura between third and fourth toes on right foot (physical finding)
C2143342  purpura between toes (physical finding)
C2143343  purpura between toes on both feet (physical finding)
C2143344  purpura between toes on left foot
C2143345  purpura between the toes right foot
C2143346  purpura 'blueberry muffin' rash (physical finding)
C2143347  purpura was seen in the diaper area involving the buttocks
C2143348  purpura was seen in the diaper area toward the front
C2143349  purpura, looking papular, was seen in the diaper area
C2143350  purpura, with peeling, was seen in the diaper area
C2143351  raw-looking purpura was seen in the diaper area
C2143352  purpura, with scabs present, was seen in the diaper area
C2143353  purpura, looking smooth and red, was seen in the diaper area
C2143354  purpura in diaper area (physical finding)
C2143355  purpura in entire inguinal region (physical finding)
C2143356  purpura in inguinal region (physical finding)
C2143357  purpura in left inguinal region (physical finding)
C2143358  purpura in right inguinal region (physical finding)
C2143359  purpura on abdomen (physical finding)
C2143360  purpura on the face nose ala nasi
C2143361  purpura on the face nose alar groove
C2143362  purpura on anal region
C2143363  purpura on the feet soles left heel anterior
C2143364  purpura on anterior heel of right foot (physical finding)
C2143365  purpura on anterior neck
C2143366  purpura on anterior scalp (physical finding)
C2143367  purpura on the knees both anterior
C2143368  purpura on anterior surface of both thighs (physical finding)
C2143369  purpura on anterior surface of left knee (physical finding)
C2143370  purpura on anterior surface of left thigh (physical finding)
C2143371  purpura on the knees right anterior
C2143372  purpura on anterior surface of right thigh (physical finding)
C2143373  purpura on the feet soles left arch
C2143374  purpura on the feet soles right arch
C2143375  purpura on the chest areola
C2143376  purpura on the arms
C2143377  purpura on back
C2143378  purpura on back of both shoulders
C2143379  purpura on back of left shoulder (physical finding)
C2143380  purpura on back of right shoulder
C2143381  purpura on the shoulders back
C2143382  purpura on both ala nasi
C2143383  purpura on both alar grooves
C2143384  purpura on both ankles
C2143385  purpura on both areolae (physical finding)
C2143386  purpura on both arms (physical finding)
C2143387  purpura on both breasts (physical finding)
C2143388  purpura on both buttocks (physical finding)
C2143389  purpura on both calves (physical finding)
C2143390  purpura on the face cheeks both
C2143391  purpura on both ears
C2143392  purpura on the elbows both
C2143393  purpura on both eyebrows (physical finding)
C2143394  purpura on the forearms both
C2143395  purpura on both hands
C2143396  purpura on the calves bilaterally inferior
C2143397  purpura on both infraclavicular regions
C2143398  purpura on both knees
C2143399  purpura labia bilateral
C2143400  purpura on both lateral ankles (physical finding)
C2143401  purpura on the elbows both lateral
C2143402  purpura on both lower shins
C2143403  purpura on both medial ankles (physical finding)
C2143404  purpura on both medial elbows
C2143405  purpura on both nipples
C2143406  purpura on the face nose nostril both
C2143407  purpura on both outside elbows
C2143408  purpura on both paranasal folds (physical finding)
C2143409  purpura on the knees both popliteal fossae
C2143410  purpura on the shins both
C2143411  purpura on both sides of anterior neck (physical finding)
C2143412  purpura on both sides of posterior neck sides (physical finding)
C2143413  purpura on both superior calves (physical finding)
C2143414  purpura on the chest supraclavicular bilateral
C2143415  purpura on both temples (physical finding)
C2143416  purpura on both thighs
C2143417  purpura on both upper shins (physical finding)
C2143418  purpura on buttock (physical finding)
C2143419  purpura on the calves
C2143420  purpura on the face eyelids canthus
C2143421  purpura on cheek
C2143422  purpura on chest
C2143423  purpura on the face chin
C2143424  purpura on the face nose columella
C2143425  purpura on the thighs both distal
C2143426  purpura on the forearms left distal
C2143427  purpura on distal end of left fourth toe
C2143428  purpura on distal end of left great toe (physical finding)
C2143429  purpura on the fingers left index finger distal
C2143430  purpura on the fingers left little finger distal
C2143431  purpura on the left little toe distal
C2143432  purpura on the fingers left middle finger distal
C2143433  purpura on the fingers left ring finger distal
C2143434  purpura on distal end of left second toe (physical finding)
C2143435  purpura on distal end of left thigh (physical finding)
C2143436  purpura on distal end of left third toe (physical finding)
C2143437  purpura on the fingers left thumb distal
C2143438  purpura on distal end of right forearm
C2143439  purpura on the right fourth toe distal
C2143440  purpura on the right great toe distal
C2143441  purpura on the fingers right index finger distal
C2143442  purpura on the fingers right little finger distal
C2143443  purpura on distal end of right little toe (physical finding)
C2143444  purpura on the fingers right middle finger distal
C2143445  purpura on the fingers right ring finger distal
C2143446  purpura on the right second toe distal
C2143447  purpura on distal end of right thigh (physical finding)
C2143448  purpura on the right third toe distal
C2143449  purpura on distal end of right thumb
C2143450  purpura on dorsal surface of both hands (physical finding)
C2143451  purpura on the forearms left dorsal
C2143452  purpura on the left fourth toe dorsal
C2143453  purpura on the left great toe dorsal
C2143454  purpura on dorsal surface of left hand (physical finding)
C2143455  purpura on the fingers left index finger dorsal
C2143456  purpura on the fingers left little finger dorsal
C2143457  purpura on dorsal surface of left little toe (physical finding)
C2143458  purpura on the fingers left middle finger dorsal
C2143459  purpura on the fingers left ring finger dorsal
