C0000848  ABSENT POSTERIOR TIBIAL PULSE
C0410919  Fetal bradycardia
C0423006  DISCHARGE EYE
C0423042  Divergence paralysis
C0423075  Incomitant esophoria
C0423386  Silver wire retinal artery
C0423517  Blood discharge from ear
C0423633  Parasternal chest pain
C0423634  Central chest pain
C0423636  Cardiac chest pain, NOS
C0423637  Sore nipple
C0423640  Right flank pain
C0423641  Left flank pain
C0423673  Rachialgia
C0423678  Back pain worse on sneezing
C0423681  Pain in lumbar spine
C0423683  Lumbar ache - renal
C0423684  Thoracic back pain
C0423685  Acute thoracic back pain
C0423686  Hieralgia
C0423689  Post compartment low back pain
C0423729  Painful respiration
C0424071  Unformed visual hallucinations
C0424072  Formed visual hallucinations
C0424518  Flushes/goes red
C0424535  Vasovagal symptom
C0424810  Swelling round eyes
C0425617  Splitting of heart sounds
C0425650  Cardiorespiratory murmur
C0425665  Prominent leg veins - symptom
C0425667  Prominent veins - symptom
C0436816  O/E - cardiac thrill
C0438432  Angioscotoma
C0438434  Ring scotoma
C0438716  PRESSURE CHEST
C0439040  C/O - loin pain
C0456073  Neonatal facial petechiae
C0456074  Traumat neonat facial cyanosis
C0456122  Harlequin change
C0457950  Acute back pain - lumbar
C0458102  Central crushing chest pain
C0458114  Thoracic trigger point syndrom
C0458116  Lumbar trigger point syndrome
C0458226  Arthralgia - sternoclav joint
C0458228  Acromioclavicular joint pain
C0472514  Edema of uvula
C0473249  Idiopathic scrotal edema
C0473563  Achenbach's syndrome
C0474512  Blood in faeces symptom
C0476258  Awareness of heart beat
C0476270  Cardiovascular symptom NOS
C0476278  Anterior chest wall pain
C0476280  Musculoskeletal chest pain
C0476281  Non-cardiac chest pain
C0521668  Thunderclap headache
C0521762  Positional nystagmus, variable eye direction
C0521763  Nystagmus produced by neck rotation
C0521764  Nystagmus enhanced when fixation removed
C0521765  Nystagmus unchanged when fixation removed
C0521766  Nystagmus inhibited when fixation removed
C0522044  Edema of thigh
C0522045  Edema of knee
C0522051  Acute chest pain
C0522052  Intermittent palpitations
C0522067  Liver pain
C0522256  Thoracic nerve root pain
C0541828  CHEST PAIN-L ARM
C0547004  Regular intermenstrual bleeding
C0547005  Midcycle bleeding
C0547030  Visual disturbances
C0555056  Expectoration of blood stained sputum
C0555060  Atrial septal defect murmur
C0558161  Breast-feeding painful
C0563275  Right sided chest pain
C0563278  Upper chest pain
C0563608  Formed hallucination of people
C0567493  Gen tenderness breast
C0567494  Localised tenderness of breast
C0574002  PEDAL EDEMA
C0574068  Rib pain
C0575014  Lumbar spine stiff
C0577256  Prostate swelling
C0577563  Mass cardiovascular structure
C0577587  Swelling cardiovascular struct
C0577588  Swelling lymphoreticul struct
C0577592  Swelling male genital struct
C0577593  Epididymal swelling
C0577659  Pain in axilla
C0577660  Postural low back pain
C0577698  ANGINA OF EFFORT
C0578048  Pain of cardiovasc structure
C0578080  Tenderness of cardiovas struct
C0578097  Tenderness of right lumbar
C0578098  Tenderness of left lumbar
C0578106  Rebound tendern R lumbar
C0578107  Rebound tenderness L lumbar
C0578674  Premenstrual breast tenderness
C0578685  Upper lid retraction
C0578686  Lower lid retraction
C0578737  Brachial lymphadenopathy
C0578738  Epitrochlear lymphadenopathy
C0578739  Popliteal lymphadenopathy
C0581323  Clavicle pain
C0581866  Costal margin chest pain
C0581879  Feeling faint
C0585540  Oculopalatal myoclonus
C0585542  BPPV-Ben parox pos vert nyst
C0585566  Nystagmus signs
C0585958  Genital varices in puerperium
C0585977  Vaginal varices in puerperium
C0600142  Hot flash
C0677061  Pain in thoracic spine
C0700200  NEAR SYNCOPE
C0740418  Chronic back pain
C0743554  recurrent epistaxis
C0744876  Hepatomegaly tenderness
C0745417  ISCHEMIC PAIN
C0745742  LIVER DAMAGE SIGN
C0745966  LOWER LEG EDEMA
C0750152  VASOMOTOR SYMPTOM
C0750957  Blindness, total
C0751535  SYNCOPE CARDIAC
C0751536  Convulsive syncope (disorder)
C0849986  localized penile swelling of foreskin (symptom)
C0850809  total loss of vision in one eye (symptom)
C0858529  Cardialgia
C0920171  feels like something is in eye
C1262535  Jaundice, hepatocellular
C1268591  Quadrantic scotoma (finding)
C1277290  Mastalgia of puberty (disorder)
C1277643  Intractable breast pain (finding)
C1277645  Persistent mastalgia (finding)
C1277646  Unilateral mastalgia (finding)
C1280008  INTESTINAL ANGINA
C1282193  Wound discharge of eye (disorder)
C1282194  Contact lens related disorder (disorder)
C1282197  Contact lens related red eye (disorder)
C1282799  Swelling of Penis
C1290771  edema of oral vestibule
C1304408  Urticarial vasculitis
C1319537  O/E - right eye background diabetic retinopathy (disorder)
C1319538  O/E - left eye background diabetic retinopathy (disorder)
C1319539  O/E - right eye preproliferative diabetic retinopathy (disorder)
C1319540  O/E - left eye preproliferative diabetic retinopathy (disorder)
C1319541  O/E - right eye proliferative diabetic retinopathy (disorder)
C1319542  O/E - left eye proliferative diabetic retinopathy (disorder)
C1319543  O/E - right eye diabetic maculopathy (disorder)
C1319544  O/E - left eye diabetic maculopathy (disorder)
C1319587  O/E - retinopathy (disorder)
C1319588  O/E - referable retinopathy (disorder)
C1319589  O/E - non-referable retinopathy (disorder)
C1319825  On examination - left posterior tibial pulse abnormal
C1319826  On examination - right dorsalis pedis pulse abnormal
C1319827  On examination - Right posterior tibial pulse abnormal
C1321324  Bruns nystagmus (disorder)
C1321325  Elliptical nystagmus (disorder)
C1332855  Cardiovascular System Signs and Symptoms
C1386344  inguinal; adenopathy
C1386346  mediastinal; adenopathy
C1386351  mesenteric; adenopathy
C1386353  adenopathy; tracheobronchial
C1387770  angina pectoris; de novo effort
C1387772  angina pectoris; pre-infarctional
C1387773  progressive; angina pectoris, worsening effort
C1388031  quadrant anopsia
C1389583  benign; murmur
C1389591  limitation; visual field
C1390037  blood; cornea
C1390051  blood pressure; low, incidental reading, without diagnosis of hypotension
C1390183  hemorrhage; intermenstrual
C1390319  hemorrhage; uterus, intermenstrual (regular)
C1393964  cornea; deposit, hemosiderin in old scars
C1394765  De novo effort angina
C1395829  pressure; hyposystolic incidental reading, without diagnosis of hypotension
C1397263  phenomenon; vasomotor
C1397568  Fleischer; ring
C1398452  murmur; cardiac valve
C1398453  heart valve; murmur, innocent
C1398454  murmur; nonorganic
C1398664  visual field; disability
C1398665  deformity; visual field
C1398667  vision; visual field
C1398734  glandular; hypertrophy
C1399101  cervical gland; hyperplasia
C1399104  cervical gland; swelling
C1399669  hilus gland; hypertrophy
C1401601  keratohemia
C1401678  glands; swelling, localized
C1402130  low back; myofasciitis
C1402997  limbus corneae; pigmentation
C1403230  lumbar region; pain
C1405035  pain; pericardial
C1405038  pain; thorax, thoracic, ischemic
C1405040  pain; thorax, thoracic, spine
C1406074  phenomenon; vasovagal
C1406671  syncope; vasoconstriction
C1408360  nonorganic origin; murmur
C1408508  eyestrain; fatigue
C1408758  eye; tension
C1410075  sternalgia
C1510416  Coffee ground emesis
C1565887  Physiologic jaundice in newborn, NOS
C1719857  Hepatomegaly associated with AIDS (disorder)
C1740831  Chronic chest pain
C1744601  Abnormal cardiac rate, NOS
C1960978  Pain radiating to center of chest
C1960985  Pain radiating to left side of chest (finding)
C1960994  Pain radiating to right side of chest
C1998435  Typical angina (disorder)
C2008810  frequent passing of dime-sized blood clots during periods (symptom)
C2008811  frequent passing of egg-sized blood clots during periods (symptom)
C2008812  frequent passing of large blood clots during periods
C2008813  frequent passing of quarter-sized blood clots during periods
C2008829  frequently bumping into things or people (symptom)
C2008831  frequently knocking things over (symptom)
C2008832  frequently misjudging distance when stepping up or down (symptom)
C2008833  frequently missing container when pouring liquids (symptom)
C2008834  frequently missing when threading a needle (symptom)
C2010780  foggy vision which is generalized
C2010797  generalized scrotal swelling (symptom)
C2012471  gradual loss of vision in left half of visual field
C2012472  slow loss left vision binocular
C2012473  gradual loss of vision in lower half of visual field (symptom)
C2012474  slow loss lower vision left
C2012475  gradual loss of vision in lower half of visual field in right eye (symptom)
C2012476  gradual loss of vision in lower half of visual fields in both eyes
C2012477  gradual loss of vision in nasal half of visual field (symptom)
C2012478  slow loss nasal vision binocular
C2012481  gradual loss of vision in part of visual field (symptom)
C2012482  gradual loss of vision in right half of visual field (symptom)
C2012483  gradual loss of vision in right half of visual fields in both eyes (symptom)
C2012484  gradual loss of vision in temporal half of visual field (symptom)
C2012487  gradual loss of vision in temporal half of visual fields in both eyes (symptom)
C2012488  gradual loss of vision in upper half of visual field
C2012489  slow loss upper vision binocular
C2012490  gradual loss of vision in upper half of visual field in left eye
C2012491  gradual loss of vision in upper half of visual field in right eye (symptom)
C2012500  lower back pain started gradually
C2012641  growth on left sclera
C2012642  growth on right sclera (symptom)
C2012643  growth on sclera
C2012644  growth on white of eye with blood vessels (symptom)
C2012661  growth on sclera binocular
C2016599  pain between shoulder blades (symptom)
C2020356  diffuse back stiffness (symptom)
C2020617  street signs blurry until too late
C2029900  tachycardia
C2029901  fast heart rate over 160
C2030274  metrorrhagia
C2030275  heavy bleeding since the last period
C2032146  pain in both breasts
C2032305  bilateral flank pain
C2032306  flank pain disproportionate to injury
C2032307  radiating flank pain
C2032308  pain in the flank which radiates to a testicle
C2032341  pain in left breast
C2032342  pain at the left nipple
C2032343  pain in lower inner quadrant of left breast (symptom)
C2032344  pain in lower outer quadrant of left breast (symptom)
C2032345  pain in upper inner quadrant of left breast (symptom)
C2032346  pain in upper outer quadrant of left breast (symptom)
C2032409  pain in right breast (symptom)
C2032410  pain at the right nipple
C2032411  pain in lower inner quadrant of right breast
C2032412  pain in lower outer quadrant of right breast
C2032413  pain in upper inner quadrant of right breast (symptom)
C2032414  pain in upper outer quadrant of right breast
C2032450  pain in tailbone causing difficulty sitting (symptom)
C2032728  painful lump in the armpit
C2032742  painless periorbital swelling (symptom)
C2032976  palpitations at rest (symptom)
C2032986  occurrence of palpitations
C2032987  palpitations occurring 15-30 minutes after eating (symptom)
C2032988  palpitations occurring 2-3 hours after eating (symptom)
C2032989  palpitations occurring after meal
C2032990  palpitations occurring with exertion
C2032991  palpitations started slowly (symptom)
C2032992  palpitations started suddenly (symptom)
C2032993  palpitations stop slowly (symptom)
C2032994  palpitations stop suddenly (symptom)
C2032995  palpitations sustained
C2032996  palpitations when tired
C2032997  fast palpitations (symptom)
C2032998  palpitations while lying on left side (symptom)
C2032999  palpitations with skipped beats
C2037122  sudden onset or visual field defect in left half of eye
C2037123  sudden loss of vision in left half of visual fields in both eyes (symptom)
C2037124  sudden loss lower vision
C2037125  sudden loss lower vision left
C2037126  sudden loss lower vision right
C2037127  sudden loss of vision in lower half of visual fields in both eyes (symptom)
C2037128  nasal visual field defect, sudden onset
C2037129  sudden onset of nasal visual field defect in left eye
C2037130  sudden loss nasal vision right
C2037131  nasal visual field defects in both eyes, sudden onset
C2037132  sudden loss of part of vision
C2037133  sudden loss of vision in right half of visual field
C2037134  sudden loss of vision in right half of visual fields in both eyes (symptom)
C2037135  sudden loss of vision in temporal half of visual field (symptom)
C2037136  temporal visual field defects in both eyes, sudden onset
C2037138  sudden onset of temporal visual field defect in right eye
C2037139  sudden loss of vision in upper half of visual field
C2037140  sudden loss upper vision left
C2037141  sudden onset of upper visual field defect in right eye
C2037142  upper visual field defect in both eyes, sudden onset
C2037147  sudden onset of cold arm (symptom)
C2037148  sudden onset of cold arms bilaterally
C2037149  sudden onset of cold feet bilaterally
C2037150  sudden onset of cold fingers (symptom)
C2037151  sudden onset of cold fingers both hands (symptom)
C2037152  sudden onset of cold finger of left hand (symptom)
C2037153  sudden onset of cold finger of right hand
C2037154  sudden onset of cold foot (symptom)
C2037155  sudden onset of cold hand (symptom)
C2037156  sudden onset of cold hands bilaterally (symptom)
C2037157  sudden onset of cold hands or feet (symptom)
C2037158  sudden onset of cold left arm
C2037159  sudden onset of cold fifth toe of left foot (symptom)
C2037160  sudden onset of cold left foot
C2037161  sudden onset of cold fourth toe of left foot (symptom)
C2037162  sudden onset of cold great toe of left foot
C2037163  sudden onset of cold left hand
C2037164  sudden onset of cold index finger of left hand
C2037165  sudden onset of cold left leg
C2037166  sudden onset of cold little finger of left hand
C2037167  sudden onset of cold middle finger of left hand (symptom)
C2037168  sudden onset of cold ring finger of left hand
C2037169  sudden onset of cold second toe of left foot (symptom)
C2037170  sudden onset of cold third toe of left foot (symptom)
C2037171  sudden onset of cold thumb of left hand (symptom)
C2037172  sudden onset of cold leg
C2037173  sudden onset of cold legs bilaterally (symptom)
C2037174  sudden onset of cold right arm (symptom)
C2037175  sudden onset of cold fifth toe of right foot (symptom)
C2037176  sudden onset of cold right foot (symptom)
C2037177  sudden onset of cold fourth toe of right foot
C2037178  sudden onset of cold great toe of right foot (symptom)
C2037179  sudden onset of cold right hand (symptom)
C2037180  sudden onset of cold index finger of right hand (symptom)
C2037181  sudden onset of cold right leg
C2037182  sudden onset of cold little finger of right hand (symptom)
C2037183  sudden onset of cold middle finger of right hand (symptom)
C2037184  sudden onset of cold ring finger of right hand
C2037185  sudden onset of cold second toe of right foot
C2037186  sudden onset of cold third toe of right foot
C2037187  sudden onset of cold thumb of right hand
C2037188  sudden onset of cold toe (symptom)
C2037189  sudden onset of cold toes of both feet
C2037190  sudden onset of cold toe of left foot (symptom)
C2037191  sudden onset of cold toe of right foot (symptom)
C2037196  lower back pain started suddenly
C2037199  sudden onset of worsening vision (symptom)
C2037201  duration of sudden redness of skin
C2037202  frequency of sudden redness of skin
C2037203  sudden redness of skin lasting several hours (symptom)
C2037204  sudden redness of skin lasting several minutes (symptom)
C2037205  flushing precipitated by stressful situations
C2037206  flushing precipitated
C2037207  flushing precipitated by alcohol
C2037208  flushing precipitated by food
C2037209  flushing precipitated by minimal exertion
C2037210  sudden redness of skin several times a day (symptom)
C2037211  sudden redness of skin several times a month
C2037212  sudden redness of skin several times a week (symptom)
C2037498  supraorbital swelling (symptom)
C2038631  swelling around nasal side of both eyes (symptom)
C2047122  hot flashes after recent gynecological surgery (symptom)
C2047123  hot flashes after recent orchiectomy (symptom)
C2047124  hot flashes after recent treatment for prostate cancer
C2047125  gradual onset of hot flashes
C2047126  sudden onset of hot flashes
C2047127  hot flashes with recent cessation of estrogen therapy (symptom)
C2048873  increased sensitivity to glare
C2052806  generalized penile swelling
C2052807  localized penile swelling of shaft (symptom)
C2052808  localized penile swelling of tip
C2053835  peripheral vision worsens during day
C2073251  chest pain accompanied by difficulty breathing (symptom)
C2073252  chest pain accompanied by palpitations
C2073253  chest pain accompanied by sweating
C2073254  chest pain accompanied by upset stomach (symptom)
C2073255  chest pain along left costal margin (symptom)
C2073256  chest pain along right costal margin (symptom)
C2073257  chest pain accompanied by
C2073258  chest pain below left clavicle (symptom)
C2073259  chest pain below right clavicle
C2073260  chest pain between left eighth and ninth ribs
C2073261  chest pain between left fifth and sixth ribs
C2073262  chest pain between left fourth and fifth ribs
C2073263  chest pain between left ninth and tenth ribs (symptom)
C2073264  chest pain between left second and third ribs
C2073265  chest pain between left seventh and eighth ribs
C2073266  chest pain between left sixth and seventh ribs (symptom)
C2073267  chest pain between left third and fourth ribs
C2073268  chest pain between right eighth and ninth ribs
C2073269  chest pain between right fifth and sixth ribs
C2073270  chest pain between right fourth and fifth ribs
C2073271  chest pain between right ninth and tenth ribs
C2073272  chest pain between right second and third ribs (symptom)
C2073273  chest pain between right seventh and eighth ribs
C2073274  chest pain between right sixth and seventh ribs
C2073275  chest pain between right third and fourth ribs
C2073276  chest pain causing awakening from sleep
C2073277  chest pain deep in back between shoulder blades on exertion (symptom)
C2073278  chest pain deep in back between shoulder blades (symptom)
C2073279  duration of chest pain
C2073280  chest pain made worse by
C2073281  chest pain increasing in severity
C2073282  chest pain increasingly less responsive to nitroglycerin (symptom)
C2073283  chest pain starting with
C2073284  chest pain lasting continuously for several days
C2073285  chest pain lasting continuously for several weeks or more (symptom)
C2073286  chest pain lasting from 20 minutes to a day (symptom)
C2073287  chest pain lasting increasingly longer
C2073288  chest pain lasting increasingly longer with each episode (symptom)
C2073289  chest pain lasting increasingly longer during last few days (symptom)
C2073290  chest pain lasting increasingly longer during the last few months
C2073291  chest pain lasting increasingly longer during the last few weeks
C2073293  chest pain localizing to the chest wall in the center
C2073294  chest pain localizing to chest wall center anteriorly
C2073295  chest pain localizing to chest wall in center posteriorly (symptom)
C2073296  chest pain localizing to the chest wall on the left
C2073297  chest pain localizing to the chest left wall anteriorly
C2073298  chest pain localizing to chest wall on left laterally (symptom)
C2073299  chest pain localizing to chest wall on left posteriorly (symptom)
C2073300  chest pain localizing to the chest wall on the right
C2073301  chest pain localizing to the chest right wall anteriorly
C2073302  chest pain localizing to chest wall on right laterally (symptom)
C2073303  chest pain localizing to the right chest wall posteriorly
C2073304  chest pain localizing to deep within chest wall (symptom)
C2073305  chest pain localizing with unclear focus
C2073306  chest pain made worse by arm movement
C2073307  chest pain made worse by bending over (symptom)
C2073308  chest pain made worse by body movement (symptom)
C2073309  chest pain made worse by breathing (symptom)
C2073310  chest pain made worse by coughing but not by breathing
C2073311  chest pain made worse by left arm movement
C2073312  chest pain made worse by lying down
C2073313  chest pain made worse by neck movement (symptom)
C2073314  chest pain made worse by right arm movement (symptom)
C2073315  chest pain made worse by straining
C2073316  chest pain made worse by swallowing
C2073317  chest pain not relieved by rest (symptom)
C2073318  occurrence of chest pain
C2073319  chest pain occurring more and more often (symptom)
C2073320  chest pain occurring suddenly as new onset
C2073321  chest pain in the left side (hemithoracic)
C2073322  chest pain in the right side (hemithoracic)
C2073323  chest pain over the left eighth rib
C2073324  chest pain over left fifth rib (symptom)
C2073325  chest pain over left fourth rib (symptom)
C2073326  chest pain over left ninth rib
C2073327  chest pain over left second rib
C2073328  chest pain over left seventh rib (symptom)
C2073329  chest pain over left sixth rib (symptom)
C2073330  chest pain over left third rib (symptom)
C2073331  chest pain over right eighth rib
C2073332  chest pain over right fifth rib (symptom)
C2073333  chest pain over right fourth rib (symptom)
C2073334  chest pain over right ninth rib
C2073335  chest pain over right second rib (symptom)
C2073336  chest pain over right seventh rib (symptom)
C2073337  chest pain over right sixth rib (symptom)
C2073338  chest pain over right third rib (symptom)
C2073339  quality of chest pain
C2073340  chest pain radiating to back between shoulder blades
C2073341  chest pain radiating to both arms (symptom)
C2073342  chest pain radiating to central upper abdomen (symptom)
C2073343  chest pain radiating to inner aspect of left arm only
C2073344  chest pain radiating to inner aspect of right arm only (symptom)
C2073345  chest pain radiating to jaw
C2073346  chest pain radiating to left side of neck
C2073347  chest pain radiating to left shoulder (symptom)
C2073348  chest pain radiating to neck (symptom)
C2073349  chest pain radiating to right side of neck (symptom)
C2073350  chest pain radiating to right shoulder (symptom)
C2073351  chest pain relieved by analgesics (symptom)
C2073352  chest pain relieved by antacids (symptom)
C2073353  chest pain relieved by nitroglycerin (symptom)
C2073354  chest pain relieved by nitroglycerin faster than rest alone (symptom)
C2073355  chest pain gradually relieved by nitroglycerin (symptom)
C2073356  chest pain relieved by nitroglycerin in under five minutes
C2073357  chest pain relieved by rest (symptom)
C2073358  chest pain relieved by sitting up
C2073359  chest pain relieving factors
C2073360  chest pain starting when at rest during early morning
C2073361  chest pain starting when at rest during night
C2073362  chest pain starting while jogging or running
C2073363  chest pain starting while walking inside (symptom)
C2073364  chest pain starting while walking on level ground (symptom)
C2073365  chest pain starting while walking up steps and hills (symptom)
C2073366  chest pain starting after an injury (symptom)
C2073367  postprandial chest pain (symptom)
C2073368  chest pain starting during sex
C2073369  chest pain starting suddenly after prolonged immobility (symptom)
C2073370  chest pain starting when in a cold environment
C2073371  chest pain starting when lying down (symptom)
C2073372  chest pain starting with emotional event
C2073373  chest pain sudden, sharp, and tearing
C2073374  chest pain which changes location
C2073375  chest pain lasting 1-15 minutes
C2073376  chest pain worse with coughing (symptom)
C2073390  chest tender when touched (symptom)
C2073391  chest tightness or heavy pressure
C2074632  chronic constant flank pain (symptom)
C2074698  chronic flank pain recurring frequently (symptom)
C2076650  right infraorbital swelling as symptom
C2077839  lower back pain intermittent
C2080640  bilateral photophobia
C2080641  photophobia in left eye (symptom)
C2080642  photophobia in right eye (symptom)
C2080643  periodic flashing lights centrally
C2080644  photopsia in peripheral field of vision
C2081396  pigmented growth on white of eye
C2106367  cold arm
C2106368  cold fingers
C2106369  cold hands or feet (symptom)
C2106371  cold left arm (symptom)
C2106372  cold fifth toe of left foot (symptom)
C2106373  cold left foot (symptom)
C2106374  cold fourth toe of left foot (symptom)
C2106375  cold great toe of left foot
C2106376  cold left hand (symptom)
C2106377  cold index finger of left hand
C2106378  cold left leg
C2106379  cold little finger of left hand (symptom)
C2106380  cold middle finger of left hand
C2106381  cold ring finger of left hand
C2106382  cold second toe of left foot (symptom)
C2106383  cold third toe of left foot (symptom)
C2106384  cold thumb of left hand
C2106385  cold leg (symptom)
C2106387  cold right arm
C2106388  cold fifth toe of right foot (symptom)
C2106389  cold right foot (symptom)
C2106390  cold fourth toe of right foot (symptom)
C2106391  cold great toe of right foot
C2106392  cold right hand (symptom)
C2106393  cold index finger of right hand (symptom)
C2106394  cold right leg (symptom)
C2106395  cold little finger of right hand
C2106396  cold middle finger of right hand (symptom)
C2106397  cold ring finger of right hand (symptom)
C2106398  cold second toe of right foot (symptom)
C2106399  cold third toe of right foot
C2106400  cold thumb of right hand (symptom)
C2106403  cold toes
C2107735  constant clavicular pain
C2108861  left sternoclavicular joint pain
C2108892  right sternoclavicular joint pain
C2109070  ankle swelling slowly worsens with decreased level of activity (symptom)
C2109071  joint swelling in ankle slowly worsens w/ extended activity
C2109072  joint swelling ankle slowly worse w/ same level of activity
C2109073  swelling of joint of fourth toe (symptom)
C2109074  swelling of joint of fourth toe of left foot (symptom)
C2109075  swelling of joint of fourth toe of right foot (symptom)
C2109076  swelling of joint of great toe (symptom)
