C0002170  Hair loss
C0425820  Hymenal orifice
C0425822  Hymenal orifice dilated
C0425823  Annular hymen
C0425824  Horseshoe shape hymen
C0425826  Integrity of hymen
C0425827  Hymen broken
C0425829  Hymenal edge
C0425830  Scarred hymenal edge
C0425831  Notched hymen
C0425833  Transection of hymen
C0425840  Orifce Bartholin duct not seen
C0425923  Discharge from Bartholin gland
C0425959  Bleeding from hymen
C0426246  Condition of umbilical cord at delivery
C0426248  Wharton's jelly excessive
C0426315  Condition neonat umbilic cord
C0426319  Scrotum observation
C0426320  Absent scrotum
C0426338  Foreskin observation
C0426339  Foreskin deficient
C0426340  Circumcised foreskin
C0426341  Tight frenulum of foreskin
C0426342  Hooded foreskin
C0426343  Narrow outlet of foreskin
C0426344  Ballooning of foreskin
C0426346  Foreskin retracts
C0426347  Foreskin does not retract
C0426348  Adhesions of foreskin
C0426349  Tightly retracted foreskin
C0426350  Fixed, retracted foreskin
C0426488  Sucking calluses on mouth
C0426489  Cleft gum
C0426499  Beefy red tongue
C0426513  Oral mucosa observation
C0426515  White patches on oral mucosa
C0426516  White traceries on oral mucosa
C0426517  Oral pigmentation
C0426518  Coating of oral mucosa
C0426519  Deposits on oral mucosa
C0426520  Food deposits on oral mucosa
C0426521  Hyperkeratosis of oral mucosa
C0426522  Gingivae observation
C0426523  Deposit on gingivae
C0426524  Discharge from gums
C0426525  Accumulation debris under gums
C0426527  Bleeding of oral mucosa
C0426528  Contact bleeding of gums
C0426651  Excess skin of abdominal wall
C0426652  Abdominal apron
C0426655  Umbilicus observation
C0426656  Flattened umbilicus
C0426657  Patulous umbilicus
C0426658  Protruding umbilicus
C0426659  Sunken umbilicus
C0426660  Loose skin folds abdom wall
C0426728  Ulcer of rectal mucosa
C0426748  Anal verge observation
C0426749  Thickened anal verge
C0426750  Anal verge defect
C0426751  Anal mucosa observation
C0426848  Sacral dimple
C0426850  Buttock crease asymmetrical
C0426936  Nodule on toe
C0426959  Akinesthesia
C0429609  PH1 - Pubic hair stage 1
C0429610  PH2 - Pubic hair stage 2
C0429611  Darker,thicker,curl pubic hair
C0429612  Adult typ pub hair, area<adult
C0429613  Adult pubic hair in type and quantity with spread to medial surface of thigh
C0429614  Hair spread to linea alba
C0429616  Ax1 - Axillary hair stage 1
C0429617  Ax2 - Axillary hair stage 2
C0429618  Adult axillary hair
C0429994  Superficial pressure sore
C0429995  Deep pressure sore
C0433051  Bee sting without reaction
C0433052  Wasp sting without reaction
C0433058  Deep laceration
C0433715  Ecchymosis of oral cavity
C0433716  Ecchymosis of palate
C0433717  Ecchymosis of gingivae
C0433718  Ecchymosis of tongue
C0433719  Ecchymosis of floor of mouth
C0433720  Ecchymosis of buccal mucosa
C0433721  Ecchymosis intraorl surfac lip
C0433722  Ecchymosis of oral alveo mucos
C0433737  Ecchymosis of oropharynx
C0436562  C/O: a rash
C0436563  C/O: itching
C0436571  O/E - sweating
C0436579  O/E - cold and clammy
C0436580  O/E - diminished sweating
C0436611  O/E - central cyanosis
C0436612  O/E - peripheral cyanosis
C0436638  O/E - hair - normal
C0436639  O/E - dry hair
C0436640  O/E - loss of hair
C0436641  O/E - thick, coarse hair
C0436642  O/E - fine, silky hair
C0436643  O/E - patches of alopecia
C0436644  O/E - hirsutism
C0436645  O/E - loss of body hair
C0436646  O/E - balding
C0436647  O/E - hair - general examn.
C0436806  O/E - caput medusae
C0436869  O/E - angular stomatitis
C0436874  O/E - mouth - Koplik's spots
C0436884  O/E - gingivitis
C0436885  O/E - blue gum line
C0436886  O/E - hypertrophy of gums
C0436889  O/E - dry tongue
C0436895  O/E - leukoplakia on tongue
C0436903  O/E - abdominal wall skin
C0436904  O/E - abd. wall skin stretched
C0436905  O/E - abdominal scar
C0436906  O/E - flat umbilicus
C0436908  O/E - striae gravidarum
C0436909  O/E - abd.skin dry-dehydration
C0437046  O/E - scrotal swelling
C0437048  O/E -scrotal swelling-transill
C0437049  O/E -scrotal swell.no transill
C0437090  O/E - peau d'orange
C0437107  O/E - breast lump palpated
C0437109  O/E-breast lump-nipple/central
C0437110  O/E-breast lump-upper in-quad
C0437111  O/E -breast lump-lower in-quad
C0437112  O/E-breast lump-upper out-quad
C0437113  O/E-breast lump-lower out-quad
C0437114  O/E-breast lump- axillary tail
C0437115  O/E - breast lump size
C0437116  O/E - breast lump - pea size
C0437117  O/E - breast lump - plum size
C0437118  O/E-breast lump-tangerine size
C0437119  O/E - breast lump-orange size
C0437121  O/E - breast lump - melon size
C0437122  O/E - breast lump consist. NOS
C0437123  O/E - breast lump soft
C0437124  O/E - breast lump cystic
C0437125  O/E - breast lump hard
C0437126  O/E - breast lump regularity
C0437127  O/E - breast lump smooth
C0437128  O/E - breast lump irregular
C0437129  O/E - breast lump tethered NOS
C0437131  O/E -breast lump fixed to skin
C0437132  O/E - breast lump fixed deep
C0437261  O/E - trophic changes
C0437263  O/E -skin temperature abnormal
C0437264  O/E - trophic skin ulceration
C0437316  O/E - tactile sensation
C0437317  O/E - tactile sensation normal
C0437318  O/E - tactile discrimination
C0437319  O/E-tactile discrimination NAD
C0437320  O/E - tactile discrim.abnormal
C0437321  O/E - deep sensation
C0437323  O/E - deep sensation reduced
C0437324  O/E - deep sensation absent
C0437328  O/E - analgesia present
C0437330  O/E - temp. discrimination NAD
C0437331  O/E - temp. discrim. reduced
C0437332  O/E - temp. discrim. absent
C0437333  O/E - temp. discrimination NOS
C0437334  O/E - joint position sense
C0437336  O/E - joint posn.sense reduced
C0437337  O/E - joint posn.sense absent
C0437339  O/E - vibration sense
C0437340  O/E - vibration sense normal
C0437341  O/E - vibration sense reduced
C0437342  O/E - vibration sense absent
C0437344  O/E - stereognosis - normal
C0437346  O/E - suppression
C0437348  O/E - sensory suppression
C0437349  O/E - visual suppression
C0437663  O/E - auricle of ear - tophi
C0437749  O/E - skin
C0437750  O/E - general skin exam.
C0437752  O/E - skin examined - NAD
C0437753  O/E - dry skin
C0437754  O/E - foreign body in skin
C0437755  O/E - macules
C0437757  O/E - macules present
C0437758  O/E - petechiae present
C0437760  O/E - papules
C0437762  O/E - papules present
C0437763  O/E - nodules in skin
C0437768  O/E - vesicles present
C0437769  O/E - skin bullae
C0437771  O/E - skin bullae present
C0437772  O/E - serous bullae
C0437773  O/E - seropurulent bullae
C0437774  O/E - pustules
C0437776  O/E - pustules present
C0437777  O/E - purulent pustules
C0437778  O/E - deep seated pustules
C0437779  O/E - follicular pustules
C0437780  O/E - weals present
C0437783  O/E - scaling on skin
C0437785  O/E - skin scales present
C0437786  O/E - skin - small scales
C0437787  O/E - skin - large scales
C0437788  O/E - skin burrows
C0437790  O/E - skin burrows present
C0437791  O/E - blackheads
C0437794  O/E - skin plaques
C0437796  O/E - skin plaques present
C0437797  O/E - skin cyst
C0437799  O/E - skin cyst present
C0437800  O/E - rhagades
C0437802  O/E - skin fissures present
C0437803  O/E - skin ulcer
C0437805  O/E - skin ulcer present
C0437806  O/E - skin scar
C0437808  O/E - operation scar
C0437809  O/E - injury scar
C0437810  O/E - suppuration scar
C0437811  O/E - skin crust
C0437813  O/E - skin crust present
C0437814  O/E - skin crust - blood
C0437815  O/E - skin crust - pus
C0437816  O/E - skin crust - serum
C0437817  O/E - sinus in skin
C0437819  O/E -skin sinus-post operation
C0437820  O/E - skin sinus -after injury
C0437821  O/E - suppuration skin sinus
C0437822  O/E - skin tags
C0437823  O/E - Peeling skin
C0437838  O/E - finger clubbing
C0437840  O/E - nails
C0437841  O/E - nails - NAD
C0437842  O/E - nails ridged
C0437843  O/E - nails brittle
C0437844  O/E - koilonychia
C0437845  O/E - nails - pitting
C0437846  O/E - nails-splinter haemorrh.
C0437849  O/E - skin over lesion-normal
C0437850  O/E - skin red over lesion
C0437851  O/E-skin pigmented over lesion
C0437852  O/E - skin shiny over lesion
C0437853  O/E -skin cyanosed over lesion
C0437854  O/E - skin temp. over lesion
C0437855  O/E-skin temp.on lesion normal
C0437856  O/E - skin over lesion cold
C0437857  O/E - skin over lesion warm
C0437858  O/E - skin over lesion hot
C0437945  O/E - a rash
C0437961  O/E - sign in skin
C0437962  O/E - sign - subcutaneous
C0438397  Skin graft failure
C0438398  Flap failure
C0438633  Sft tiss grft/flap/repair fail
C0455205  Skin Findings
C0455783  Mucosal plaque
C0455785  General condition of skin
C0455786  Induration of mucosa
C0455791  Large scrotum
C0455792  Small scrotum
C0455815  Color of face changes
C0455900  Moist mouth
C0455903  Neonatal cord dry
C0455904  Neonatal cord moist
C0455905  Neonatal cord sticky
C0455957  Skin mark
C0455958  Finger grip mark
C0455959  Foot mark
C0456505  Periumbilical flare
C0456534  Bruising over mastoid
C0456575  Supraglottic erythema
C0457233  Herpetic vesicle in vagina
C0458247  Allodynia
C0460134  Vulva granulation
C0474373  Nailfold haemorrhages
C0474374  Splinter haemorrhages nail
C0474375  Spiraled hair
C0474378  Hair color change
C0474384  Things appear vividly colored
C0474426  Yellow or jaundiced color
C0474459  Position of umbilical cord during labor
C0474494  Gray line on gums
C0474999  Salivary gland haematoma
C0475098  O/E - color pale
C0475099  O/E - color flushed
C0475114  O/E - hair lacks luster
C0475123  O/E - pyorrhea
C0475127  O/E - skin color abnormal
C0475128  O/E - anaesthesia present
C0475129  O/E - hypoaesthesia present
C0475130  O/E - hyperaesthesia present
C0475131  O/E - paraesthesia present
C0475158  O/E - haemorrhagic bullae
C0475159  O/E - skin color over lesion
C0475704  Color of skin
C0476233  Excessive blushing
C0476475  Localized hyperhidrosis
C0476476  Generalized hyperhidrosis
C0497130  Abnormal sweating
C0497365  Gen redness/erythema/rash
C0518760  Skin normal color
C0522240  Abnormal sensitiveness to cold
C0522241  Painful feeling of cold
C0522243  Cryalgesia
C0522244  Crymodynia
C0541726  GANGRENE SKIN
C0541804  BODY NUMBNESS
C0541874  DERMATITIS PAPULAR
C0542117  Acquired Spider Nevus
C0542122  NUMBNESS IN BACK OF HEAD
C0542205  SCALP NUMBNESS
C0542230  SWEATY PLAMS
C0542238  TINGLING FEET/HANDS
C0546405  Grayness, hair
C0546956  Brittle nails
C0553721  SWEATING DECREASED
C0555249  Enlarged nails
C0555288  Superficial ecchymosis
C0555309  Muscle ecchymosis
C0555703  O/E - scrotal edema
C0555704  O/E - alopecia
C0555725  O/E - abdominal skin dry
C0555741  O/E - breast lump position
C0555754  O/E - loss of touch sensation
C0555755  O/E - hyperalgesia present
C0555771  O/E - glass fragment in skin
C0555772  O/E - splinter in skin
C0555773  O/E - vesicles in skin
C0555774  O/E - pompholyx
C0555775  O/E - skin lesion
C0555956  O/E - allergic rash
C0557878  Hot sweats
C0558144  Skin appearance abnormal
C0558145  Skin appearance normal
C0558148  Yellow complexion
C0558151  Observ general nail condition
C0558165  Curly hair
C0558166  Observation of cleanliness of nail
C0558242  Taut skin
C0558383  Parasacral dimple
C0558412  Scarring after injury
C0558427  Subungual haematoma, foot.
C0558503  O/E - abd. pain - umbilical
C0558522  O/E - petechiae on skin
C0558843  Vibration sense absent
C0559099  Had short umbilical cord
C0559566  Slap mark
C0560169  Additional dermatol observatn
C0560221  O/E lichenified skin
C0561920  Perineal sinus
C0563206  Hyperaesthesia of spec senses
C0564446  Wound scar
C0565855  Had umbilical cord around neck
C0566730  Umbilical cord observations
C0566731  Obs form of umbilical cord
C0566732  Umbilical cord thin
C0566733  Umbilical cord thick
C0566734  Obs pulsation of cord
C0566735  Obs puls cord thru intact mebr
C0566736  Puls umb cord palp intac membr
C0566737  Puls umb cord inpalp int memb
C0566738  Obs pulsat prolapsed cord
C0566739  Puls present prolapsed cord
C0566740  Puls absent prolapsed cord
C0566741  Obs arrang umbilical cord
C0566742  Cord around neck with compression
C0566745  Umb cord not around babys neck
C0566746  Obs measure umbilic cord
C0566747  Umbilical cord normal
C0566749  Cord not healing
C0566750  Cord clean
C0566751  Cord almost off
C0566752  Cord adherent
C0566753  Cord not separated
C0566754  Cord oozing
C0566755  Obs color umbilical stump
C0566756  Cord red
C0566757  Cord pink
C0566758  Cord black
C0566759  Obs odor umbil cord stump
C0566760  Umbil cord stump smell offens
C0566761  Lesion of umbilical stump
C0566763  Cord base inflamed
C0566765  Obs umbilical cord clamp
C0566766  Cord clamp secure
C0566767  Cord clamp needs removing
C0566768  Cord clamp left on
C0566769  Cord clamp off
C0566910  Deposition on vulva
C0566911  White deposit on vulva
C0566912  Eruption of vulva
C0566913  Scalling of vulva
C0566914  Lichenification of vulva
C0566916  Hyperkeratosis of vulva
C0566917  Purpura of vulva
C0566918  Lesion of labia
C0566934  Lesion of clitoris
C0567029  Hymen not seen
C0567030  Observation of size of hymen
C0567031  Observation of shape of hymen
C0567032  Obs arrangement of hymen
C0567033  Lesion of hymen
C0567034  Vaginal hymen normal
C0567035  Vaginal hymen problem
C0567112  Tender scar of gravid uterus
C0567113  Tend scar upper uterin segment
C0567114  Tend scar lower uterin segment
C0567270  Excoriation of female perineum
C0567489  Lesion of breast
C0567490  Nodule of skin of breast
C0567510  Lesion of nipple
C0567531  Inflamm gland Montgomery
C0567532  Lactiferous duct palpable
C0574720  Obs appearance of skin
C0574721  Obs consisten of skin
C0574722  Normal skin consistency
C0574723  Obs moistness of skin
C0574724  Observation of bruising
C0574727  Skin depigmented
C0574728  Observation of skin hygiene
C0574729  Skin clean
C0574730  Skin crease dirty
C0574731  Observation of health of skin
C0574732  Skin turgor normal
C0574734  Granulation of skin
C0574735  Kick mark
C0574736  Shoe mark
C0574737  Human bite mark
C0574738  Love bite mark
C0574739  Ligature mark
C0574741  Bleeding skin
C0574743  Obs discharge of skin
C0574744  Obs sensation of skin
C0574748  Observation of odor of skin
C0574749  Obs temperature of skin
C0574750  Skin normal temperature
C0574751  Observation of sweating
C0574752  Named signs of skin
C0574753  Postproced obs skin
C0574754  Obs of measures skin
C0574755  Obs appearance of nail
C0574756  Observation of nail hygiene
C0574757  Obs color nail bed
C0574758  Observation of nail growth
C0574759  Normal nail growth
C0574760  Normal nails
C0574761  Nail problem
C0574762  Hair present
C0574763  Hair absent
C0574764  Obs appearance of hair
C0574766  Brown hair
C0574767  Black hair
C0574768  Observation of hair growth
C0574770  Loss of body hair
C0574783  Observation of skin healing
C0574923  Longitud overcurvature of nail
C0574924  Transver overcurvature of nail
C0575174  Lesion of neck
C0575887  Finger joint - hot
C0575888  Finger joint - warm
C0575890  Finger joint - cold
C0576331  Lesion of toe
C0576421  Buttock crease symmetrical
C0576423  Longitudinal nail ridge
C0576424  Stained nail
C0576425  Gray nails
C0576427  Waved hair
C0576428  Patchy loss of scalp hair
C0576429  Diffuse loss of scalp hair
C0576432  Excessive growth of arm hair
C0576544  Galant's reflex present
C0576545  Galant's reflex absent
C0576546  Galant's reflex equivocal
C0576645  Absent plantar response right
C0576651  Obs of temperature sense
C0576652  Hot-cold discrim reduced
C0576653  Hot-cold discrimination absent
C0576654  Heat sensation reduced
C0576655  Heat sensation absent
C0576656  Cold sensation reduced
C0576658  Normal temperature sensation
C0576659  Obs of sensation of touch
C0576660  Observation of light touch
C0576661  Light touch sensation present
C0576662  Absent light touch sensation
C0576664  Normal light touch sensation
C0576665  Observation of firm touch
