C0008983  Clitoral erection, painful
C2031025  hip joint pain worsens with extended activity
C2031099  hip joint pain causing difficulty lying on the affected side
C2031171  hip joint pain improved by non-steroidal anti-inflammatory drugs (NSAIDs) (symptom)
C2031172  hip joint pain improved by walking aids (symptom)
C2031177  hip pain when actively moved (symptom)
C2031178  hip pain with passive motion (symptom)
C2031179  hip pain worse with weightbearing
C2032191  pain in left groin (symptom)
C2032252  pain in right groin
C2032342  pain at the left nipple
C2032395  pelvic pain on the left
C2032396  pelvic pain on the right
C2032397  unrelenting pelvic pain
C2032410  pain at the right nipple
C2032450  pain in tailbone causing difficulty sitting (symptom)
C2037198  sudden onset of testicular pain (symptom)
C2047122  hot flashes after recent gynecological surgery (symptom)
C2047123  hot flashes after recent orchiectomy (symptom)
C2047124  hot flashes after recent treatment for prostate cancer
C2047125  gradual onset of hot flashes
C2047126  sudden onset of hot flashes
C2047127  hot flashes with recent cessation of estrogen therapy (symptom)
C2048469  inability to impregnate after previous successful impregnation (symptom)
C2051996  pelvic girdle pain worse rising from seated/recumbent position
C2052087  pelvic pressure (symptom)
C2052713  penile lesion at base of shaft (symptom)
C2052714  penile lesion at base of shaft on bottom (symptom)
C2052715  penile lesion at base of shaft on left side
C2052716  penile lesion at base of shaft on right side
C2052717  penile lesion at base of shaft on top (symptom)
C2052718  penile lesion at head (symptom)
C2052719  penile lesion at the head on the bottom
C2052720  penile lesion at head on left side (symptom)
C2052721  lesion at opening of penis
C2052722  penile lesion at head on right side
C2052723  penile lesion at head on top (symptom)
C2052724  penile lesion began as small inflamed pimple (symptom)
C2052725  penile lesion began as sore (symptom)
C2052727  crusted penile lesion (symptom)
C2052728  penile lesion first looked like small blister (symptom)
C2052729  foul-smelling penile lesion
C2052730  mid-shaft penile lesion
C2052731  penile lesion mid-shaft on bottom (symptom)
C2052732  mid-shaft penile lesion on the left side
C2052733  mid-shaft penile lesion on the right side
C2052734  penile lesion mid-shaft on top
C2052735  multiple penile lesions (symptom)
C2052736  painful penile lesion
C2052737  single penile lesion (symptom)
C2052738  penile sore
C2052739  weeping penile lesion
C2052806  generalized penile swelling
C2052807  localized penile swelling of shaft (symptom)
C2052808  localized penile swelling of tip
C2075679  clear vaginal discharge (symptom)
C2108384  itching of both breasts
C2108674  hip joint pain causing inability to sleep (symptom)
C2108675  hip joint pain difficult to localize
C2108676  hip joint pain feels better after normal movement (symptom)
C2108677  hip joint pain first appears at night (symptom)
C2108678  hip joint pain improved by (symptom)
C2108679  hip joint pain improved by medication (symptom)
C2108680  hip joint pain improved by medication acetaminophen
C2108681  hip joint pain improved by medication narcotics (symptom)
C2108682  hip joint pain increased by (symptom)
C2108683  hip joint pain increased by bending forward (symptom)
C2108684  hip joint pain increased by moving leg back while standing
C2108685  hip joint pain increased by moving leg to left side while standing
C2108686  hip joint pain increased by moving leg to right side while standing (symptom)
C2108687  hip joint pain increased by turning foot inward while standing (symptom)
C2108688  hip joint pain increased by turning foot outward while standing (symptom)
C2108689  hip joint pain increased during cold weather (symptom)
C2108690  hip joint pain increased during rainy weather
C2108691  hip joint pain with no response to medication
C2108692  hip joint pain is progressively worsening
C2108693  hip joint pain slowly worsens
C2108694  hip joint pain slowly worsens with decreased level of activity
C2108695  hip joint pain slowly worsens with the same level of activity
C2108696  sudden onset of hip joint pain
C2108697  unrelenting hip joint pain
C2108698  hip joint pain worse at night (symptom)
C2108699  hip joint pain worse when going up or down stairs
C2108700  hip joint pain worse with jumping (symptom)
C2108701  hip joint pain worse with squatting (symptom)
C2108702  hip joint pain worse with standing (symptom)
C2108709  joint pain in both hips
C2114287  prepubertal vaginal bleeding
C2114690  currently nursing with pain in left breast during lactation
C2114691  currently nursing with pain in right breast during lactation
C2114753  progressive groin pain (symptom)
C2126049  rectal pain accompanied by bleeding (symptom)
C2126050  rectal pain accompanied by discharge of pus (symptom)
C2126051  rectal pain worsens during bowel movements
C2126052  rectal pain worsens with acidic foods (symptom)
C2126053  rectal pain after anal sex
C2126054  rectal sore with bleeding (symptom)
C2126055  rectal sore after hard bowel movement (symptom)
C2126180  anal pain accompanied by bleeding (symptom)
C2126181  anal pain accompanied by discharge of pus
C2126182  anal pain worse with bowel movements
C2126183  anal pain worsens with acidic foods
C2126184  anal pain after anal sex (symptom)
C2126223  constant anal pain (symptom)
C2126224  intermittent anal pain (symptom)
C2126225  constant rectal pain (symptom)
C2126226  intermittent rectal pain (symptom)
C2126231  light bleeding between periods (symptom)
C2126932  feeling of uterus falling out
C2126933  uterus feels like falling out worse when lifting or coughing
C2127120  deep pain during intercourse (symptom)
C2127179  right breast
C2127180  left breast symptoms (symptom)
C2127341  light bleeding since last period (symptom)
C2128201  dark brown vaginal discharge
C2128202  foul odor from vagina (symptom)
C2128205  menstrual cycle intervals regularly irregular
C2128206  menstrual cycles are irregularly irregular
C2128316  dull or aching groin pain (symptom)
C2129031  testicular pain right
C2129032  left testicular pain
C2129033  bilateral testicular pain
C2129035  right testicular lump
C2129036  left testicular lump (symptom)
C2129037  lumps in both testes
C2129047  wart on the scrotum
C2129049  scrotal lesion crusted
C2129217  rectal pain worsens after prolonged sitting (symptom)
C2129521  right lower back pain at the sacroiliac joint
C2129522  left lower back pain at the sacroiliac joint
C2129632  vaginal discharge of stool
C2129636  feeling of something bulging from vagina (symptom)
C2129655  vulvar itching on the right
C2129656  vulvar itching on the left
C2129657  vulvar burning on right (symptom)
C2129658  vulvar burning on left (symptom)
C2129659  right vulvar lump or mass
C2129660  lump on the left vulva
C2130182  vulvar pain on the right
C2130183  vulvar pain on the left
C2130244  yellow-green discharge from both nipples
C2130250  anal pain accompanied by discharge (symptom)
C2130251  anal pain accompanied by foul-smelling discharge (symptom)
C2130253  sharp or stabbing groin pain
C2141922  left hip joint pain (symptom)
C2165602  swollen left labia
C2170206  renal colic of both kidneys
C2170207  renal colic of left kidney (diagnosis)
C2170208  renal colic of right kidney
C2188172  unexplained vaginal bleeding (symptom)
C2189016  vaginal itching or burning
C2189071  vaginal pain during intercourse (symptom)
C2202100  right hip joint pain (symptom)
C2202419  swollen right labia
C2202732  vulvar itching or burning (symptom)
C2202740  vulvar lump or mass (symptom)
C2203259  white vaginal discharge worse after menstruation
C2203694  thick yellow-green vaginal discharge
C2219718  over age 16 and menstrual periods have not started
C2219721  bleeding after sexual intercourse
C2219834  excessive sweating 2-3 hours after eating
C2219918  vaginal spasms
C2219919  vaginal spasms with attempted penetration
C2220101  mucous vaginal discharge
C2220103  mucopurulent vaginal discharge (symptom)
C2220246  excessive sweating 15-30 minutes after eating (symptom)
C2228108  enlarged labial veins (symptom)
C2228527  excessive malodorous sweating (symptom)
C2228528  excessive sweating of armpits (symptom)
C2228529  excessive sweating of hands (symptom)
C2231238  subinvolution of right breast (diagnosis)
C2231239  subinvolution of left breast (diagnosis)
C2231240  subinvolution of both breasts
C2232700  labial swelling bilateral
C2315195  Pain in symphysis pubis in pregnancy (finding)
C2317014  Spasm of cervix uteri (finding)
C2317372  Acute pain in female pelvis
C2607896  Discomfort of vulva
C2733651  Chadwick's sign
C2919424  Mass of uterine adnexa
C2921780  pain during urination (dysuria) seems related to menstrual cycle
C2921781  rectal pain accompanied by discharge of pus seems related to menstrual cycle
C3468173  arthralgia - pelvis / hip / femur left
C3468174  arthralgia of right hip (diagnosis)
C3468454  vulvar swelling (symptom)
