C0001925  Albuminuria
C0429957  Bladder - assessment observns
C0429961  Bladder: occasional accident
C0429962  Bladder: fully continent
C0433688  Retained tampon
C0436460  I-V pyelography normal
C0436516  I-V pyelography abnormal
C0436528  Renal arteriogram abnormal
C0436556  C/O perineal pain
C0437016  O/E - PR - prostatic swelling
C0437033  O/E - left kidney palpable
C0437034  O/E - right kidney palpable
C0437036  O/E - bladder palpable
C0437038  O/E - bladder just palpable
C0437039  O/E - bladder readily palpable
C0437040  O/E -bladder half to umbilicus
C0437041  O/E - bladder up to umbilicus
C0437046  O/E - scrotal swelling
C0437048  O/E -scrotal swelling-transill
C0437049  O/E -scrotal swell.no transill
C0437050  O/E - testicular swelling
C0437051  O/E - epididymal swelling
C0437055  O/E - penile abnormality
C0437056  O/E - discharge - penis
C0437454  O/E - micturition reflex
C0437455  O/E -micturition reflex normal
C0437456  O/E - mict.refl.abn.-retention
C0437457  O/E-mict.refl.abn-ret+overflow
C0437458  O/E - automatic micturition
C0438018  O/E: phosphate -staghorn-stone
C0438019  O/E: uric acid renal calculus
C0438024  O/E - ureteric calculus
C0438025  O/E - urethral calculus
C0438028  O/E-vesical uric acid calculus
C0438029  O/E-vesical phosphate calculus
C0438141  Urinalysis = no abnormality
C0438142  Abn urine test finding NOS
C0438143  MSU = no abnormality
C0438144  MSU = abnormal
C0438253  Urine electrolytes normal
C0438254  URINE ELECTROLYTES ABNORM
C0438255  Urine protein normal
C0438256  Urine protein abnormal
C0438297  Urinary stoma bag adjusted
C0438298  Urinary stoma bag changed
C0455907  Deposit in urine
C0455908  Gravel in urine
C0455909  Stone in urine
C0455910  Mucus in urine
C0455911  Good stream of urine
C0457206  Malodorous urine
C0473124  Perinephric haematoma
C0473237  Frank haematuria
C0474571  Urine: trace haemolysed blood
C0476313  Groin swelling
C0476343  Raised urine indoleace.acid
C0476377  Bladder filling defect
C0476378  Kidney filling defect
C0476379  [D]Ureter filling defect (context-dependent category)
C0476447  Excessive urine level of heavy metal
C0477762  Persist proteinuria, unspec
C0481713  Has nephrostomy
C0495036  Isolated proteinuria with minor glomerular abnormality
C0495723  Isolated proteinuria
C0495724  Elevated urine levels of drugs, medicaments and biological substances
C0522117  Normal renin secretion
C0522118  Abnormal renin secretion
C0522119  Increased renin secretion
C0522120  Decreased renin secretion
C0522121  Absence of renin secretion
C0522124  Normal micturition
C0522125  URETHRAL SPASM
C0522138  Urinary crystal, ammonium urate
C0522153  DISCOLORATION URINE
C0541940  Decreased erection of penis
C0541988  GLOBULINURIA
C0542089  METAMEPHRINE URINARY ELEVATED
C0542190  REDUCING TEST URINE FALSE POSITIVE
C0542252  URINE FORMED ELEMENTS ABNORMAL (NOS)
C0542518  Enlarged kidney
C0549447  URINE ODOR FOUL
C0555120  Urine micr.:leucocytes present
C0555162  Urine porphyrins
C0555703  O/E - scrotal edema
C0555733  Prostate enlarged on PR
C0558983  Bladder control - child
C0564624  MSU = equivocal (finding)
C0574056  Short urethra
C0577166  Kidney present
C0577167  Obs of appearance of kidney
C0577168  Observation of size of kidney
C0577169  Obs of sensation of kidney
C0577170  Kidney tender
C0577172  Obs of measures of kidney
C0577173  Ureter observation
C0577174  Ureter present
C0577175  Obs of appearance of ureter
C0577176  Bladder absent
C0577177  Observation of size of bladder
C0577178  Enlarged bladder
C0577179  Small bladder
C0577180  Lesion of bladder
C0577181  Observation of tone of bladder
C0577182  Bladder tender
C0577184  Normal bladder compliance
C0577185  Obs of bladder emptying
C0577186  Bladder emptying efficient
C0577187  Bladder emptying inefficient
C0577188  Obs of bladd neck competence
C0577189  Obs of measures of bladder
C0577190  Obs of appear of urethra
C0577192  Obs of measures of urethra
C0577193  Obs of pattern of urination
C0577196  Obs of measures of urination
C0577197  Observation of urine output
C0577198  Obs of measures urine output
C0577200  Faeces in urine
C0577245  Edema of prepuce
C0577246  Mass of prepuce
C0577292  Ischiorectal lump
C0578514  CSU = no abnormality (finding)
C0578515  CSU = abnormal (finding)
C0579152  Bladder problem
C0580180  Bladder neck incompetence
C0580570  Urine 17 ketogen ster lev norm
C0580571  Urine 17 ketog ster lev abnorm
C0580574  Urine VMA normal
C0580577  Urine calcium normal
C0580578  Urine calcium abnormal
C0580949  O/E - renal angle tenderness
C0582421  Poor urethral support
C0584717  Occlusion of renal artery bypass graft
C0584722  Thrombosis of renal artery bypass graft
C0587255  Blocked ureteric stent
C0587256  Displacement nephrostomy tube
C0587953  Urine cytology
C0587955  Urine cytology abnormal
C0589370  Bladder scarring
C0595994  Ureter absent
C0677491  Kidney transplanted
C0743155  DIALYSIS CAPD CATHETER NONFUNCTIONAL
C0745523  KIDNEY SIZE SMALL BILATERAL
C0745524  KIDNEY SIZE SMALL CM
C0745525  KIDNEY SIZE SMALL FUNCTIONING
C0745526  KIDNEY TEST ABNORMAL
C0748195  PYELONEPHRITIS ASCENDING
C0748196  PYELONEPHRITIS E COLI
C0748198  PYELONEPHRITIS NOT PRESENT
C0748200  PYELONEPHRITIS REQUIRING HOSPITALIZATION
C0748202  PYELONEPHRITIS TREATED PARTIALLY
C0748263  RENAL ARTERY BRUIT
C0748266  RENAL CALCULUS CALCIFIED
C0748267  RENAL CALCULUS CALCIUM OXALATE
C0748269  RENAL CALCULUS OBSTRUCTION
C0748270  RENAL CALCULUS PASSED
C0748276  RENAL CALCULUS UPPER POLE
C0748279  RENAL CYST BENIGN
C0748281  RENAL CYST CLASS II
C0748282  RENAL CYST CM
C0748283  RENAL CYST COMPLEX
C0748284  RENAL CYST COMPLEX BENIGN
C0748287  RENAL CYSTIC MASS
C0748292  RENAL DISEASE FIRST DIAGNOSED
C0748307  RENAL FAILURE MODERATE
C0748308  RENAL FAILURE MULTIFACTORIAL
C0748309  RENAL FAILURE NEW
C0748313  RENAL INSUFFICIENCY BASELINE
C0748318  Progressive renal failure
C0748320  RENAL LESION MULTIPLE
C0748321  RENAL MASS BENIGN
C0748325  RENAL OUTPUT DECREASED
C0748326  RENAL PELVIS DILATED
C0748327  RENAL PELVIS DILATED FETUS
C0748335  RENAL TUBULAR ACIDOSIS TYPE
C0748336  Ultrasound kidney abnormal
C0748337  Ultrasound kidney normal
C0850720  Bruit;renal
C0866132  chronic glomerulonephritis mixed membranous & proliferative
C0876938  Continent of urine
C0878668  Lactosuria
C0948206  Haematinuria
C1142312  blood in urine with clots
C1167655  Hydroxyproline urine increased
C1263994  Methemalbuminuria (finding)
C1264001  Sulfhemoglobinuria (finding)
C1264002  Carboxyhaemoglobinuria
C1269607  Finding of urological device (finding)
C1272244  O/E - right scrotal swelling (finding)
C1272245  O/E - left scrotal swelling (finding)
C1274106  Urine leucocyte test one plus
C1274107  Urine leukocyte test two plus (finding)
C1281555  Urostomy present (finding)
C1281880  Vulval superficial dyspareunia (finding)
C1286370  Urine odor, NOS
C1287094  Finding of urine appearance
C1287096  Finding of consistency of urine
C1287097  Finding of contents of urine
C1287098  Two glass urine test, first glass appearance finding (finding)
C1287099  Two glass urine test, second glass appearance finding (finding)
C1287298  Urine volume
C1287346  Urine electrolytes
C1287788  Finding of position of kidney
C1287790  Finding of bladder appearance
C1287791  Finding of bladder compliance
C1287792  Finding of bladder neck position
C1287793  Finding of bladder neck descent
C1287794  Finding of bladder volume
C1287795  Finding of urethral function
C1287796  Finding of urethral sphincter function
C1287797  Finding of urethral closure mechanism
C1287798  Finding related to ability to pass urine (finding)
C1287799  Finding related to awareness of bladder function (finding)
C1287801  Finding of flow of urine
C1287802  Finding of form of stream of urine
C1287803  Finding of strength of stream of urine
C1287804  Finding of urinary flow rate
C1287805  Finding of rate of bladder filling
C1291658  Uninary function finding
C1291659  Urinary system finding related to kidney AND/OR ureter (finding)
C1291660  Abnormal ureteral peristalsis (finding)
C1291661  Absence of ureteral peristalsis (finding)
C1291662  Lower urinary tract finding (finding)
C1291663  Mannoheptulosuria (finding)
C1291664  Urinary crystal, calcium hydrogen phosphate (finding)
C1291665  Urinary crystal, Weddelite
C1291666  Urinary crystal, Whewellite
C1291668  Urinary crystal, calcium phosphate, carbonate form (finding)
C1291669  Urinary crystal, calcium hydroxyapatite
C1291670  Urinary crystal, Brushite
C1291671  Urinary crystal, Whitlockite
C1291672  Urinary crystal, sodium acid urate (finding)
C1291674  Urinary crystal, Newberyite
C1291675  Urinary crystal, calcium bilirubinate (finding)
C1291677  Urinary crystal, phosphate (finding)
C1291678  Urinary crystal, amorphous phosphate (finding)
C1291679  Acholuria (finding)
C1295573  Increased ureteral peristalsis -RETIRED-
C1295574  Decreased ureteral peristalsis -RETIRED-
C1299952  Pelvic bladder (finding)
C1304534  Urine leukocyte test three plus (finding)
C1313921  Urinoma
C1321100  Timed urine volume (observable entity)
C1321405  24 hour voided urinary volume (observable entity)
C1321908  Desire for urination
C1336707  Epidermoid cyst of testis (disorder)
C1384691  Ureterostomy
C1384702  Elevated urine levels of 17-ketosteroids
C1385798  abnormal; urine, microbiological examination
C1385799  abnormal; urine, substances chiefly nonmedicinal as to source
C1391778  calciuria
C1398767  globinuria
C1399338  hematuria; intermittent
C1401362  correct substance properly administered; Tommaselli
C1401423  Obstruction of suprapubic catheter (disorder)
C1403053  lithuria
C1408030  urine; examination, substances chiefly nonmedicinal as to source
C1408031  urine; examination, heavy metals
C1410853  biological substances; urine level elevated
C1410855  increased; urine level of drugs
C1410856  increased; urine level of medicaments
C1410858  Elevated urine levels of steroids
C1411955  abnormal; urine, histological examination
C1562750  Urine dipstick test finding (finding)
C1562946  Penile sclerosing lipogranuloma due to injected substance (disorder)
C1688618  On examination - renal bruit (finding)
C1690503  On examination - kidney palpable (finding)
C1696706  Ureteric Perforation
C1697751  Urethral Perforation
C1697974  Bladder Anastomotic Leakage
C1698193  Urostomy Leakage
C1698675  Ureteric Anastomotic Leakage
C1699207  Urethral Anastomotic Leakage
C1699736  Kidney Anastomotic Leakage
C1700247  Renal scarring (finding)
C1828219  Abnormal amount of urine output
C1848888  Painless testicular mass
C1856133  Duplicated ureter
C1969817  Secondary nocturnal enuresis
C2006972  carbuncle of anterior aspect of scrotum (physical finding)
C2006973  carbuncle of left side of scrotum (physical finding)
C2006974  carbuncle of posterior aspect of scrotum
C2006975  carbuncle of right side of scrotum (physical finding)
C2008994  scrotum laceration left full thickness
C2009848  furuncle of anterior aspect of scrotum
C2009849  furuncle of left side of scrotum (physical finding)
C2009850  furuncle of posterior aspect of scrotum (physical finding)
C2009851  furuncle of right side of scrotum (physical finding)
C2010437  scrotum gangrene bilaterally
C2010438  left scrotal gangrene
C2010439  gangrene of right scrotum
C2011062  injury of glans penis
C2011063  injury of shaft of penis (physical finding)
C2012025  glans penis condyloma acuminatum (physical finding)
C2012026  glans penis condyloma latum (physical finding)
C2012027  penis laceration glans depth
C2012028  penis laceration glans edges
C2012029  penis laceration glans edges ragged
C2012030  penis laceration glans full thickness
C2012031  penis laceration glans jagged
C2012032  penis laceration glans L-shaped
C2012033  penis laceration glans orientation
C2012034  penis laceration glans orientation longitudinal
C2012035  penis laceration glans orientation transverse
C2012036  postsuture edges of laceration on the glans penis were adequately approximated
C2012037  penis laceration glans edges postsuture approximation
C2012038  penis laceration glans postsuture edges poorly approximated
C2012039  penis laceration glans postsuture edges well-approximated
C2012040  penis laceration glans shape
C2012041  penis laceration glans straight line
C2012042  penis laceration glans superficial (epidermal only)
C2012043  penis laceration glans V-shaped
C2012044  penis laceration glans Y-shaped
C2012463  grade of cystocele (1-4)
C2012467  vagina rectocele grade ___/4
C2012468  urethral urethrocele grade ___/4
C2012596  urethra discharge green
C2018159  hemorrhage of spermatic cord on both sides (diagnosis)
C2018160  hemorrhage of spermatic cord on left (diagnosis)
C2018161  hemorrhage of spermatic cord on right
C2021804  abdominal MRI kidney mass
C2021805  abdominal MRI mass in right kidney
C2021806  abdominal MRI mass in left kidney
C2021807  abdominal MRI masses in both kidneys
C2021808  abdominal MRI mass in renal pelvis
C2026015  cellulitis of anterior scrotum
C2026016  cellulitis of left scrotum (physical finding)
C2026017  cellulitis of posterior scrotum (physical finding)
C2026018  cellulitis of right scrotum
C2029236  hard irregular mass of ventral shaft of penis
C2030931  vesicovaginal fistula high
C2033993  penis lesion papules shaft dorsal distal
C2033994  penis lesion papules shaft lateral distal
C2033995  papules on distal part of left lateral shaft of penis
C2033996  papules on distal part of right lateral shaft of penis (physical finding)
C2033997  papules on distal part of ventral shaft of penis
C2033998  penis lesion papules foreskin dorsal
C2033999  penis lesion papules glans dorsal
C2034000  papules on dorsal shaft of penis (physical finding)
C2034001  penis lesion papules foreskin
C2034002  penis lesion papules glans
C2034003  papules on lateral foreskin of penis
C2034004  penis lesion papules glans lateral
C2034005  papules on lateral shaft of penis
C2034006  papules on left lateral foreskin of penis
C2034007  papules on left lateral glans penis
C2034008  papules on proximal part of dorsal shaft of penis
C2034009  papules on proximal part of lateral shaft of penis
C2034010  penis lesion papules shaft lateral proximal left side
C2034011  papules on proximal part of right lateral shaft of penis
C2034012  papules on proximal part of ventral shaft of penis (physical finding)
C2034013  papules on right lateral foreskin of penis
C2034014  papules on right lateral glans penis
C2034015  penis lesion papules foreskin ventral
C2034016  papules on ventral glans penis (physical finding)
C2034017  papules on ventral shaft of penis (physical finding)
C2037501  suprapubic catheter present with clean, nonerythematous skin and a pink, moist mucosa
C2037502  skin surrounding suprapubic catheter
C2037503  erythematous skin surrounding suprapubic catheter (physical finding)
C2037504  fluctuant skin surrounding suprapubic catheter
C2037505  purulent discharge of skin surrounding suprapubic catheter (physical finding)
C2037506  tender skin surrounding suprapubic catheter (physical finding)
C2046122  chest computerized tomography arterial embolus
C2046169  chest computerized tomography embolus of left pulmonary artery
C2046170  chest computerized tomography embolus of lower lobe branch of left pulmonary artery
C2046171  chest computerized tomography embolus of lower lobe branch of right pulmonary artery
C2046172  chest computerized tomography embolus of middle lobe branch of right pulmonary artery
C2046173  chest computerized tomography embolus of right pulmonary artery
C2046174  chest computerized tomography embolus of right pulmonary artery upper lobe branch
C2046175  chest computerized tomography embolus of upper lobe branch of left pulmonary artery
C2046754  Hollenhorst plaque of left eye (physical finding)
C2046755  Hollenhorst plaque of right eye (physical finding)
C2046756  Hollenhorst plaques of both eyes
C2047544  hypertension secondary to renal disease as complication in pregnancy antepartum condition or prior complication delivered
C2047546  hypertension secondary to renal disease as complication in pregnancy delivered with postpartum complication
C2047547  hypertension secondary to renal disease as complication in pregnancy postpartum condition or prior complication delivered
C2047799  penis hypospadias penile shaft
C2047840  hysteroscopy foreign body (___ cm)
C2047841  hysteroscopy foreign body cervix (___ cm)
C2047842  hysteroscopy foreign body fundus (___ cm)
C2047843  hysteroscopy foreign body lower uterine segment (___ cm)
C2051871  computed tomography of pelvis: calculus of bladder (procedure)
C2051872  computed tomography of pelvis: multiple calculi of bladder (procedure)
C2051873  computed tomography of pelvis: solitary calculus of bladder
C2051874  computed tomography of pelvis: enlarged bladder
C2051875  computed tomography of pelvis: extravasation of bladder (procedure)
C2051876  pelvic computed tomography bladder mass ___cm
C2051878  computed tomography of pelvis: polyp of bladder (procedure)
C2051879  computed tomography of pelvis: solitary polyp of bladder
C2051915  pelvic computed tomography multiple bladder masses ___cm
C2051916  computed tomography of pelvis: multiple polyps of bladder
C2051955  computed tomography of pelvis: enlarged prostate (procedure)
C2051966  pelvic computed tomography solitary bladder mass ___cm
C2052802  penis lesion papules shaft
C2052804  penile shaft ulcer (physical finding)
C2052809  penile swelling on exam
C2052812  penile ulcer with erythematous border (physical finding)
C2052813  penis lesion ulcer indurated edge
C2052814  penis lesion ulcer with a necrotic base
C2052815  penile ulcer with undermined edge (physical finding)
C2052819  penis lesion ulcer with beefy red base (physical finding)
C2052823  penis laceration shaft depth
C2052824  penis laceration shaft edges
C2052825  penis laceration shaft edges ragged
C2052826  penis laceration shaft full thickness
C2052827  penis laceration shaft jagged
C2052828  penis laceration shaft L-shaped
C2052829  penis laceration shaft orientation
C2052830  penis laceration shaft orientation longitudinal
C2052831  penis laceration shaft orientation transverse
C2052832  laceration of shaft of penis with adequately approximated postsuture edges
C2052833  penis laceration shaft edges postsuture approximation
C2052834  penis laceration shaft postsuture edges poorly approximated
C2052835  penis laceration shaft postsuture edges well-approximated
C2052836  penis laceration shaft shape
C2052837  penis laceration shaft straight line
C2052838  penis laceration shaft superficial (epidermal only)
C2052839  penis laceration shaft V-shaped
C2052840  penis laceration shaft Y-shaped
C2055656  tender left vulvar mass
C2055659  penis lesion ulcer tender
C2055665  tender right vulvar mass (physical finding)
C2057549  size of testicular nodule
C2057586  tuberculosis of testis bacteriology and histology not done
C2057587  tuberculosis of testis bacteriology and histology unknown (diagnosis)
C2057588  tuberculosis of testis in sputum: (+) culture (-) microscopy (diagnosis)
C2057591  tuberculosis of testis TB (+) histology, (-) bacteriology
C2057592  tuberculosis of testis TB in sputum: (+) microscopy (diagnosis)
C2059329  intravenous pyelography solitary mass lesion of kidney ___cm
C2059330  intravenous pyelography multiple mass lesions of kidney ___cm
C2059331  intravenous pyelography: solitary cyst of kidney (procedure)
C2059332  intravenous pyelography: multiple cysts of kidney
C2059333  intravenous pyelography: extravasation from kidney
C2059334  intravenous pyelography: extravasation from ureter (procedure)
C2059335  retrograde pyelogram kidney mass lesion solitary ___cm
C2059336  retrograde pyelogram: multiple mass lesions
C2059337  retrograde pyelogram: solitary cyst of kidney
C2059338  retrograde pyelogram: multiple cysts of kidney (procedure)
C2059339  retrograde pyelogram: solitary calculus of kidney (procedure)
C2059340  retrograde pyelogram: multiple calculi of kidney
C2059341  retrograde pyelogram: solitary calculus of ureter
C2059342  retrograde pyelogram: multiple calculi of ureter (procedure)
C2059348  abdominal computed tomography kidney cysts multiple
C2063016  pregnancy complicated by hypertension secondary to renal disease (diagnosis)
C2063666  post ureterostomy
C2064500  location of neoplasm of bladder
C2064504  location of urethral carcinoma
C2070073  embolus of retinal artery of right eye
C2070074  retinal arterial embolus of left eye (physical finding)
C2070075  retinal arterial embolus of both eyes (physical finding)
C2072905  chest computerized tomography multiple emboli
C2072938  chest computerized tomography saddle embolus of main pulmonary artery
C2075676  clear penile discharge
C2075677  urethral discharge clear
C2076561  inflammation of Skene's gland left
C2076580  inflammation of right Skene's gland (physical finding)
C2078840  intravenous pyelogram dilated terminal collecting ducts
C2078842  intravenous pyelography: absence of kidney (procedure)
C2078843  intravenous pyelography: absence of both kidneys (procedure)
C2078844  intravenous pyelography: absence of left kidney (procedure)
C2078845  intravenous pyelography: absence of right kidney
C2078846  intravenous pyelography: bilateral enlarged kidneys
C2078847  intravenous pyelography: bilateral small kidneys (procedure)
C2078848  intravenous pyelography: bladder cyst (procedure)
C2078849  intravenous pyelography: bladder cyst with calcification of wall (procedure)
C2078850  intravenous pyelography: multiple cysts of bladder (procedure)
C2078851  intravenous pyelography: solitary cyst of bladder
C2078852  intravenous pyelography bladder mass ___cm
C2078853  intravenous pyelography bladder mass calcified ___cm
C2078854  intravenous pyelography bladder mass multiple ___cm
C2078855  intravenous pyelography bladder mass solitary ___cm
C2078856  intravenous pyelography: bladder polyp (procedure)
C2078857  intravenous pyelography: multiple polyps of bladder (procedure)
C2078858  intravenous pyelography: solitary polyp of bladder (procedure)
C2078859  intravenous pyelography: calculi
C2078864  intravenous pyelography: displacement of both ureters
C2078865  intravenous pyelography: displacement of left ureter only (procedure)
C2078866  intravenous pyelography: displacement of right ureter only
C2078867  intravenous pyelography: ectopic kidney (procedure)
C2078868  intravenous pyelography: enlarged bladder (procedure)
C2078869  intravenous pyelography: enlarged kidney (procedure)
C2078870  intravenous pyelography: extravasation (procedure)
C2078871  intravenous pyelography: extravasation bladder
C2078872  intravenous pyelography: extravasation of both kidneys
C2078873  intravenous pyelography: extravasation of both ureters
C2078874  intravenous pyelography: extravasation of left kidney only (procedure)
C2078875  intravenous pyelography: extravasation of left ureter only (procedure)
C2078876  intravenous pyelography: extravasation of right kidney only (procedure)
C2078877  intravenous pyelography: extravasation of right ureter only (procedure)
C2078878  intravenous pyelography: extrinsic compression of bladder (procedure)
C2078879  intravenous pyelography: extrinsic compression of bladder from above
C2078880  intravenous pyelography: extrinsic compression of bladder from below
C2078881  intravenous pyelography: extrinsic compression of bladder to left (procedure)
C2078882  intravenous pyelography: extrinsic compression of bladder to right (procedure)
C2078883  intravenous pyelography: extrinsic compression of both kidneys (procedure)
C2078884  intravenous pyelography: extrinsic compression of kidney (procedure)
C2078885  intravenous pyelography: extrinsic compression of kidney from above
C2078886  intravenous pyelography: extrinsic compression of kidney from below (procedure)
C2078887  intravenous pyelography: extrinsic compression of kidney right kidney only (procedure)
C2078888  intravenous pyelography: extrinsic compression of left kidney only (procedure)
C2078889  intravenous pyelography: filling defect
C2078890  intravenous pyelography: fusion of kidneys
C2078891  intravenous pyelography: kidney cyst
C2078892  intravenous pyelography: kidney cyst calcification of wall
C2078893  intravenous pyelography: kidney mass lesion
C2078894  intravenous pyelography kidney mass lesion calcified ___cm
C2078895  intravenous pyelography: left kidney enlarged only
C2078896  intravenous pyelography: multiple bladder calculi (procedure)
C2078897  intravenous pyelography: multiple cysts of both kidneys
C2078898  intravenous pyelography: multiple cysts of left kidney (procedure)
C2078899  intravenous pyelography: multiple cysts of right kidney
C2078900  intravenous pyelography: multiple kidney calculi
C2078901  intravenous pyelography: multiple kidney calculi in both kidneys
C2078902  intravenous pyelography: multiple kidney calculi left only
C2078903  intravenous pyelography: multiple kidney calculi right only
C2078904  intravenous pyelography multiple mass lesions of both kidneys ___cm
C2078905  intravenous pyelography multiple mass lesions of left kidney only ___cm
C2078906  intravenous pyelography multiple mass lesions of right kidney only ___cm
C2078907  intravenous pyelography: multiple ureter calculi (procedure)
C2078908  intravenous pyelography: multiple ureter calculi in both ureters
C2078909  intravenous pyelography: multiple ureter calculi in left ureter only
C2078910  intravenous pyelography: multiple ureter calculi in right ureter only (procedure)
C2078911  intravenous pyelography: multiple urethral calculi (procedure)
C2078912  intravenous pyelography: nephrocalcinosis
C2078913  intravenous pyelography: nephrocalcinosis of both kidneys (procedure)
C2078914  intravenous pyelography: nephrocalcinosis of left kidney only
C2078915  intravenous pyelography: nephrocalcinosis of right kidney only (procedure)
C2078916  both kidneys are not visualized
C2078917  intravenous pyelography: nonvisualization of kidney
C2078918  the left kidney is not visualized
C2078919  the right kidney is not visualized
C2078920  intravenous pyelography: obstructive pattern
C2078921  intravenous pyelography: obstructive pattern bilateral (procedure)
C2078922  intravenous pyelography: obstructive pattern left only (procedure)
C2078923  intravenous pyelography: obstructive pattern right only (procedure)
C2078924  intravenous pyelography: papillary necrosis
C2078925  intravenous pyelography: papillary necrosis of both kidneys (procedure)
C2078926  intravenous pyelography: papillary necrosis of left kidney only (procedure)
C2078927  intravenous pyelography: papillary necrosis of right kidney only
C2078928  intravenous pyelography: right kidney enlarged only
C2078929  intravenous pyelography: small kidney
C2078930  intravenous pyelography: small kidney on left only
C2078931  intravenous pyelography: small kidney on right only (procedure)
