C0000804  Abortion, Criminal
C0233075  Parity six
C0233126  Frequency of uterine contraction
C0233139  Uterine incoordination, second degree
C0233140  Spontaneous uterine inversion
C0233141  Forced uterine inversion
C0233147  Cervical dilatation, 1cm
C0233148  Cervical dilatation, 2cm
C0233149  Cervical dilatation, 3cm
C0233150  Cervical dilatation, 4cm
C0233151  Cervical dilatation, 5cm
C0233152  Cervical dilatation, 6cm
C0233153  Cervical dilatation, 7cm
C0233154  Cervical dilatation, 8cm
C0233155  Cervical dilatation, 9cm
C0233158  Cervical effacement, 10%
C0233159  Cervical effacement, 20%
C0233160  Cervical effacement, 30%
C0233161  Cervical effacement, 40%
C0233162  Cervical effacement, 50%
C0233163  Cervical effacement, 60%
C0233164  Cervical effacement, 70%
C0233165  Cervical effacement, 80%
C0233166  Cervical effacement, 90%
C0233169  Immature cervix
C0233173  Placental expulsion, spontaneous, Schultz mechanism
C0233175  Anterior asynclitism
C0233176  Asynclitism, posterior
C0233178  Cervical annular detachment
C0233180  Chaussier's sign
C0233224  Fetal attitude
C0233234  Fetal restitution
C0233257  Fetal presentation, longitudinal
C0233260  Cephalic presentation
C0233269  Face presentation
C0233276  Brow presentation
C0233277  Brow right anterior position
C0233278  Brow right posterior position
C0233279  Brow left anterior position
C0233280  Brow left posterior position
C0233283  Complete breech presentation
C0233286  Frank breech presentation
C0233298  Acromion left anterior position
C0233300  Acromion right anterior position
C0233302  Funic presentation
C0233304  Parietal presentation
C0233305  CONDITIONS OF THE FETAL MEMBRANES
C0233306  Fetal membranes, intact
C0233308  Fetal membranes, rupture
C0233365  Twin birth
C0233931  Emission, nocturnal
C0233975  Abnormal angle of erection
C0234308  EIGHTH CRANIAL NERVE FUNCTIONS AND DYSFUNCTIONS
C0235093  BLADDER PARALYSIS
C0235627  ISOSTHENURIA
C0235643  Aggravated prostatism
C0235659  FETAL MOVEMENTS DECREASED
C0235664  Cervical discharge
C0235673  Pregnancy on oral contraceptive
C0235675  UTERUS RELAXED
C0235848  SKIN COLD CLAMMY
C0235967  SWEAT DISCOLORATION
C0237011  No measurable ovarian simple cysts
C0237029  Normal endometrium
C0237031  Abnormal endometrium
C0237062  Anteverted uterus
C0237063  Anteflexed uterus
C0238296  hypertrophy; myometrium
C0238594  ADNEXAL TENDERNESS
C0238775  Mass of urinary bladder
C0239277  Mass of epididymis
C0239778  green urine
C0239852  head CT scan brain atrophy
C0240109  Kidney palpable
C0240140  LABIAL ADHESION
C0240322  MENSES ONSET DELAYED
C0240508  Erythema of nipple
C0240514  nodules on the chest nipple(s)
C0240520  Swelling of nipple
C0240611  OVARIAN MASS
C0240682  pain in the pelvic girdle
C0240691  Penile Mass
C0240701  Small penis
C0240702  Uncircumcised penis (finding)
C0240719  swollen perineum (physical finding)
C0240829  Loss of pubic hair
C0240871  purulent rectal discharge was observed
C0240873  RECTAL MASS
C0240969  cyst of scrotum
C0241351  Cyst of testes
C0241353  TESTICULAR MASS
C0241355  Small testicle
C0241584  Maple syrup urine odor
C0241619  VAGINAL CYST
C0241623  Brown vaginal discharge
C0241625  foul-smelling vaginal discharge (symptom)
C0241626  Frothy vaginal discharge
C0241628  Mucoid vaginal discharge
C0241629  Purulent vaginal discharge
C0241631  Watery vaginal discharge
C0241632  Yellow vaginal discharge
C0241633  DRYNESS VAGINAL
C0241712  Erythema of vulva
C0241713  Scratch marks on vulva
C0241716  VULVAR MASS
C0242385  Bite, Cross
C0260601  single liveborn born in hospital (history)
C0260603  single liveborn born in hospital and delivered by cesarean section
C0260611  twin birth, mate liveborn born outside hospital and not hospitalized
C0262411  CERVICAL HYPERPLASIA
C0262498  GYNECOLOGIC PROBLEM
C0262613  RENAL MASS
C0263491  Pili torti
C0264169  Saddle back nose, NOS
C0266491  Neuronal heterotopia
C0266781  Nonspecific abnormal findings in amniotic fluid
C0267636  Diverticulum of appendix
C0268991  Adherent prepuce
C0269009  Atrophy of penis
C0269011  Hypertrophy of penis
C0269130  Relaxation of vaginal outlet or pelvis
C0269202  Cyst of cervix
C0269439  Elective abortion
C0269494  Self-induced abortion
C0269549  Failed attempted abortion without mention of complication
C0269610  Placenta previa found before labor and delivery by cesarean section without hemorrhage
C0269679  Insufficient weight gain of pregnancy
C0269699  Malposition of fetus, NOS
C0269707  Mentum presentation of fetus
C0269708  Multiple gestation with one or more fetal malpresentations
C0269715  Contracted pelvis, NOS
C0269718  Fetal disproportion, NOS
C0269721  Fetal hydrops causing disproportion
C0269734  Retroverted gravid uterus
C0269747  Previous operation to cervix affecting pregnancy
C0269750  Tumor of cervix affecting pregnancy
C0269752  Previous surgery to vagina affecting pregnancy
C0269757  Tumor of vagina affecting pregnancy
C0269761  Previous surgery to perineum or vulva affecting pregnancy
C0269763  Tumor of vulva affecting pregnancy
C0269787  Fetal bradycardia affecting management of mother
C0269788  Fetal tachycardia affecting management of mother
C0269792  Intrauterine death affecting management of mother
C0269800  Leakage of amniotic fluid
C0269805  INDICATIONS FOR CARE OR INTERVENTION DURING LABOR OR DELIVERY
C0269811  Grand multiparity
C0269817  Maternal dystocia, NOS
C0269819  Obstruction caused by position of fetus at onset of labor
C0269822  Prolapse of anterior lip of cervix obstructing labor
C0269824  Persistent occipitoposterior position
C0269830  Failure of cervical dilation
C0269843  Delayed delivery of second of multiple births
C0269845  Prolapse of cord
C0269846  Cord entanglement, NOS
C0269966  Disruption of episiotomy wound in the puerperium
C0270059  Fetus or newborn affected by contracted pelvis
C0270061  Fetus or newborn affected by shoulder presentation
C0270129  Meconium in amniotic fluid, not clear if noted before or after onset of labor in liveborn infant
C0270140  Abnormal fetal heart beat first noted during labor or delivery in liveborn infant
C0270143  Meconium in amniotic fluid first noted during labor or delivery in liveborn infant
C0270277  Fetal death due to induced abortion, NOS
C0270691  Cyst of spinal meninges
C0277833  Harrison's groove
C0278016  Hard stools
C0278029  Inequality in size of kidneys
C0278033  Black urine
C0278034  Cloudy urine
C0278035  Chylous urine
C0278041  Crude urine
C0278044  Normal urine odor
C0278045  Abnormal urine odor
C0278090  Precocious pseudopuberty
C0278091  Isosexual precocious pseudopuberty
C0278207  Sunken fontanel
C0281789  Bleeding From Nipple
C0302511  Fetus small-for-dates
C0312413  Paradoxic incontinence
C0312417  Lactation, increased
C0333128  BLACKHEADS
C0333582  Calcareous degeneration
C0334192  ENDOMETRIAL ATROPHY
C0334195  Syncytial endometritis
C0338599  Ependymal cyst
C0340655  Renal artery haemorrhage
C0341730  Extravas urine from ureter
C0341738  High compliance bladder
C0341789  Sebaceous cyst of scrotum
C0341827  Bulky uterus
C0341873  Tumor of uterine body complic p/n care, baby prev delivered
C0341904  Illegal abortion complete
C0342526  Absent testes
C0342531  Androgen receptor absent
C0342533  Undervirilisation
C0342540  Arrested puberty
C0342548  Precocious menstruation
C0344484  Spinal arachnoid cyst
C0347836  O/E - delayed puberty
C0349594  Rupt aneurysm of ant cer art
C0349595  Rupt aneurysm of mid cer art
C0349596  Rupt aneurysm of pst cer art
C0392039  Hypertrophy of ovary
C0392168  EMPROSTHOTONUS
C0392503  Impaction of intestine
C0393782  Morning glory disc
C0403616  Escape of urine from ureter
C0403617  Escape of urine from Tx ureter
C0403640  Leucoplakia of bladder
C0403645  Atony of bladder
C0403712  Asymptomatic bacteriuria in pregnancy - not delivered
C0403722  Asymptomatic proteinuria
C0403723  Candiduria
C0403769  Penis bent
C0403824  Teratozoospermia
C0403825  Globozoospermia
C0404505  Retained intraut contr device
C0404512  Decubitus ulcer of cervix
C0404550  Scanty or infrequent menstruation
C0404680  Stenosis of cervix + p/n compl
C0404681  Stenosis of cervix complicating a/n care- baby not delivered
C0404682  Stenosis of cervix - baby delivered with postpartum complication
C0404684  Polyp of cervix + p/n complic
C0404701  Cystocele + obstetric care
C0404702  Rectocele + obstetric care
C0404705  Cystocele - baby delivered
C0404834  Grand multiparity - delivered
C0404859  Cont preg aft abort, 1 fetus
C0404976  Abortive preg.+oliguria
C0405018  Mixed feto-pelvic dispr-deliv.
C0405026  Variation of placental position
C0405063  Heavy show
C0405124  Cord round neck
C0405138  Postnatal vaginal discomfort
C0405185  Locked twins
C0405321  Breast engorgement NOS
C0405334  Fresh stillbirth
C0406492  Symmetrical lividities of sole
C0406790  Pregnancy dermatosis
C0411089  Large-for-dates + a/n problem
C0411099  Small-for-dates + a/n problem
C0419375  Triplet birth
C0419376  Twins - one still and one live born
C0419378  Triplets - all live born
C0419379  Triplets - two live and one stillborn (finding)
C0419380  Triplets - one live and two stillborn (finding)
C0419381  Triplets - three stillborn (finding)
C0419406  Birth head circumference
C0419415  Birth length
C0420871  IUD threads lost
C0420938  A/N amniocentesis - abnormal
C0423140  Meibomian gland observation
C0423141  Absence of meibomian glands
C0423142  Loss of meibomian glands
C0423147  Dilated and inspissated meibomian orifices
C0423148  Meibomian secretion
C0423459  Optic disc vascular anomaly
C0423595  Sensation as bladder not empty
C0423596  Persist abd sensn after mictn
C0423597  Persist perin sensn after mict
C0423742  Painful intercourse
C0423743  female dyspareunia due to physical condition (diagnosis)
C0423745  Superfic pain on intercourse
C0423747  Deep dyspareunia
C0423749  Painful orgasm
C0423795  Raised birthmark
C0423796  Flat birthmark
C0423852  Delayed growth 2ry sex hair
C0424555  Clammy sweat
C0424556  Sweating on one side of body
C0424557  Sweaty feet
C0424558  Sweaty hands
C0424559  Sweaty arm pits
C0424699  Fontanelle observation
C0424700  Closure of fontanelle
C0424703  Flat fontanelle
C0424704  Edges of fontanelle overriding
C0424752  Fever with sweating
C0424854  Lump coming down vagina
C0424855  Pressure indents rectal mass
C0424873  Delayed toilet training
C0425739  Failure of vaginal lubrication on intercourse
C0425740  Erection observation
C0425741  Inappropriate erection
C0425742  Erection when not aroused
C0425743  Erection too easily aroused
C0425744  Erection with full bladder
C0425745  Waking erection
C0425746  Cannot get an erection
C0425747  Delayed erection
C0425748  Excessive erection
C0425749  Always has an erection
C0425750  Erection too strong
C0425751  Erection too big
C0425752  Cannot sustain an erection
C0425753  Fear of ejaculation
C0425757  Ejaculation without arousal
C0425758  Ejaculation without an erection
C0425759  Ejaculation without orgasm
C0425763  Erection without orgasm
C0425772  Precocious breast development
C0425794  Nipple observation
C0425795  Absent nipple
C0425797  Displacement of nipple
C0425799  Nipples unequal in size
C0425800  Areolas unequal in size
C0425801  Large nipple
C0425802  Flat nipple
C0425804  Destructive lesion of nipple
C0425805  Areola observation
C0425806  Large areolae
C0425807  Lactiferous ducts observation
C0425808  Lactiferous duct prominent
C0425812  Nipple discharge present
C0425813  No nipple discharge
C0425818  Female genitalia observations
C0425819  Vaginal hymen observation
C0425820  Hymenal orifice
C0425822  Hymenal orifice dilated
C0425823  Annular hymen
C0425824  Horseshoe shape hymen
C0425826  Integrity of hymen
C0425827  Hymen broken
C0425829  Hymenal edge
C0425830  Scarred hymenal edge
C0425831  Notched hymen
C0425833  Transection of hymen
C0425834  Vulva observation
C0425835  Size of the vulva
C0425836  Small vulva
C0425837  Large vulva
C0425838  Labia majora loose and pendulous
C0425840  Orifce Bartholin duct not seen
C0425841  Clitoris observation
C0425843  Small clitoris
C0425844  Vagina observation
C0425847  Size of vagina
C0425848  Small vagina
C0425849  Tight vagina
C0425850  Large vagina
C0425851  Vaginal wall observation
C0425855  Scarring of vaginal wall
C0425856  Vaginal tags
C0425857  Polyp of vaginal wall
C0425860  Granulation around vaginal fistula
C0425861  Material draining from vaginal fistula
C0425862  Flow of material from vaginal fistula
C0425863  Vaginal vault observation
C0425864  Level of descent of vaginal vault
C0425865  Scarring of vaginal vault
C0425866  Contents of vagina
C0425867  Blood in vagina
C0425868  Products conception in vagina
C0425869  Purulent matter in vagina
C0425870  Tampon in vagina
C0425871  Nil in vagina
C0425872  Vaginal epithelium observation
C0425874  Vaginal fornix observation
C0425875  Ovary felt at vaginal fornix
C0425876  Fallopian tube felt at vaginal fornix
C0425877  Pulsation at vaginal fornix
C0425878  Heat in vaginal fornix
C0425879  Passes vaginal flatus
C0425882  Spasm of pelvic muscles around vagina
C0425883  Uterine cervix observation
C0425884  Uterine cervix absent
C0425887  Small uterine cervix
C0425889  Large uterine cervix
C0425891  Elongated cervix
C0425893  Displacement of uterine cervix
C0425894  Cervix prolapsed into vagina
C0425895  Form of cervical os
C0425897  Cervical os patulous
C0425899  Multips os
C0425900  Nulliparous cervical os
C0425902  Surface of cervix healthy
C0425903  Uterine cervix scarred
C0425904  Healed lateral tears of cervix
C0425905  Contents of os cervix
C0425907  Product conception ut os cervx
C0425908  Bleeding through os cervix
C0425909  Pus at uterine os cervix
C0425910  Mucus plug in os cervix
C0425912  Body of uterus observation
C0425913  Uterus absent
C0425917  Level descent uterine prolapse
C0425919  Flexion of uterus
C0425921  Discharge from fem genitalia
C0425922  Discharge from vulva
C0425923  Discharge from Bartholin gland
C0425927  Diameter of ovary
C0425938  Long menstrual cycle
C0425939  Length of cycle increasing
C0425941  Regularity of menstrual cycle
C0425942  Menstrual periods regular
C0425945  Menostaxis
C0425946  Brief periods
C0425948  Spotting precedes menst flow
C0425949  Amount of menstrual flow
C0425952  Menstrual loss decreasing
C0425953  Menstrual loss increasing
C0425954  Menstrual loss stable
C0425957  Periods have stopped
C0425958  Vaginal introitus bleeding
C0425959  Bleeding from hymen
C0425960  Contact bleeding from cervix
C0425969  Pregnancy unplanned ? wanted
C0425970  Pregnant -unplanned-not wanted
C0425971  Pregnant - unplanned - wanted
C0426010  Pregnant abdomen observation
C0426013  Pregn uterus displaced lateral
C0426014  Irritable uterus
C0426019  External os closed
C0426020  Internal os closed
C0426023  Presenting part not applied
C0426024  Presenting part loosely appl
C0426025  Presenting part well applied
C0426026  Presenting part tightly appl
C0426027  Rate of delivery
C0426029  Caul membrane over baby's head
C0426032  Fetal movements not felt
C0426033  Fetal movements felt
C0426035  Fetal movements observed
C0426051  Fetal parts palpable per abdo
C0426052  Multiple fetal parts palpable
C0426054  Fetal parts distinguished abdo
C0426056  Longitudinal lie
C0426058  Oblique presentation
C0426059  Oblique lie - delivered
C0426061  Oblique lie head in iliac foss
C0426062  Oblique lie breech in il fossa
C0426063  Transverse presentation
C0426064  Transverse lie - delivered
C0426066  Unstable lie of fetus
C0426068  Uncertain lie
C0426071  Deflexed fetal attitude
C0426072  Extended fetal attitude
C0426085  No fetal parts present vagina
C0426088  Persist.occ-post.posn.-deliv.
C0426089  Persist.occ-post.pos.+a/n prob
C0426090  Cephalic version, NOS
C0426093  Occiput anterior position
C0426094  Occiput right anterior position
C0426095  Occiput left anterior position
C0426096  Occiput posterior position
C0426097  Occiput right posterior position
C0426098  Occiput left posterior position
C0426099  DOP - Direct occip-post positn
C0426100  Occipitolateral position
C0426101  Occiput right transverse position
C0426102  Occiput left transverse position
C0426103  Molding
C0426104  Sutures touch without overlap
C0426105  Reducible suture overlap
C0426106  Fixed suture overlap
C0426110  Fontanelles presenting
C0426112  Both fontanelles presenting
C0426113  Anterior fontanelle presenting
C0426114  Post fontanelle presenting
C0426116  Face presentation - delivered
C0426118  Mentoanterior position
C0426119  Mentum right anterior position
C0426120  Mentum left anterior position
C0426121  Direct mentoanterior position
C0426122  Mentoposterior position
C0426123  Mentum right posterior position
C0426124  Mentum left posterior position
C0426125  Direct mentoposterior position
C0426126  Mentolateral position
C0426127  Mentum right transverse position
C0426128  Mentum left transverse position
C0426129  Fetal mouth presenting
C0426130  Fetal ear presenting
C0426131  Fetal nose presenting
C0426132  Mentum presentation
C0426134  Brow presentation - delivered
C0426136  Orbital ridges presenting
C0426137  Anterior brow position
C0426138  Posterior brow position
C0426139  Lateral brow position
C0426140  Brow right transverse position
C0426141  Brow left transverse position
C0426142  Breech presentation - delivered
C0426143  Breech presentation with antenatal problem
C0426146  Incomplete breech presentation
C0426147  Fetal foot presenting
C0426148  Breech presentation, single footling
C0426149  Breech presentation, double footling
C0426150  Knee presentation
C0426151  Single knee presentation
C0426152  Double knee presentation
C0426154  Sacrum anterior position
C0426155  Sacrum right anterior position
C0426156  Sacrum left anterior position
C0426157  Sacrum posterior position
C0426158  Sacrum right posterior position
C0426159  Sacrum left posterior position
C0426160  Direct sacroposterior position
C0426161  Sacrolateral position
C0426164  Acromion presentation
C0426165  Dorsoant shoulder presentn
C0426166  Dorsopost shoulder presentatn
C0426167  Anterior shoulder presentation
C0426168  Shoulder right anterior position
C0426169  Shoulder left anterior position
C0426170  Posterior shoulder presentation
C0426171  Acromion right posterior position
C0426172  Acromion left posterior position
C0426175  Prolapsed arm - delivered
C0426178  Compound presentation of fetus
C0426179  Presentation in mult pregnancy
C0426180  Fetal engagement
C0426181  Engagement of head
C0426182  Propn fetal hd above pelv brim
C0426183  Head engaged
C0426184  Head partially engaged
C0426185  Head deeply engaged
C0426187  High fetal head at term
C0426189  Engagement of breech
C0426190  Breech engaged
C0426191  Breech not engaged
C0426192  No presenting part at brim of pelvis
C0426196  Vaginal show
C0426198  Condition amniotic membranes
C0426199  Intact membranes
C0426200  Intact membrane through cervix
C0426201  Hourglass membranes
C0426203  Fluid thrill in uterus
C0426204  Amount of liquor
C0426205  Change in quantity of liquor
C0426209  Amniotic fluid -meconium stain
C0426210  Fresh meconium staining liquor
C0426211  Old meconium staining liquor
C0426212  Thick meconium draining liquor
C0426213  Transmission of uterine contraction wave
C0426214  Reversal of uterine contraction wave
C0426219  Presenting part above spines
C0426220  Presenting part at spines
C0426221  Presenting part below spines
C0426226  Placental details
C0426227  Complete placenta at delivery
C0426228  Incompl placenta at delivery
C0426232  Appearance of placenta
C0426233  Placenta gritty
C0426234  Placenta calcified
C0426235  Placenta infarcted
C0426236  Placental vessel observation
C0426237  Retroplacental clot
C0426239  Condition membranes at deliv
C0426240  Membranes absent
C0426241  Membranes complete
C0426242  Membranes incomplete
C0426245  Blood clots in membranes
C0426246  Condition of umbilical cord at delivery
C0426248  Wharton's jelly excessive
C0426256  Uterus high
C0426257  Uterus boggy
C0426258  Flaccid uterus after delivery
C0426261  Placental fragments in uterus
C0426262  Placental fragments at cervical os
C0426263  Membrane at cervical os
C0426267  Lochia observation
C0426268  Consistency of lochia
C0426315  Condition neonat umbilic cord
C0426319  Scrotum observation
C0426320  Absent scrotum
C0426322  Testicular observation
C0426324  Testicles in scrotum
C0426325  Absence of testicle in scrotum
C0426326  Testicle out of place
C0426329  Epididymis observation
C0426330  Penis observation
C0426333  Constriction in shaft of penis
C0426334  Partial flaccidity of penis
C0426335  Glans penis observation
C0426337  Position male urethral meatus
C0426338  Foreskin observation
C0426339  Foreskin deficient
C0426340  Circumcised foreskin
C0426341  Tight frenulum of foreskin
C0426342  Hooded foreskin
C0426343  Narrow outlet of foreskin
C0426344  Ballooning of foreskin
C0426346  Foreskin retracts
C0426347  Foreskin does not retract
C0426348  Adhesions of foreskin
C0426349  Tightly retracted foreskin
C0426350  Fixed, retracted foreskin
C0426351  Thickening of spermatic cord
C0426352  Condition of smegma
C0426353  Smegma offensive
C0426355  Lack of smegma
C0426356  Excessive smegma
C0426357  Urinary tract observations
C0426358  GU examination - NAD
C0426361  Lack of desire for urination
C0426362  Has to make self urinate
C0426364  Diffic initiat bladder empty
C0426365  Must strain to pass urine
C0426366  Must adopt partic posture urin
C0426367  Unable to urinate lying down
C0426368  Control of micturition normal
C0426371  Passive incontinence
C0426372  Lack awareness need to urinate
C0426374  Must urin repeatly to empty bl
C0426375  Micturition frequency normal
C0426377  Infrequent urination
C0426378  Oliguria as a complication of care
C0426379  Anuria as a complication of care
C0426382  Micturition stream normal
C0426385  Urine stops and starts
C0426386  Urine flows in spurts
C0426387  Sudden stoppage of urine flow
C0426389  Terminal dribbling of urine
C0426398  Urethral observation
C0426399  Urethral discharge symptom
C0426403  Urethral meatus observation
C0426405  A sore at urethral meatus
C0426647  Passage of meconium
C0426648  Failure to pass meconium
C0426703  Renal Findings
C0426704  Lower pole of kidney palpable
C0426705  Kidney not palpable
C0426706  Absent kidney
C0426708  Bladder observation
C0426709  Bladder palpable
C0426710  Bladder not palpable
C0426722  Rectum observation
C0426723  Contents of rectum
C0426724  Empty rectum
C0426725  Ballooning of rectum
C0426726  Full rectum
C0426728  Ulcer of rectal mucosa
C0426730  Prostate observation
C0426732  Large prostate
C0426733  Small prostate
C0426736  Loss median groove prost
C0426752  Sentinel pile
C0426762  Healed tear of anal sphincter
C0426774  Reducibility of prolapsed pile
C0426848  Sacral dimple
C0427779  Pregnancy test weakly positive
C0427791  Amniotic fluid microsc. - abn.
C0427792  Amniotic fluid - bloodstained (finding)
C0428140  Amniotic fluid chemistry: abn.
C0429450  Cervical mucus observations
C0429453  Cervical mucus ferning
C0429459  Postcoital cervical mucus
C0429462  Postc cerv muc sp rap prog mot
C0429463  Postc cer muc sp-slow prog mot
C0429464  Postc cer muc-non mot+immot sp
C0429467  Temp. chart: ? ovulation
C0429469  Temp. chart: anovulatory
C0429470  Ovulatory
C0429471  Temp. chart: ovulatory
C0429480  Fetal heart deceleration
C0429481  Early fetal heart deceleration
C0429482  Late fetal heart deceleration
C0429531  Congenital malformation of angle
C0429532  Barkan membrane
C0429597  G1 - Genitalia stage 1
C0429598  Boys gen dev-enlarg scrot+test
C0429599  Boys geni devel-enlarg penis
C0429600  Develop penis,scrot enlar+dark
C0429601  Adult genitalia, test 15cm vol
C0429609  PH1 - Pubic hair stage 1
C0429610  PH2 - Pubic hair stage 2
C0429611  Darker,thicker,curl pubic hair
C0429612  Adult typ pub hair, area<adult
C0429613  Adult pubic hair in type and quantity with spread to medial surface of thigh
C0429614  Hair spread to linea alba
C0429756  Urological test observation
C0429776  24 Hour urinary volume
C0429777  Single voided urinary volume
C0429778  Urinary loss
C0429794  Bladder test observation
C0429797  Bladder neck descent at rest
C0429798  Bladder neck descent on stress
C0429800  Bladder neck incompetence at rest
C0429801  Bladder neck incompet stress
C0429804  Bladder sensation
C0429811  Urethral test observation
C0429817  Urethral overactivity
C0429818  Urethral underactivity
C0429822  Incompetent urethral clos mech
C0429825  Mechanical urinary obstruction
C0429826  Dysfunctional voiding of urine
C0429832  Penile arterial insufficiency
C0429833  Penile venous leak
C0429835  Urinary fistula type
C0429837  Micturition observations
C0429957  Bladder - assessment observns
C0429961  Bladder: occasional accident
C0429962  Bladder: fully continent
C0432356  Small nipple
C0433688  Retained tampon
C0436555  C/O pelvic pain
C0436556  C/O perineal pain
C0436571  O/E - sweating
C0436579  O/E - cold and clammy
C0436716  O/E - Harrison's sulcus
C0436717  O/E - funnel chest
C0436806  O/E - caput medusae
C0436893  O/E - fissured tongue
C0436952  O/E - rebound - R.iliac
C0436954  O/E - rebound - L.iliac
C0437016  O/E - PR - prostatic swelling
C0437017  O/E - PR - rectal mass
C0437018  O/E - PR - uterine swelling
C0437019  O/E - PR - rectum empty
C0437033  O/E - left kidney palpable
C0437034  O/E - right kidney palpable
C0437036  O/E - bladder palpable
C0437038  O/E - bladder just palpable
C0437039  O/E - bladder readily palpable
C0437040  O/E -bladder half to umbilicus
C0437041  O/E - bladder up to umbilicus
C0437046  O/E - scrotal swelling
C0437048  O/E -scrotal swelling-transill
C0437049  O/E -scrotal swell.no transill
C0437050  O/E - testicular swelling
C0437051  O/E - epididymal swelling
C0437052  O/E - testicles normal
C0437053  O/E - penis
C0437054  O/E - penis normal
C0437055  O/E - penile abnormality
C0437056  O/E - discharge - penis
C0437057  O/E - ext.female genitalia NOS
C0437058  O/E - ext.female genitalia NAD
C0437059  O/E - ext.female genital abn.
C0437060  O/E - bi-manual VE - NAD
C0437061  O/E - VE - uterine enlargement
C0437062  O/E - VE - uterine swelling
C0437063  O/E - VE - gravid uterus
C0437064  O/E - VE - uterus anteverted
C0437065  O/E - VE - uterus retroverted
C0437066  O/E - VE - ovarian swelling
C0437068  O/E-VE-cervical excit.present
C0437069  O/E-VE-cervical excit.absent
C0437070  O/E - bi-manual VE - NOS
C0437071  O/E - vaginal speculum exam.
C0437072  O/E-vaginal speculum exam. NAD
C0437073  O/E - speculum = cervical abn.
C0437074  O/E-speculum=bleeding thro' os
C0437075  O/E - speculum=vag. wall. abn.
C0437076  O/E - vaginal discharge
C0437078  O/E - white vag. discharge
C0437079  O/E - creamy vag. discharge
C0437080  O/E - yellow vag. discharge
C0437081  O/E - green vag. discharge
C0437082  On examination - bloodstained vaginal discharge
C0437083  O/E - frothy vag. discharge
C0437084  O/E - profuse vag. discharge
C0437085  O/E - offensive vag. discharge
C0437090  O/E - peau d'orange
C0437096  O/E - general nipple exam.
C0437097  O/E - nipple normal
C0437098  O/E - retracted nipple
C0437099  O/E - cracked nipple
C0437100  O/E - nipple discharge
C0437102  O/E - nipple discharge - clear
C0437103  O/E - nipple discharge - milky
C0437104  O/E-nipple discharge-blood-red
C0437105  O/E - nipple disch.-blood-dark
C0437106  O/E - nipple discharge - pus
C0437135  O/E - fundus size - obstetric
C0437136  O/E - fundus 12-16 week size
C0437137  O/E - fundus 16-20 week size
C0437138  O/E - fundus 20-24 week size
C0437139  O/E - fundus 24-28 week size
C0437140  O/E - fundus 28-32 week size
C0437141  O/E - fundus 32-34 week size
C0437142  O/E - fundus 34-36 week size
C0437143  O/E - fundus 36-38 week size
C0437144  O/E -fundus 38 weeks-term size
C0437145  O/E - fundus = term size
C0437146  O/E - fundal size = dates
C0437148  O/E - vertex presentation
C0437149  O/E - breech presentation
C0437150  O/E - oblique lie
C0437151  O/E - transverse lie
C0437152  O/E - multiple presentation
C0437153  O/E -fetal presentation unsure
C0437162  O/E - presenting part free-5/5
