C0003962  Ascites
C0270208  Fetal or neonatal jaundice from bruising
C0270209  Fetal or neonatal jaundice from drugs or toxins transmitted from mother
C0270212  Fetal or neonatal jaundice from polycythemia
C0272389  Cicatrix of tonsil
C0272390  Cicatrix of adenoid
C0277979  Shifting dullness
C0278002  Vomit: coffee ground
C0278016  Hard stools
C0279036  anticipatory nausea and vomiting
C0332425  Lymphoma stage Ie
C0332426  Lymphoma stage II
C0332427  Lymphoma stage IIe
C0332428  Lymphoma stage III
C0332429  Lymphoma stage IIIs
C0332430  Lymphoma stage IIIe
C0332431  Lymphoma stage IIIse
C0332432  Lymphoma stage III 1
C0332433  Lymphoma stage III 2
C0332434  Lymphoma stage IV
C0333378  Acute empyema
C0333812  BASOPHILIA STIPPLING
C0340978  May-Hegglin anomaly
C0341512  Retroperitoneal haematoma
C0341518  Ileocaecal adhesions
C0341523  Adhesion of stomach
C0341562  Gastrointest anastomotic leak
C0341564  Gastric anastomotic leak
C0342484  Adrenocortical haemorrhage
C0342501  Adrenal cyst
C0343495  Lockjaw
C0347631  Subcapsular liver haematoma
C0347638  Adrenal gland haematoma
C0347842  O/E - cold sore
C0348813  TB lung, no bact/histolog exam
C0376618  Endotoxaemia
C0392386  PLATELETS DECREASED
C0392503  Impaction of intestine
C0396028  Tonsillar caseous debris
C0399510  Infection of dental prosthesis
C0400814  Healed gastric ulcer
C0400815  Gastric ulcer scar
C0401001  Obstruction of biliary stent
C0403712  Asymptomatic bacteriuria in pregnancy - not delivered
C0403723  Candiduria
C0404701  Cystocele + obstetric care
C0404702  Rectocele + obstetric care
C0404705  Cystocele - baby delivered
C0410150  Rheumatic fever nodule
C0410983  Perinatal jaundice - bruising
C0421161  Salmonella carrier
C0423249  Corneal stromal abscess
C0423413  Retinal microvasc anastomoses
C0424416  Self-induce purg to lose wt
C0424771  Quotidien fever
C0424772  Double quotidien fever
C0424773  Tertian fever
C0424775  Quartan fever
C0424820  Ulceration of lymph node
C0426464  Remnant adenoids
C0426506  Tonsil observations
C0426509  Tonsils meet in middle
C0426510  Tonsillar remnants
C0426532  Bleeding from tonsillar bed
C0426605  Difficulty swallowing liquids
C0426606  Difficulty swallowing solids
C0426607  Food gets stuck in throat
C0426618  Bloodstained vomit
C0426620  Effortless vomiting
C0426641  Self-induced purging
C0426679  Puddle sign
C0426682  Fluid thrill
C0426696  Spleen observation
C0426698  Position of edge of spleen
C0426699  Tip of spleen palpable
C0426700  Splenic notch palpable
C0426701  Spleen palpable on inspiration
C0426702  Spleen palpable R lat position
C0426728  Ulcer of rectal mucosa
C0426752  Sentinel pile
C0426762  Healed tear of anal sphincter
C0426774  Reducibility of prolapsed pile
C0427543  MONOCYTOSIS
C0427544  Monocytopenia
C0427814  Vomit: frank blood present
C0429170  Caries active
C0431579  Dysmotility of stomach
C0436572  O/E - cachexic
C0436683  O/E - Wound infected
C0436869  O/E - angular stomatitis
C0436875  O/E - mouth - purpuric spots
C0436878  O/E - dental caries
C0436893  O/E - fissured tongue
C0436961  O/E -liver moderately enlarged
C0436962  O/E - liver grossly enlarged
C0436965  O/E - liver soft
C0436966  O/E - liver firm
C0436967  O/E - liver very hard
C0436968  O/E - liver grossly irregular
C0436969  O/E - liver finely irregular
C0436970  O/E - liver smooth
C0437001  O/E - ascites
C0437003  O/E - ascites - dipping shown
C0437004  O/E-ascites-fluid thrill shown
C0437005  O/E -ascites-shifting dullness
C0437008  O/E - reducible hernia
C0437009  O/E - irreducible hernia
C0437010  O/E - strangulated hernia
C0437011  O/E-hernia-cough impulse shown
C0437012  O/E-hernia descends to scrotum
C0437106  O/E - nipple discharge - pus
C0437245  O/E - febrile convulsion
C0437619  O/E - adenopathy
C0437621  O/E -cervical lymphadenopathy
C0437622  O/E-sub-mental lymphadenopathy
C0437623  O/E-supraclav.lymphadenopathy
C0437624  O/E -axillary lymphadenopathy
C0437625  O/E - inguinal lymphadenopathy
C0437626  O/E -popliteal lymphadenopathy
C0437627  O/E - lymph node character
C0437628  O/E - lymph nodes firm
C0437629  O/E - lymph nodes hard
C0437630  O/E - lymph nodes tethered
C0437631  O/E - lymph nodes discrete
C0437632  O/E - lymph nodes fluctuant
C0437633  O/E - lymph nodes tender
C0437634  O/E - spleen enlarged
C0437636  O/E - spleen just palpable
C0437637  O/E - moderate splenomegaly
C0437638  O/E - gross splenomegaly
C0437639  O/E - painful splenomegaly
C0437660  O/E - adenoid hypertrophy
C0437668  O/E - purulent ear discharge
C0437704  O/E - follicular tonsillitis
C0437724  O/E - pyrexia - ? cause
C0437779  O/E - follicular pustules
C0437947  O/E - gangrene
C0438012  O/E: gallstone
C0438013  O/E: cholesterol gallstone
C0438014  O/E: pigment gallstone
C0438237  LIVER ENZYME ABNORMAL
C0438258  Abnormal finding of blood chemistry, unspecified
C0451792  Deliv viab fetus in abdom preg
C0455647  H/O: liver recipient
C0455893  Pile easily reducible
C0455894  Pile difficult to reduce
C0455895  Pile cannot be reduced
C0455901  Small tonsils
C0455902  Healthy tonsils
C0455934  Small adenoids
C0455938  Large adenoids
C0456014  Newborn ingest of matern blood
C0456552  Absent adenoids
C0456575  Supraglottic erythema
C0457233  Herpetic vesicle in vagina
C0457505  Anticoagul excess w/out bleed
C0459816  Gangrene of toe
C0459831  Gangrene of finger
C0459832  Gangrene of thumb
C0473123  Omental haematoma
C0473124  Perinephric haematoma
C0474979  Foreign body in caecum
C0475100  O/E - jaundiced
C0475143  O/E - anaemia
C0475145  O/E - equivocally anaemic
C0475146  O/E - clinically anaemic
C0475147  O/E - profoundly anaemic
C0476308  Recurrent acute abdo pain
C0476321  Red cell volume abnormal
C0495429  Neonatal jaundice due to bleeding
C0497156  Lymphadenopathy
C0520561  Small intestinal bleeding, NOS
C0520753  Foreign body in alimentary tract, NOS
C0522064  Regurgitation of food
C0522074  Acute acquired deficiency
C0522075  Chronic acquired deficiency
C0541726  GANGRENE SKIN
C0541750  ABDOMEN MIMICKING ACUTE
C0541972  LIVER FUNCTION TESTS MULTIPLE ABNORM
C0541977  GASTRIN INCREASED
C0541979  GGTP ABNORMAL
C0542083  MATURATION ARREST PLATELET
C0542241  Toxemia
C0543392  FECES BLOODSTAINED
C0546403  Proteinaceous lymphadenopathy
C0549123  Large tonsils
C0553682  FIBRINOGEN PLASMA INCREASED
C0553720  SPHEROCYTOSIS
C0554996  Fungating tumor of lymph node
C0555730  O/E - hepatomegaly
C0555732  O/E - hernia
C0555856  Blood in vomit O/E
C0555857  Bilious vomit O/E
C0558175  Vomiting food
C0558515  O/E - lymph nodes
C0559348  Infected wire
C0559684  Inflamed tonsils
C0564434  Foreign body large intestine
C0564610  Tonsil congested
C0565554  D/V after GIT surgery
C0566362  Difficulty swallowing food
C0566373  Diff swallow thick fluid
C0566379  Difficulty swallowing saliva
C0566384  Diff initiating swallow reflex
C0566917  Purpura of vulva
C0576998  Tonsil present
C0576999  Absent tonsils
C0577000  Obs of appearance of tonsil
C0577001  Normal sized tonsils
C0577005  Obs of discharge of tonsil
C0577048  Obs of consistency liver
C0577049  Liver soft
C0577050  Liver firm
C0577051  Liver irregular
C0577052  Liver smooth
C0577081  Vomit contains blood
C0577082  Vomit contains fresh blood
C0577084  Vomit contains old blood
C0577287  Spleen present
C0577288  Spleen absent
C0577289  Obs of sensation of spleen
C0577888  Observation of adenoids
C0577889  Adenoids present
C0578162  Observation of size of tonsil
C0578469  Vomited meal
C0578532  Observation of lymph node
C0578539  Observation of size of lymph node
C0578734  Obs lymph node + lymphatics
C0578767  Ulcerat cervical lymph node
C0578768  Ulcerat axillary lymph node
C0578769  Ulcerat inguinal lymph node
C0578770  Ulcerat epitroch lymph node
C0578771  Ulcerat popliteal lymph node
C0581077  History of - splenectomy (context-dependent category)
C0581158  O/E skin red
C0581159  O/E - red nose
C0584635  Difficulty swallow soft foods
C0584807  Erythema over mastoid
C0584836  Tonsil asymmetry
C0585145  High output ileostomy
C0585253  Infected aortic graft
C0585931  O/E-Right diabet foot at risk
C0585932  O/E-Left diabet foot at risk
C0586258  Vomit: blood present
C0588127  Infec intern Kirsch wire fixat
C0702266  BASOPHILIA
C0729262  Constipation by delayed colonic transit
C0730573  Anal tightness (disorder)
C0740374  Cellulitis of thumb
C0740411  Delayed gastric emptying
C0741244  ascites tense
C0742157  CERVICAL LACERATION HEALED
C0742175  enlarged posterior cervical lymph nodes
C0742232  CERVICITIS TRICHOMONAS
C0742906  elevated C-reactive protein (diagnosis)
C0744333  Gastrointestinal Tract Polyp
C0744778  persistent fetal hemoglobin (diagnosis)
C0747788  preauricular lymph nodes enlarged
C0749871  Recurrent upper respiratory infections
C0853697  Neutrophil count decreased
C0856500  Faecal impaction (causing obstruction)
C0858477  Primary tuberculous complex, confirmed histologically
C0864706  vaccinia not from vaccination
C0866590  erythroderma; secondary
C0919890  FIBRINOGEN INCREASED
C0940065  Grade I esophagitis
C0940066  Grade II esophagitis
C0940067  Grade III esophagitis
C0940068  Grade IV esophagitis
C0940122  Spurting bleeding of esophageal varices
C0940123  Oozing bleeding of esophageal varices
C0940124  Non bleeding esophageal varices
C0940144  Oozing bleeding esophageal ulcer
C0940145  Non bleeding esophageal ulcer
C0940305  Spurting bleeding gastric varices
C0940306  Oozing bleeding gastric varices
C0940307  Non bleeding gastric varices
C0940327  Spurting bleeding gastric ulcer
C0940328  Oozing bleeding gastric ulcer
C0940329  Non bleeding gastric ulcer
C0940486  Oozing bleeding of duodenal ulcer
C0940487  Non bleeding duodenal ulcer
C0940637  Non bleeding hemorrhoids
C0940734  Complete pancreas divisum
C0940735  Incomplete pancreas divisum
C0940747  Pancreatic Duct Stenosis
C0941151  Spurting bleeding esophageal ulcer
C0941183  Spurting bleeding of duodenal ulcer
C0949157  carrier of genetic disease hemophilia A asymptomatic
C0949158  symptomatic carrier of hemophilia A
C1142487  Intestinal Stoma Obstruction
C1264017  Stress neutrophilia
C1265576  erythema acute
C1265577  Chronic erythema (finding)
C1265578  Idiopathic erythema (finding)
C1268598  Hypoalphaglobulinemia -RETIRED-
C1268599  Hypobetaglobulinemia -RETIRED-
C1273955  O/E - post-auricular lymphadenopathy (disorder)
C1282464  dehiscence of perineal wound
C1287647  Finding of size of adenoids
C1290770  Erythema of mucous membrane of oral vestibule (finding)
C1292124  Lymphoid system finding (finding)
C1298821  Annular abscess of aortic root
C1300749  Hepatocellular dysplasia
C1319030  Status of metastases in marker lymph node unknown (finding)
C1319121  Non-traumatic gastric rupture
C1320730  Late syphilis with clinical manifestations other than neurosyphilis (disorder)
C1333078  Collagen Fibrosis of the Bone Marrow
C1333324  Dysplasia in Barrett's Esophagus
C1334003  High Grade Dysplasia in Barrett's Esophagus
C1334245  Intracranial Plasma Cell Granuloma
C1334414  Low Grade Dysplasia in Barrett Esophagus
C1334458  Lymphadenopathy with Polyclonal Hypergammaglobulinemia
C1334688  Megaloblastic Erythroid Hyperplasia
C1335067  Normoblastic Erythroid Hyperplasia
C1335762  Bone marrow reticulin fibrosis
C1335927  Schistosome Granuloma
C1384607  Food deprivation
C1385417  skin abscess of chest wall
C1385680  effusion; abdomen
C1390873  abdomen; upset, fluid
C1390876  distension; abdomen, fluid
C1396893  erythema; inflammation
C1399464  hepatomegaly; splenomegaly
C1401677  glands; swelling, generalized
C1401861  status of artificial opening of gastrointestinal tract (diagnosis)
C1403430  phytobezoar; stomach
C1512996  Marked Bone Marrow Fibrosis
C1513005  Massive Sinusoidal Histiocytic Infiltrate
C1513313  Minimal Reticulin Fibrosis of the Bone Marrow
C1532440  O/E - left eye clinically significant macular oedema (disorder)
C1532588  O/E - left eye stable treated proliferative diabetic retinopathy (disorder)
C1532602  O/E - right eye clinically significant macular oedema (disorder)
C1532604  O/E - right eye stable treated proliferative diabetic retinopathy (disorder)
C1533092  Painful rectal bleeding (finding)
C1533098  Panleucopenia
C1536329  Erythema of forearm
C1536344  Erythema of knee
C1536346  Erythema of toe
C1560655  CTCAE Grade 1 Peritoneal Cavity Hemorrhage
C1560656  Grade 2 Peritoneal cavity hemorrhage
C1560657  CTCAE Grade 3 Peritoneal Cavity Hemorrhage
C1560658  Grade 4 Peritoneal cavity hemorrhage
C1560659  Grade 5 Peritoneal cavity hemorrhage
C1562849  O/E - sight threatening diabetic retinopathy (disorder)
C1562854  Sickle cell-haemoglobin C disease without crisis
C1562873  Gastrointestinal disorder due to food allergy (disorder)
C1562909  anemia hemolytic sickle Hb-E disease with crisis
C1562910  Keratoconjunctivitis sicca due to graft-versus-host disease (disorder)
C1562915  Immune recovery uveitis (disorder)
C1562946  Penile sclerosing lipogranuloma due to injected substance (disorder)
C1562947  Sickle cell-haemoglobin E disease without crisis
C1562959  Conjunctival papillary hypertrophy (disorder)
C1562978  Sickle cell-thalassaemia disease without crisis
C1563017  Contact lens related conjunctivitis (disorder)
C1563091  Retinal vasculitis due to polyarteritis nodosa (disorder)
C1563094  Conjunctivitis due to lichen planus (disorder)
C1626924  On examination - spleen palpable (finding)
C1697746  Rectal Obstruction
C1698195  Small Intestinal Anastomotic Leakage
C1698511  Rectal Anastomotic Leakage
C1699327  Large Intestinal Anastomotic Leakage
C1699653  Anal Mucositis
C1706304  gland; hypertrophy
C1707305  Carious Dentin
C1707837  Dysplasia in Ulcerative Colitis
C1708363  High Grade Dysplasia in Ulcerative Colitis
C1708748  Low Grade Dysplasia in Ulcerative Colitis
C1709089  Multilocular Thymic Cyst
C1719331  Basophilic leukopenia
C1720431  CLPC - Contact lens related papillary conjunctivitis
C1720538  Nonblanchable erythema
C1827160  Corneal haze due to herpes zoster (disorder)
C1827289  Lymphadenopathy of head AND/OR neck
C1827724  Post-infective arthritis of joint of hand (disorder)
C1836680  Submucosal cleft palate
C1858586  Mild anemia
C1866203  Recurrent respiratory infections
C1882989  Secondary Caries
C1960541  Corneal haze due to herpes simplex (disorder)
C1996951  Finding of sensation of lymph node
C2004612  depth of wound of abdominal wall
C2004613  edges of wound of abdominal wall
C2004614  wound of abdominal wall with ragged edges (physical finding)
C2004615  wound of abdominal wall extending into muscle (physical finding)
C2004616  wound of abdominal wall extending to bone
C2004617  wound of abdominal wall extending to fascia (physical finding)
C2004618  abdominal wound shape jagged
C2004619  subcutaneous abdominal wound
C2004660  abnormal RBC morphology
C2004849  burns abdomen left upper quadrant
C2005121  burns of left lower quadrant of abdomen
C2005296  burns of periumbilical region of abdomen (physical finding)
C2005421  burns of right lower quadrant of abdomen
C2005440  burns abdomen right upper quadrant
C2005458  burns of suprapubic region of abdomen
C2006359  carbuncle number (# ___)
C2006361  carbuncle of left anterior axillary fold
C2006363  carbuncle of left axillary vault
C2006365  carbuncle of left posterior axillary fold (physical finding)
C2006366  carbuncle of right anterior axillary fold (physical finding)
C2006368  carbuncle of right axillary vault
C2006370  carbuncle of right posterior axillary fold
C2006399  carbuncle total number (physical finding)
C2006400  carbuncles along anterior jaw line
C2006401  carbuncles along entire jaw line (physical finding)
C2006402  carbuncles along jaw line (physical finding)
C2006403  carbuncles along left jaw line (physical finding)
C2006404  carbuncles along posterior jaw line (physical finding)
C2006405  carbuncles along right jaw line (physical finding)
C2006406  carbuncles around both sides of mouth (physical finding)
C2006407  carbuncles around both sides of nose and mouth
C2006408  carbuncles around left side of mouth
C2006409  carbuncles around left side of nose and mouth
C2006410  carbuncles around mouth (physical finding)
C2006411  carbuncles around nose and mouth
C2006412  carbuncles around right side of mouth (physical finding)
C2006413  carbuncles around right side of nose and mouth (physical finding)
C2006414  carbuncles between first and second toes on left foot
C2006415  carbuncles between first and second toes on right foot
C2006416  carbuncles between fourth and fifth toes on left foot (physical finding)
C2006417  carbuncles between fourth and fifth toes on right foot (physical finding)
C2006418  carbuncles between second and third toes on left foot
C2006419  carbuncles between second and third toes on right foot (physical finding)
C2006420  carbuncles between third and fourth toes on left foot (physical finding)
C2006421  carbuncles between third and fourth toes on right foot
C2006422  carbuncles between toes (physical finding)
C2006423  carbuncles between toes on both feet (physical finding)
C2006424  carbuncles between toes on left foot (physical finding)
C2006425  carbuncles between toes on right foot
C2006426  carbuncle of diaper area involving buttocks (physical finding)
C2006427  carbuncle of diaper area in front (physical finding)
C2006428  carbuncle of diaper area with papular appearance (physical finding)
C2006429  carbuncle of diaper area with peeling (physical finding)
C2006430  carbuncle of diaper area with raw appearance
C2006431  carbuncle of diaper area with scabs (physical finding)
C2006432  carbuncle of diaper area with smooth and red appearance
C2006433  carbuncles in diaper area
C2006434  carbuncles in entire inguinal region (physical finding)
C2006435  carbuncles in inguinal region
C2006436  carbuncles in left inguinal region
C2006437  carbuncles in right inguinal region (physical finding)
C2006438  carbuncles of both axillae
C2006439  carbuncle of ala nasi
C2006440  carbuncles on anal region (physical finding)
C2006441  carbuncles on anterior heel of left foot (physical finding)
C2006442  carbuncles on anterior heel of right foot
C2006443  carbuncles on anterior neck
C2006444  carbuncles on anterior scalp (physical finding)
C2006445  carbuncles on anterior surface of both knees (physical finding)
C2006446  carbuncles on anterior surface of both thighs (physical finding)
C2006447  carbuncles on anterior surface of left knee
C2006448  carbuncles on anterior surface of left thigh (physical finding)
C2006449  carbuncles on anterior surface of right knee (physical finding)
C2006450  carbuncles on anterior surface of right thigh (physical finding)
C2006451  carbuncles on arch of left foot (physical finding)
C2006452  carbuncles on arch of right foot
C2006453  carbuncles on areola (physical finding)
C2006454  carbuncles on back of both shoulders (physical finding)
C2006455  carbuncles on back of left shoulder (physical finding)
C2006456  carbuncles on back of right shoulder
C2006457  carbuncles on back of shoulder
C2006458  carbuncles on both ankles (physical finding)
C2006459  carbuncles on both areolae
C2006460  carbuncles on both arms
C2006461  carbuncles on both breasts
C2006462  carbuncles on both buttocks
C2006463  carbuncles on both calves (physical finding)
C2006464  carbuncles on both cheeks (physical finding)
C2006465  carbuncles on both ears (physical finding)
C2006466  carbuncles on both elbows (physical finding)
C2006467  carbuncles on both eyebrows
C2006468  carbuncles on both forearms (physical finding)
C2006469  carbuncles on both hands (physical finding)
C2006470  carbuncles on both inferior calves (physical finding)
C2006471  carbuncles on both infraclavicular regions (physical finding)
C2006472  carbuncles on both knees
C2006473  carbuncles on labia bilaterally
C2006474  carbuncles on both lateral ankles
C2006475  carbuncles of lateral aspect of both elbows
C2006476  carbuncles on both lower shins (physical finding)
C2006477  carbuncles on both medial ankles (physical finding)
C2006478  carbuncles of medial aspect of both elbows
C2006479  carbuncles on both nipples (physical finding)
C2006480  carbuncles on both nostrils (physical finding)
C2006481  carbuncles of outside of both elbows
C2006482  carbuncles on both paranasal folds (physical finding)
C2006483  carbuncles on both popliteal fossae (physical finding)
C2006484  carbuncles on both shins (physical finding)
C2006485  carbuncles on both sides of anterior neck (physical finding)
C2006486  carbuncles on both sides of posterior neck
C2006487  carbuncles on both superior calves (physical finding)
C2006488  carbuncles on both supraclavicular regions (physical finding)
C2006489  carbuncles on both temples (physical finding)
C2006490  carbuncles on both thighs (physical finding)
C2006491  carbuncles on both upper shins
C2006492  carbuncles on calf (physical finding)
C2006493  carbuncles on canthus (physical finding)
C2006494  carbuncles on cheek
C2006495  carbuncles on chest
C2006496  carbuncles on chin (physical finding)
C2006497  carbuncles on columella of nose (physical finding)
C2006498  carbuncles on distal end of both thighs
C2006499  carbuncles on distal end of left forearm
C2006500  carbuncles on distal end of left fourth toe (physical finding)
C2006501  carbuncles on distal end of left great toe (physical finding)
C2006502  carbuncle of distal end of index finger of left hand
C2006503  carbuncle of distal end of little finger of left hand (physical finding)
C2006504  carbuncles on distal end of left little toe (physical finding)
C2006505  carbuncle of distal end of middle finger of left hand
C2006506  carbuncle of distal end of ring finger of left hand
C2006507  carbuncles on distal end of left second toe
C2006508  carbuncles on distal end of left thigh
C2006509  carbuncles on distal end of left third toe
C2006510  carbuncles on distal end of left thumb (physical finding)
C2006511  carbuncles on distal end of right forearm
C2006512  carbuncles on distal end of right fourth toe
C2006513  carbuncles on distal end of right great toe (physical finding)
C2006514  carbuncle of distal end of index finger of right hand (physical finding)
C2006515  carbuncle of distal end of little finger of right hand (physical finding)
C2006516  carbuncles on distal end of right little toe (physical finding)
C2006517  carbuncle of distal end of middle finger of right hand (physical finding)
C2006518  carbuncle of distal end of ring finger of right hand
C2006519  carbuncles on distal end of right second toe
C2006520  carbuncles on distal end of right thigh
C2006521  carbuncles on distal end of right third toe
C2006522  carbuncles on distal end of right thumb (physical finding)
C2006523  carbuncles on dorsal surface of both hands
C2006524  carbuncles on dorsal surface of left forearm
C2006525  carbuncles on dorsal surface of left fourth toe (physical finding)
C2006526  carbuncles on dorsal surface of left great toe (physical finding)
C2006527  carbuncles on dorsal surface of left hand
C2006528  carbuncle of dorsal aspect of index finger of left hand (physical finding)
C2006529  carbuncle of dorsal aspect of little finger of left hand
C2006530  carbuncles on dorsal surface of left little toe (physical finding)
C2006531  carbuncle of dorsal aspect of middle finger of left hand (physical finding)
C2006532  carbuncle of dorsal aspect of ring finger of left hand (physical finding)
C2006533  carbuncles on dorsal surface of left second toe
C2006534  carbuncles on dorsal surface of left third toe (physical finding)
C2006535  carbuncles on dorsal surface of left thumb
C2006536  carbuncles on dorsal surface of right forearm (physical finding)
C2006537  carbuncles on dorsal surface of right fourth toe (physical finding)
C2006538  carbuncles on dorsal surface of right great toe (physical finding)
C2006539  carbuncles on dorsal surface of right hand
C2006540  carbuncle of dorsal aspect of index finger of right hand (physical finding)
C2006541  carbuncle of dorsal aspect of little finger of right hand
C2006542  carbuncles on dorsal surface of right little toe
C2006543  carbuncle of dorsal aspect of middle finger of right hand
C2006544  carbuncle of dorsal aspect of ring finger of right hand (physical finding)
C2006545  carbuncles on dorsal surface of right second toe (physical finding)
C2006546  carbuncles on dorsal surface of right third toe
C2006547  carbuncles on dorsal surface of right thumb (physical finding)
C2006548  carbuncle of dorsum of nose (physical finding)
C2006549  carbuncles on entire abdomen
C2006550  carbuncles on entire chest
C2006551  carbuncles on entire chin
C2006552  carbuncles on entire forehead (physical finding)
C2006553  carbuncles on entire lower back
C2006554  carbuncles on entire lower lip
C2006555  carbuncles on entire middle back (physical finding)
C2006556  carbuncles on entire upper back (physical finding)
C2006557  carbuncles on entire upper lip
C2006558  carbuncles on eyebrow (physical finding)
C2006559  carbuncles on forehead
C2006560  carbuncles on front of both shoulders (physical finding)
C2006561  carbuncles on front of left shoulder
C2006562  carbuncles on front of right shoulder
C2006563  carbuncles on front of shoulder
C2006564  carbuncles on glabella (physical finding)
C2006565  carbuncles on heel of left foot (physical finding)
C2006566  carbuncles on heel of right foot (physical finding)
C2006567  carbuncles on inferior lateral quadrant of left breast (physical finding)
C2006568  carbuncles on inferior lateral quadrant of right breast (physical finding)
C2006569  carbuncles on inferior medial quadrant of left breast (physical finding)
C2006570  carbuncles on inferior medial quadrant of right breast (physical finding)
C2006571  carbuncles on infraclavicular region
C2006572  carbuncles on lateral arch of left foot
C2006573  carbuncles on lateral arch of right foot (physical finding)
C2006574  carbuncles on lateral heel of left foot
C2006575  carbuncles on lateral heel of right foot (physical finding)
C2006576  carbuncles on lateral metatarsal area of sole of left foot (physical finding)
C2006577  carbuncles on lateral metatarsal area of sole of right foot (physical finding)
C2006578  carbuncles on lateral surface of both knees (physical finding)
C2006579  carbuncles on lateral surface of both thighs
C2006580  carbuncles on lateral surface of left forearm (physical finding)
C2006581  carbuncles on lateral surface of left fourth toe
C2006582  carbuncles on the left great toe lateral
C2006583  carbuncle of lateral aspect of index finger of left hand (physical finding)
C2006584  carbuncles on lateral surface of left knee (physical finding)
C2006585  carbuncle of lateral aspect of little finger of left hand (physical finding)
C2006586  carbuncles on the left little toe lateral
C2006587  carbuncle of lateral aspect of middle finger of left hand (physical finding)
C2006588  carbuncle of lateral aspect of ring finger of left hand
C2006589  carbuncles on lateral surface of left second toe
C2006590  carbuncles on lateral surface of left thigh (physical finding)
C2006591  carbuncles on lateral surface of left third toe
C2006592  carbuncles on lateral surface of left thumb (physical finding)
C2006593  carbuncles on lateral surface of right forearm
C2006594  carbuncles on lateral surface of right fourth toe (physical finding)
C2006595  carbuncles on lateral surface of right great toe
C2006596  carbuncle of lateral aspect of index finger of right hand (physical finding)
C2006597  carbuncles on lateral surface of right knee (physical finding)
C2006598  carbuncle of lateral aspect of little finger of right hand (physical finding)
C2006599  carbuncles on lateral surface of right little toe (physical finding)
C2006600  carbuncle of lateral aspect of middle finger of right hand
C2006601  carbuncle of lateral aspect of ring finger of right hand (physical finding)
C2006602  carbuncles on lateral surface of right second toe (physical finding)
C2006603  carbuncles on lateral surface of right thigh (physical finding)
C2006604  carbuncles on lateral surface of right third toe (physical finding)
C2006605  carbuncles on lateral surface of right thumb
C2006606  carbuncles on left ankle
C2006607  carbuncles on left antecubital fossa (physical finding)
C2006608  carbuncles on left antihelix
C2006609  carbuncles on left antitragus (physical finding)
C2006610  carbuncles on left areola
C2006611  carbuncle of left arm (physical finding)
C2006612  carbuncles on left auricle (physical finding)
C2006613  carbuncles on left breast (physical finding)
C2006614  carbuncles on left buttock
C2006615  carbuncles on left calf
C2006616  carbuncles on left cheek (physical finding)
C2006617  carbuncles on left chest (physical finding)
C2006618  carbuncles on left concha (physical finding)
C2006619  carbuncle of dorsal aspect of left arm
C2006620  carbuncles on left elbow (physical finding)
C2006621  carbuncles on left extensor region of elbow
C2006622  carbuncles on left external auditory canal (physical finding)
C2006623  carbuncles on left eyebrow (physical finding)
C2006624  carbuncles on left forearm
C2006625  carbuncles on left fourth toe (physical finding)
C2006626  carbuncles on left great toe (physical finding)
C2006628  carbuncles on left helix
C2006629  carbuncle of index finger of left hand (physical finding)
C2006630  carbuncles on left inferior calf (physical finding)
C2006631  carbuncles on left infraclavicular region (physical finding)
