C0020458  Hyperhidrosis
C0269822  Prolapse of anterior lip of cervix obstructing labor
C0269830  Failure of cervical dilation
C0269845  Prolapse of cord
C0269846  Cord entanglement, NOS
C0269966  Disruption of episiotomy wound in the puerperium
C0270129  Meconium in amniotic fluid, not clear if noted before or after onset of labor in liveborn infant
C0278090  Precocious pseudopuberty
C0278091  Isosexual precocious pseudopuberty
C0281789  Bleeding From Nipple
C0333128  BLACKHEADS
C0334192  ENDOMETRIAL ATROPHY
C0334195  Syncytial endometritis
C0341789  Sebaceous cyst of scrotum
C0341827  Bulky uterus
C0341873  Tumor of uterine body complic p/n care, baby prev delivered
C0342526  Absent testes
C0342531  Androgen receptor absent
C0342533  Undervirilisation
C0342548  Precocious menstruation
C0392039  Hypertrophy of ovary
C0403769  Penis bent
C0403824  Teratozoospermia
C0403825  Globozoospermia
C0404505  Retained intraut contr device
C0404512  Decubitus ulcer of cervix
C0404550  Scanty or infrequent menstruation
C0404680  Stenosis of cervix + p/n compl
C0404681  Stenosis of cervix complicating a/n care- baby not delivered
C0404682  Stenosis of cervix - baby delivered with postpartum complication
C0404684  Polyp of cervix + p/n complic
C0404701  Cystocele + obstetric care
C0404702  Rectocele + obstetric care
C0404705  Cystocele - baby delivered
C0405026  Variation of placental position
C0405063  Heavy show
C0405124  Cord round neck
C0405138  Postnatal vaginal discomfort
C0406492  Symmetrical lividities of sole
C0420871  IUD threads lost
C0420938  A/N amniocentesis - abnormal
C0423140  Meibomian gland observation
C0423141  Absence of meibomian glands
C0423142  Loss of meibomian glands
C0423147  Dilated and inspissated meibomian orifices
C0423148  Meibomian secretion
C0423742  Painful intercourse
C0423743  female dyspareunia due to physical condition (diagnosis)
C0423745  Superfic pain on intercourse
C0423747  Deep dyspareunia
C0423749  Painful orgasm
C0424555  Clammy sweat
C0424556  Sweating on one side of body
C0424557  Sweaty feet
C0424558  Sweaty hands
C0424559  Sweaty arm pits
C0424752  Fever with sweating
C0424854  Lump coming down vagina
C0425739  Failure of vaginal lubrication on intercourse
C0425740  Erection observation
C0425741  Inappropriate erection
C0425742  Erection when not aroused
C0425743  Erection too easily aroused
C0425744  Erection with full bladder
C0425745  Waking erection
C0425746  Cannot get an erection
C0425747  Delayed erection
C0425748  Excessive erection
C0425749  Always has an erection
C0425750  Erection too strong
C0425751  Erection too big
C0425752  Cannot sustain an erection
C0425753  Fear of ejaculation
C0425757  Ejaculation without arousal
C0425758  Ejaculation without an erection
C0425759  Ejaculation without orgasm
C0425763  Erection without orgasm
C0425794  Nipple observation
C0425795  Absent nipple
C0425797  Displacement of nipple
C0425799  Nipples unequal in size
C0425800  Areolas unequal in size
C0425801  Large nipple
C0425802  Flat nipple
C0425804  Destructive lesion of nipple
C0425805  Areola observation
C0425806  Large areolae
C0425807  Lactiferous ducts observation
C0425808  Lactiferous duct prominent
C0425812  Nipple discharge present
C0425813  No nipple discharge
C0425818  Female genitalia observations
C0425819  Vaginal hymen observation
C0425820  Hymenal orifice
C0425822  Hymenal orifice dilated
C0425823  Annular hymen
C0425824  Horseshoe shape hymen
C0425826  Integrity of hymen
C0425827  Hymen broken
C0425829  Hymenal edge
C0425830  Scarred hymenal edge
C0425831  Notched hymen
C0425833  Transection of hymen
C0425834  Vulva observation
C0425835  Size of the vulva
C0425836  Small vulva
C0425837  Large vulva
C0425838  Labia majora loose and pendulous
C0425840  Orifce Bartholin duct not seen
C0425841  Clitoris observation
C0425843  Small clitoris
C0425844  Vagina observation
C0425847  Size of vagina
C0425848  Small vagina
C0425849  Tight vagina
C0425850  Large vagina
C0425851  Vaginal wall observation
C0425855  Scarring of vaginal wall
C0425856  Vaginal tags
C0425857  Polyp of vaginal wall
C0425860  Granulation around vaginal fistula
C0425861  Material draining from vaginal fistula
C0425862  Flow of material from vaginal fistula
C0425863  Vaginal vault observation
C0425864  Level of descent of vaginal vault
C0425865  Scarring of vaginal vault
C0425866  Contents of vagina
C0425867  Blood in vagina
C0425868  Products conception in vagina
C0425869  Purulent matter in vagina
C0425870  Tampon in vagina
C0425871  Nil in vagina
C0425872  Vaginal epithelium observation
C0425874  Vaginal fornix observation
C0425875  Ovary felt at vaginal fornix
C0425876  Fallopian tube felt at vaginal fornix
C0425877  Pulsation at vaginal fornix
C0425878  Heat in vaginal fornix
C0425879  Passes vaginal flatus
C0425882  Spasm of pelvic muscles around vagina
C0425883  Uterine cervix observation
C0425884  Uterine cervix absent
C0425887  Small uterine cervix
C0425889  Large uterine cervix
C0425891  Elongated cervix
C0425893  Displacement of uterine cervix
C0425894  Cervix prolapsed into vagina
C0425895  Form of cervical os
C0425897  Cervical os patulous
C0425899  Multips os
C0425900  Nulliparous cervical os
C0425902  Surface of cervix healthy
C0425903  Uterine cervix scarred
C0425904  Healed lateral tears of cervix
C0425905  Contents of os cervix
C0425907  Product conception ut os cervx
C0425908  Bleeding through os cervix
C0425909  Pus at uterine os cervix
C0425910  Mucus plug in os cervix
C0425912  Body of uterus observation
C0425913  Uterus absent
C0425917  Level descent uterine prolapse
C0425919  Flexion of uterus
C0425921  Discharge from fem genitalia
C0425922  Discharge from vulva
C0425923  Discharge from Bartholin gland
C0425927  Diameter of ovary
C0425938  Long menstrual cycle
C0425939  Length of cycle increasing
C0425941  Regularity of menstrual cycle
C0425942  Menstrual periods regular
C0425945  Menostaxis
C0425946  Brief periods
C0425948  Spotting precedes menst flow
C0425949  Amount of menstrual flow
C0425952  Menstrual loss decreasing
C0425953  Menstrual loss increasing
C0425954  Menstrual loss stable
C0425957  Periods have stopped
C0425958  Vaginal introitus bleeding
C0425959  Bleeding from hymen
C0425960  Contact bleeding from cervix
C0426010  Pregnant abdomen observation
C0426013  Pregn uterus displaced lateral
C0426014  Irritable uterus
C0426019  External os closed
C0426020  Internal os closed
C0426196  Vaginal show
C0426198  Condition amniotic membranes
C0426199  Intact membranes
C0426200  Intact membrane through cervix
C0426201  Hourglass membranes
C0426203  Fluid thrill in uterus
C0426212  Thick meconium draining liquor
C0426213  Transmission of uterine contraction wave
C0426214  Reversal of uterine contraction wave
C0426226  Placental details
C0426227  Complete placenta at delivery
C0426228  Incompl placenta at delivery
C0426232  Appearance of placenta
C0426233  Placenta gritty
C0426234  Placenta calcified
C0426235  Placenta infarcted
C0426236  Placental vessel observation
C0426237  Retroplacental clot
C0426241  Membranes complete
C0426242  Membranes incomplete
C0426246  Condition of umbilical cord at delivery
C0426248  Wharton's jelly excessive
C0426256  Uterus high
C0426257  Uterus boggy
C0426258  Flaccid uterus after delivery
C0426261  Placental fragments in uterus
C0426262  Placental fragments at cervical os
C0426263  Membrane at cervical os
C0426267  Lochia observation
C0426268  Consistency of lochia
C0426315  Condition neonat umbilic cord
C0426319  Scrotum observation
C0426320  Absent scrotum
C0426322  Testicular observation
C0426324  Testicles in scrotum
C0426325  Absence of testicle in scrotum
C0426326  Testicle out of place
C0426329  Epididymis observation
C0426330  Penis observation
C0426333  Constriction in shaft of penis
C0426334  Partial flaccidity of penis
C0426335  Glans penis observation
C0426337  Position male urethral meatus
C0426338  Foreskin observation
C0426339  Foreskin deficient
C0426340  Circumcised foreskin
C0426341  Tight frenulum of foreskin
C0426342  Hooded foreskin
C0426343  Narrow outlet of foreskin
C0426344  Ballooning of foreskin
C0426346  Foreskin retracts
C0426347  Foreskin does not retract
C0426348  Adhesions of foreskin
C0426349  Tightly retracted foreskin
C0426350  Fixed, retracted foreskin
C0426351  Thickening of spermatic cord
C0426352  Condition of smegma
C0426353  Smegma offensive
C0426355  Lack of smegma
C0426356  Excessive smegma
C0426364  Diffic initiat bladder empty
C0426365  Must strain to pass urine
C0426366  Must adopt partic posture urin
C0426647  Passage of meconium
C0426648  Failure to pass meconium
C0426730  Prostate observation
C0426732  Large prostate
C0426733  Small prostate
C0426736  Loss median groove prost
C0426752  Sentinel pile
C0426774  Reducibility of prolapsed pile
C0427791  Amniotic fluid microsc. - abn.
C0427792  Amniotic fluid - bloodstained (finding)
C0428140  Amniotic fluid chemistry: abn.
C0429450  Cervical mucus observations
C0429453  Cervical mucus ferning
C0429459  Postcoital cervical mucus
C0429462  Postc cerv muc sp rap prog mot
C0429463  Postc cer muc sp-slow prog mot
C0429464  Postc cer muc-non mot+immot sp
C0429467  Temp. chart: ? ovulation
C0429469  Temp. chart: anovulatory
C0429470  Ovulatory
C0429471  Temp. chart: ovulatory
C0429597  G1 - Genitalia stage 1
C0429598  Boys gen dev-enlarg scrot+test
C0429599  Boys geni devel-enlarg penis
C0429600  Develop penis,scrot enlar+dark
C0429601  Adult genitalia, test 15cm vol
C0429609  PH1 - Pubic hair stage 1
C0429610  PH2 - Pubic hair stage 2
C0429611  Darker,thicker,curl pubic hair
C0429612  Adult typ pub hair, area<adult
C0429613  Adult pubic hair in type and quantity with spread to medial surface of thigh
C0429614  Hair spread to linea alba
C0429832  Penile arterial insufficiency
C0429833  Penile venous leak
C0432356  Small nipple
C0433688  Retained tampon
C0436555  C/O pelvic pain
C0436556  C/O perineal pain
C0436571  O/E - sweating
C0436579  O/E - cold and clammy
C0436806  O/E - caput medusae
C0436952  O/E - rebound - R.iliac
C0436954  O/E - rebound - L.iliac
C0437016  O/E - PR - prostatic swelling
C0437018  O/E - PR - uterine swelling
C0437046  O/E - scrotal swelling
C0437048  O/E -scrotal swelling-transill
C0437049  O/E -scrotal swell.no transill
C0437050  O/E - testicular swelling
C0437051  O/E - epididymal swelling
C0437052  O/E - testicles normal
C0437053  O/E - penis
C0437054  O/E - penis normal
C0437055  O/E - penile abnormality
C0437056  O/E - discharge - penis
C0437057  O/E - ext.female genitalia NOS
C0437058  O/E - ext.female genitalia NAD
C0437059  O/E - ext.female genital abn.
C0437060  O/E - bi-manual VE - NAD
C0437061  O/E - VE - uterine enlargement
C0437062  O/E - VE - uterine swelling
C0437063  O/E - VE - gravid uterus
C0437064  O/E - VE - uterus anteverted
C0437065  O/E - VE - uterus retroverted
C0437066  O/E - VE - ovarian swelling
C0437068  O/E-VE-cervical excit.present
C0437069  O/E-VE-cervical excit.absent
C0437070  O/E - bi-manual VE - NOS
C0437071  O/E - vaginal speculum exam.
C0437072  O/E-vaginal speculum exam. NAD
C0437073  O/E - speculum = cervical abn.
C0437074  O/E-speculum=bleeding thro' os
C0437075  O/E - speculum=vag. wall. abn.
C0437076  O/E - vaginal discharge
C0437078  O/E - white vag. discharge
C0437079  O/E - creamy vag. discharge
C0437080  O/E - yellow vag. discharge
C0437081  O/E - green vag. discharge
C0437082  On examination - bloodstained vaginal discharge
C0437083  O/E - frothy vag. discharge
C0437084  O/E - profuse vag. discharge
C0437085  O/E - offensive vag. discharge
C0437090  O/E - peau d'orange
C0437096  O/E - general nipple exam.
C0437097  O/E - nipple normal
C0437098  O/E - retracted nipple
C0437099  O/E - cracked nipple
C0437100  O/E - nipple discharge
C0437102  O/E - nipple discharge - clear
C0437103  O/E - nipple discharge - milky
C0437104  O/E-nipple discharge-blood-red
C0437105  O/E - nipple disch.-blood-dark
C0437106  O/E - nipple discharge - pus
C0437135  O/E - fundus size - obstetric
C0437136  O/E - fundus 12-16 week size
C0437137  O/E - fundus 16-20 week size
C0437138  O/E - fundus 20-24 week size
C0437139  O/E - fundus 24-28 week size
C0437140  O/E - fundus 28-32 week size
C0437141  O/E - fundus 32-34 week size
C0437142  O/E - fundus 34-36 week size
C0437143  O/E - fundus 36-38 week size
C0437144  O/E -fundus 38 weeks-term size
C0437145  O/E - fundus = term size
C0437146  O/E - fundal size = dates
C0437192  O/E - VE - cervical dilatation
C0437193  O/E - VE - cervical os closed
C0437194  O/E - VE - os=0-1cm dilated
C0437195  O/E - VE - os=1-2cm dilated
C0437196  O/E - VE - os=2-4cm dilated
C0437197  O/E - VE - os=4-6cm dilated
C0437198  O/E - VE - os=6-8cm dilated
C0437199  O/E - VE - os=8-10cm dilated
C0437200  O/E - VE - os=fully dilated
C0437207  Placenta normal O/E
C0437447  O/E - cremasteric reflex +ve.
C0437448  O/E - cremasteric reflex -ve.
C0437791  O/E - blackheads
C0438138  Amniotic fluid AFP abnormal
C0438692  Vaginal discharge symptom
C0455776  Vaginal lubrication
C0455791  Large scrotum
C0455792  Small scrotum
C0455795  Condition of male genitalia
C0455842  Problem getting an erection
C0455847  Uterus fixed
C0455849  Uterus mobile
C0455879  Offensive lochia
C0455886  Soft prostate
C0455887  Firm prostate
C0455888  Hard prostate
C0455889  Craggy prostate
C0455893  Pile easily reducible
C0455894  Pile difficult to reduce
C0455895  Pile cannot be reduced
C0455898  Has passed meconium
C0455903  Neonatal cord dry
C0455904  Neonatal cord moist
C0455905  Neonatal cord sticky
C0455906  Testicle in inguinal canal
C0455913  Large testicle
C0455962  Menopause observation
C0457226  Uneffaced cervix
C0457227  Partially effaced cervix
C0457228  Av blood loss during periods
C0457233  Herpetic vesicle in vagina
C0457234  Tenderness in vaginal fornix
C0457235  Presence of Shirodkar suture with or without cervical incompetence
C0459907  Cervical os open
C0459908  Cervical os closed
C0460103  Vaginal vault bleeding
C0460134  Vulva granulation
C0460147  Prostate surface observation
C0473496  Rupture of uterus during and after labor - delivered
C0474457  Cervical obs - preg + labor
C0474459  Position of umbilical cord during labor
C0474471  Uterine observation in labor
C0474472  Segment uterus disting in lab
C0474473  State of upper segment retraction during labor
C0474474  Hyperton lwr uter segm labor
C0474475  Contraction of uterus during labor
C0474487  Odor of lochia
C0474737  Gynaecological test observ
C0475195  Caesarean delivery - delivered
C0475602  Deliv by elective caes section
C0475603  Deliv by emerg caesar section
C0476475  Localized hyperhidrosis
C0476476  Generalized hyperhidrosis
C0497130  Abnormal sweating
C0522125  URETHRAL SPASM
C0522159  Normal placental secretion of chorionic gonadotrophin
C0522161  Increased placental secretion of chorionic gonadotrophin
C0522162  Decreased placental secretion of chorionic gonadotrophin
C0541940  Decreased erection of penis
C0542230  SWEATY PLAMS
C0542485  Placenta incomplete
C0542517  Fusion of vulva
C0555064  Uterine cervix fissured
C0555065  Frequent periods
C0555066  Length of cycle stable
C0555068  Obs of shape pregnant abdomen
C0555703  O/E - scrotal edema
C0555733  Prostate enlarged on PR
C0555735  O/E - labia
C0555736  O/E - vulva
C0555738  On examination - vaginal examination - non-obstetric
C0557878  Hot sweats
C0558368  Vaginal irritation
C0558487  C/O right iliac fossa pain
C0558488  C/O left iliac fossa pain
C0558510  O/E - female genitalia
C0558754  Cremasteric reflex negative
C0558755  Cremasteric reflex positive
C0559099  Had short umbilical cord
C0559892  Normal menstruation, NOS
C0561919  Spotting per vagina in pregnancy
C0565581  Myalgia/myositis -pelvis/thigh
C0565855  Had umbilical cord around neck
C0566693  Large placenta
C0566694  Small placenta
C0566695  Placenta normal size
C0566696  Obs form of placenta
C0566697  Obs completeness placenta
C0566698  Lesion of placenta
C0566699  Fresh retroplacental clot
C0566700  Old retroplacental clot
C0566701  Placenta infected
C0566702  Placenta fatty deposits
C0566705  Placenta offensive odor
C0566706  Obs color of placenta
C0566707  Placenta pale
C0566708  Obs measures of placenta
C0566709  Obs placental function
C0566710  Placenta healthy
C0566711  Placenta unhealthy
C0566712  Placenta problem
C0566713  Amniotic membrane observation
C0566714  Amniotic membranes present
C0566715  Obs form amnio membrane
C0566716  Obs completen amnio membranes
C0566717  Obs number amniotic membrane
C0566720  Lesion of amniotic membrane
C0566721  Obs measures amnio membrane
C0566722  Amniotc membranes normal
C0566723  Deficient amniotic fluid
C0566724  Excessive amniotic fluid
C0566727  Fluid thrill amnio flui presnt
C0566728  Fluid thrill amnio flui absent
C0566730  Umbilical cord observations
C0566731  Obs form of umbilical cord
C0566732  Umbilical cord thin
C0566733  Umbilical cord thick
C0566734  Obs pulsation of cord
C0566735  Obs puls cord thru intact mebr
C0566736  Puls umb cord palp intac membr
C0566737  Puls umb cord inpalp int memb
C0566738  Obs pulsat prolapsed cord
C0566739  Puls present prolapsed cord
C0566740  Puls absent prolapsed cord
C0566741  Obs arrang umbilical cord
C0566742  Cord around neck with compression
C0566745  Umb cord not around babys neck
C0566746  Obs measure umbilic cord
C0566747  Umbilical cord normal
C0566749  Cord not healing
C0566750  Cord clean
C0566751  Cord almost off
C0566752  Cord adherent
C0566753  Cord not separated
C0566754  Cord oozing
C0566755  Obs color umbilical stump
C0566756  Cord red
C0566757  Cord pink
C0566758  Cord black
C0566759  Obs odor umbil cord stump
C0566760  Umbil cord stump smell offens
C0566761  Lesion of umbilical stump
C0566763  Cord base inflamed
C0566765  Obs umbilical cord clamp
C0566766  Cord clamp secure
C0566767  Cord clamp needs removing
C0566768  Cord clamp left on
C0566769  Cord clamp off
C0566896  Vulva present
C0566897  Vulva absent
C0566898  Vulva not seen
C0566899  Small labia majora
C0566900  Large labia majora
C0566901  Small labia minora
C0566902  Large labia minora
C0566903  Observation of form of vulva
C0566905  Swelling of vulva
C0566906  LABIAL SWELLING
C0566910  Deposition on vulva
C0566911  White deposit on vulva
C0566912  Eruption of vulva
C0566913  Scalling of vulva
C0566914  Lichenification of vulva
C0566916  Hyperkeratosis of vulva
C0566917  Purpura of vulva
C0566918  Lesion of labia
C0566919  Obs discharge of vulva
C0566921  Obs sensation of vulva
C0566924  Numbness of vulva
C0566926  Observation of color of vulva
C0566927  Hyperpigmentation of vulva
C0566928  Vulva normal
C0566929  Vulva problem
C0566930  Clitoris present
C0566931  Clitoris absent
C0566932  Obs size of clitoris
C0566933  Normal sized clitoris
C0566934  Lesion of clitoris
C0566935  Swelling of clitoris
C0566936  Edema of clitoris
C0566937  Inflammation of clitoris
C0566938  Vagina present
C0566939  Vagina not seen
C0566940  Observation of form of vagina
C0566941  Bulge of vagina
C0566942  Obs arrangement vagina
C0566944  Vaginal blister
C0566945  Vaginal granulation tissue
C0566946  Vaginal lump
C0566949  Swelling of vaginal introitus
C0566950  Swelling of vaginal wall
C0566952  Vaginal introitus inflammation
C0566953  Inflammation of vaginal wall
C0566957  Passing clots vaginally
C0566958  Passing small clots vaginally
C0566959  Passing large clots vaginally
C0566960  Passing no clots vaginally
C0566961  Fresh bleeding from vagina
C0566962  Pass altered blood from vagina
C0566963  Scanty vaginal bleeeding
C0566964  Moderate vaginal bleeding
C0566965  Profuse vaginal bleeding
C0566968  Vaginal bleeding problem
C0566970  Obs consist vaginal discharge
C0566971  Bloodstained vaginal discharge
C0566972  Obs color vagin discharge
C0566973  White vaginal discharge
C0566974  Creamy vaginal discharge
C0566975  Green vaginal discharge
C0566976  Obs quantity vaginal discharge
C0566977  Scanty vaginal discharge
C0566978  Moderate vaginal discharge
C0566979  Profuse vaginal discharge
C0566980  Odor of vaginal discharge
C0566981  Offensive vaginal discharge
C0566982  Urinous vaginal discharge
C0566983  Odorless vaginal discharge
C0566984  Fishy vaginal discharge
C0566985  Normal vaginal secretions
C0566986  Abnormal vaginal discharge
C0566987  Observation of vaginal liquor
C0566988  Continues to trickle liquor
C0566989  Scanty flow of amniotc liquor
C0566990  Profuse flow of amniotc liquor
C0566991  No flow of amniotc liquor
C0566992  Obs passing of operculum
C0566993  Cervical plug passed in labor
C0566994  Operculum not passed
C0566995  Lochia present
C0566996  Lochia diminishing
C0566997  Lochia absent
C0566998  Lochia ceased
C0566999  Lochia heavy
C0567000  Lochia scanty
C0567001  Lochia minimal
C0567002  Lochia watery
C0567003  Lochia thick
C0567004  Lochia normal
C0567005  Lochia abnormal
C0567007  Blood clots in vagina
C0567008  Altered blood in vagina
C0567009  Observation of tone of vagina
C0567010  Vagina lax
C0567011  Vaginal vault laxity
C0567012  Obs sensation of vagina
C0567013  Vaginal tenderness
C0567015  Feeling of pressure in vagina
C0567016  Obs moistness of vagina
C0567017  Vagina moist
C0567018  Obs pulsation of vagina
C0567019  Obs temperature of vagina
C0567020  Vagina warm
C0567021  Obs measure of vagina
C0567022  Vaginal pad observations
C0567023  Vaginal liquor pad obs
C0567024  Maternity pad damp with liquor
C0567025  Maternity pad wet with liquor
C0567026  Mat pad soaked with liquor
C0567027  Vagina normal
C0567028  Vaginal problem
C0567029  Hymen not seen
C0567030  Observation of size of hymen
C0567031  Observation of shape of hymen
C0567032  Obs arrangement of hymen
C0567033  Lesion of hymen
C0567034  Vaginal hymen normal
C0567035  Vaginal hymen problem
C0567036  Uterus observations
C0567037  Uterus present
C0567038  Uterus problem
C0567039  Body of uterus present
C0567040  Body of uterus absent
C0567041  Small uterus
C0567042  Obs fundal height of uterus
C0567043  Uterine fundus at symphysis pubis
C0567044  Uterine fundus at umbilicus
C0567045  Uterine fundus between symphysis pubis and umbilicus
C0567046  Uterine fundus above umbilicus
C0567047  Uterine fundus between umbilicus and xiphisternum
C0567048  Uterine fundus at xiphisternum
C0567049  Uterus normal size
C0567050  Observation of form of uterus
C0567051  Uterus irregular in shape
C0567052  Uterus ovoid in shape
C0567053  Uterus globular in shape
C0567054  Uterus heart shaped
C0567055  Uterus normal shape
C0567056  Obs consistency of uterus
C0567057  Uterus soft
C0567058  Uterus firm
C0567059  Uterus hard
C0567060  Flacid uterus
C0567061  Obs arrangement of uterus
C0567062  Uterus central
C0567063  Uterus deviated to right
C0567064  Uterus deviated to left
C0567065  Normal position of uterus
C0567066  Obs displacement of uterus
C0567067  Cervix prolapsed into vagina with traction
C0567068  Cervix prolapsed into vagina with straining
C0567069  Cervix visible at vaginal introitus
C0567070  Cervix visible at vaginal introitus with traction
C0567071  Cervix visible at vaginal introitus straining
C0567072  Uterine fundus displaced below introitus
C0567073  Uterine fundus displaced below introitus with traction
C0567074  Uterine fundus displaced below introitus straining
C0567076  Obs proportion of uterus
C0567077  Uterus symmetrical
C0567078  Uterus asymmetrical
C0567079  Lesion of uterus
C0567080  Obs contents of uterus
C0567082  Obs sensation of uterus
C0567086  Pain on movement of uterus
C0567089  Obs measures of uterus
C0567090  Body of uterus normal
C0567091  Observation of gravid uterus
C0567092  Gravid uterus present
C0567093  Gravid uterus absent
C0567094  Gravid uterus not observed
C0567095  Obs size of gravid uterus
C0567096  excessive uterine enlargement for dates of pregnancy
C0567097  insufficient uterine enlargement for dates of pregnancy
C0567098  Obs height gravid uterus
C0567099  Fundal height high for dates
C0567100  Fundal height equal to dates
C0567101  Fundal height low for dates
C0567102  Ovoid pregnant abdomen
C0567103  Globular pregnant abdomen
C0567104  Transvers enlarg pregn abdo
C0567106  Obs arrang gravid uterus
C0567107  Gravid uterus central
C0567108  Gravid uterus deviated to left
C0567109  Gravid uterus deviated right
C0567110  Normal position gravid uterus
C0567111  Obs sensation gravid uterus
C0567112  Tender scar of gravid uterus
C0567113  Tend scar upper uterin segment
C0567114  Tend scar lower uterin segment
C0567115  Non-tender scar gravid uterus
C0567116  Obs uterine contractions
C0567117  Uterine contractions present
C0567118  Uterine contractions absent
C0567119  Uterine contractions ceased
C0567120  Obs pattern uter contraction
C0567121  Obs frequen uter contraction
C0567122  Intermittent uterine contract
C0567123  Occasional uterine tightenings
C0567124  Obs reg uterine contraction
C0567125  Regular uterine contractions
C0567127  Obs quantity uterine contract
C0567128  Excessive uterine contraction
C0567129  Defic uterine contraction
C0567130  Niggling uterine contractions
C0567131  Obs strength uterine contract
C0567132  Mild uterine contractions
C0567133  Moderate uterine contractions
C0567134  Fair uterine contractions
C0567135  Good uterine contractions
C0567136  Strong uterine contractions
C0567137  Very strong uterin contraction
C0567138  Variab strength uterin contrac
C0567139  Norm strength uterine contract
C0567140  Obs duration uterine contract
C0567141  Continuous contractions
C0567142  Hypertonic contractions
C0567143  Obs effective uterine contract
C0567144  Effective uterine contractions
C0567145  Non-effective uterine contract
C0567146  Expulsive uterine contractions
C0567147  Obs pain uterine contraction
C0567148  Painless uterine contractions
C0567149  Painful uterine contractions
C0567150  Premature uterine contraction
C0567151  Delayed uterine contraction
C0567152  Persistent uterine contraction
C0567153  Inappropr uterine contraction
C0567154  Obs measur uter contraction
C0567155  Uterine contractions normal
C0567156  Uterine contractions problem
C0567157  Obs contract state uterus
C0567158  Uterus well contracted
C0567159  Obs upper segment retraction
C0567160  Poor retract upper segment
C0567161  Excessive retraction of upper segment
C0567162  Normal retract upper segment
C0567163  Obs measures gravid uterus
C0567164  Gravid uterus normal
C0567165  Gravid uterus problem
C0567166  Obs involution of uterus
C0567167  Uterus involuting
C0567168  Uterus involuted
C0567169  No further involution of the uterus
C0567171  Uterine cervix not seen
C0567172  Obs form uterine cervix
