C0000727  Abdomen, Acute
C2029950  heartburn related to certain foods tomatoes
C2029951  heartburn at night in bed (symptom)
C2029952  heartburn causing awakening
C2029953  infrequent heartburn (monthly)
C2029954  heartburn occurs during pregnancy (symptom)
C2029955  heartburn related to alcohol (symptom)
C2029956  heartburn related to anxiety
C2029957  heartburn related to beer (symptom)
C2029958  heartburn related to bending
C2029959  heartburn related to biphosphonates
C2029960  heartburn related to birth control pills
C2029961  heartburn related to body position (symptom)
C2029962  heartburn related to calcium channel blockers (symptom)
C2029963  heartburn related to chocolate (symptom)
C2029964  heartburn related to citrus (symptom)
C2029965  heartburn related to corticosteroids
C2029966  heartburn related to emotions (symptom)
C2029967  heartburn related to exercise (symptom)
C2029968  heartburn related to fear (symptom)
C2029969  heartburn related to iron (symptom)
C2029970  heartburn related to lifting (symptom)
C2029971  heartburn related to nitroglycerin (symptom)
C2029972  heartburn related to peppermint (symptom)
C2029973  heartburn related to red wine (symptom)
C2029974  heartburn related to squatting
C2029975  heartburn related to theophylline (symptom)
C2029976  heartburn related to tight clothing (symptom)
C2029977  heartburn related to vitamins
C2029978  heartburn relieved by antacids
C2029979  heartburn relieved by medication (symptom)
C2029980  heartburn seems related to certain medications
C2029981  heartburn starts with smoking (symptom)
C2029982  heartburn with regurgitation (symptom)
C2074633  chronic constipation with less than one stool a week
C2074634  chronic constipation with more than three hard stools a week (symptom)
C2074635  chronic constipation with one to three stools a week
C2107751  constipation accompanied by feeling of incomplete evacuation
C2107752  obstructed defecation
C2107753  constipation occurs when traveling
C2107754  constipation seems associated with medications
C2107755  constipation seems related to menstrual cycle (symptom)
C2107756  self-treatment for constipation
C2107757  constipation is self-treated with fiber supplements
C2107758  self-treatment for constipation with finger disimpaction
C2107759  self-treatment for constipation with laxatives
C2107760  self-treatment for constipation with suppositories (symptom)
C2107761  constipation with straining
C2107762  constipation within one month of abdominal surgery (symptom)
C2126009  location where food sticks associated with difficulty swallowing (symptom)
C2126010  difficulty swallowing with food sticking in throat (symptom)
C2126011  difficulty swallowing with food sticking in middle chest (symptom)
C2126018  nausea seems associated with medications (symptom)
C2126019  nausea occurs with body motion while traveling
C2126020  vomiting 8-12 hours after eating
C2126021  vomiting with remote abdominal surgery
C2126049  rectal pain accompanied by bleeding (symptom)
C2126050  rectal pain accompanied by discharge of pus (symptom)
C2126051  rectal pain worsens during bowel movements
C2126052  rectal pain worsens with acidic foods (symptom)
C2126053  rectal pain after anal sex
C2126054  rectal sore with bleeding (symptom)
C2126055  rectal sore after hard bowel movement (symptom)
C2126068  vomiting with prior abdominal surgery
C2126225  constant rectal pain (symptom)
C2126226  intermittent rectal pain (symptom)
C2127098  difficulty swallowing precipitates coughing
C2127123  vomiting blood (hematemesis) in large amounts
C2127299  difficulty swallowing thin liquids
C2127300  dysphagia with hard dry foods
C2127301  difficulty swallowing mixed texture foods (symptom)
C2127302  difficulty swallowing medium texture foods (symptom)
C2127303  dysphagia is worse with some types of foods
C2129047  wart on the scrotum
C2129178  difficulty swallowing with food sticking in lower chest (symptom)
C2129179  dysphagia with food passing through after ___ sec
C2129180  dysphagia with relief only after food regurgitated
C2129184  nausea during episodes of abdominal pain (symptom)
C2129185  vomiting food particles eaten many hours earlier (symptom)
C2129186  vomiting blood at beginning of vomiting
C2129187  vomiting blood after several episodes of vomiting (symptom)
C2129217  rectal pain worsens after prolonged sitting (symptom)
C2129318  vomiting in morning
C2130222  localized change in color of skin to red with irregular border (symptom)
C2143935  purulent discharge from both ears
C2143943  purulent discharge from left ear
C2143944  purulent discharge from right ear
C2183296  diarrhea within one month of abdominal surgery
C2183427  difficulty initiating swallow (symptom)
C2183443  difficulty swallowing accompanied by pain (symptom)
C2183444  difficulty swallowing followed by regurgitation
C2183445  difficulty swallowing getting worse (symptom)
C2183448  recent onset dysphagia
C2183449  difficulty swallowing very hot or cold foods (symptom)
C2183450  difficulty swallowing with nasal regurgitation (symptom)
C2189665  violent and prolonged vomiting (symptom)
C2198702  bloating after meals
C2198703  bloating after medications
C2198704  abdominal bloating after specific foods (symptom)
C2202704  coffee ground emesis in large amounts
C2202706  vomiting characteristics (symptom)
C2202707  vomiting clear (nonbilious)
C2202709  vomiting 'coffee grounds' material
C2202710  vomiting followed by vigorous coughing (symptom)
C2202711  vomiting food particles up to an hour after eating
C2202713  vomiting preceded by vigorous coughing
C2202714  vomiting stool (symptom)
C2202716  vomiting worms
C2203647  yellow skin or eyes during pregnancy, subsiding afterwards
C2203648  jaundice following a blood transfusion
C2203649  yellow skin or eyes occurs intermittently (symptom)
C2203650  yellow skin or eyes during first week after surgery (symptom)
C2219665  occurrence of nausea (symptom)
C2219666  nausea 15-30 minutes after eating (symptom)
C2219980  fever recurring daily (symptom)
C2219981  fever recurring every few days
C2219982  fever recurs every week or so
C2219990  nausea related to menstrual cycle
C2220015  excessive vomiting during early pregnancy
C2236754  abdominal pain of childhood (diagnosis)
C2367674  gagging initiated by liquids (symptom)
C2728517  neonatal bilious vomiting
C2919655  Acute exacerbation of chronic abdominal pain (finding)
C2921781  rectal pain accompanied by discharge of pus seems related to menstrual cycle
C2981133  Evening colic
C3468370  constipation self-treated with enema
C3506376  skin wound red
C3509788  neonatal jaundice due to excessive hemolysis (diagnosis)
