C0000727  Abdomen, Acute
C0234371  Continuous tremor
C0234372  Intermittent tremor
C0234373  Fine tremor
C0234374  Coarse tremor
C0234375  Massive tremor
C0234376  Action tremor
C0234377  Passive tremor
C0234378  Static tremor
C0234379  Rest tremor
C0234380  Post-hemiplegic tremor
C0234381  Darkness tremor
C0234382  Toxic tremor, NOS
C0234383  Tremor opiophagorum
C0234542  Aura, epileptic
C0234544  Paralysis, Todd's
C0234614  MISCELLANEOUS CNS SIGNS AND SYMPTOMS
C0234615  Cord sign
C0234616  Empty delta sign
C0234655  Burning sensation in eye
C0234656  PERIORBITAL PAIN
C0234660  Eyes tire easily
C0234666  Ocular crisis
C0234706  Chromatic aberration of vision
C0234750  Objective vertigo
C0234757  Brain stem vertigo
C0234853  Facial grimacing
C0234943  ANESTHESIA APPLICATION SITE
C0234944  ANESTHESIA INJECTION SITE
C0234979  DYSDIADOCHOKINESIS
C0235002  HEAD DISCOMFORT
C0235004  HEAD PRESSURE
C0235005  HEAD TIGHTNESS
C0235006  HYPERESTHESIA SKIN
C0235014  FONTANEL BULGING
C0235018  NUMBNESS LOCALIZED
C0235031  NEUROLOGIC SYMPTOMS
C0235044  PARESTHESIA DISTAL
C0235045  PARESTHESIA MUCOSAL
C0235046  PARESTHESIA SKIN
C0235049  TINGLING MUCOSAL
C0235050  TINGLING SKIN
C0235055  PARALYSIS SKELETAL MUSCLE
C0235056  PARALYSIS MUSCLE GENERAL SKELETAL
C0235057  PARALYSIS MUSCLE LOCAL SKELETAL
C0235060  PARALYSIS LOWER MOTOR NEURON TYPE
C0235068  Flittering scotoma
C0235076  TONGUE SLUGGISH
C0235078  TREMOR PERIORAL
C0235081  TREMOR LIMB
C0235082  TREMOR MUSCLE
C0235083  TREMOR NERVE
C0235108  FEELING TENSE
C0235160  SLEEP RESTLESS
C0235162  SLEEP DIFFICULT
C0235169  EXCITABILITY
C0235242  SYNCOPE EXERTIONAL
C0235282  EAR ROARING
C0235283  EAR BUZZING
C0235285  EAR HISSING
C0235290  TASTE BITTER
C0235293  TASTE PECULIAR
C0235296  EPIGASTRIC PAIN NOT FOOD-RELATED
C0235299  RUQ ABDOMINAL PAIN
C0235307  EPIGASTRIC FOOD-RELATED PAIN
C0235318  FULLNESS ABDOMINAL
C0235612  URETHRAL BURNING ON MICTURITION
C0235632  LOIN PAIN
C0235633  URETERAL PAIN
C0235634  COSTOVERTEBRAL ANGLE TENDERNESS
C0235698  Abdom.distension, gaseous
C0235710  CHEST DISCOMFORT
C0235721  HEAVINESS IN LIMBS
C0235777  CYANOSIS NEONATAL
C0235778  DYSKINESIA NEONATAL
C0235808  PERINEAL PAIN MALE
C0235843  TREMOR NEONATAL
C0235956  ABSCENCES
C0236000  JAW BONE PAIN
C0236078  SCROTAL PAIN
C0236080  Discomfort of vagina
C0236082  Vaginal pain
C0238551  LLQ ABDOMINAL PAIN
C0238552  LUQ ABDOMINAL PAIN
C0238637  Anal pain
C0238973  cheek pain (symptom)
C0239206  EAR CRACKLING
C0239278  Epididymal pain
C0239375  EXTREMITY NUMBNESS
C0239430  pain with eye movement
C0239435  TENDERNESS EYE
C0239511  Numbness of face
C0239512  one-sided facial pain
C0239517  FACIAL PARESTHESIA
C0239532  Facial tenderness
C0239548  Fasciculation of tongue
C0239575  Remittent fever
C0239649  Numbness of foot
C0239739  GINGIVAL PAIN
C0239779  Grimace
C0239783  PAIN GROIN
C0239832  Numbness of hand
C0239836  HAND PARESTHESIA
C0239886  Frontal headache
C0239889  excruciating headache
C0240194  Blue lips
C0240311  maxillary pain (symptom)
C0240327  TASTE METALLIC
C0240564  Pain of nose
C0240717  [D] Perineal pain
C0240735  Personality change, NOS
C0240812  PAIN PROSTATIC
C0240940  Scalp pain
C0240941  Scalp pruritus
C0240958  nerve pain sciatic
C0240991  Sensory ataxia
C0241057  BURNING SKIN
C0241136  Pain of skin
C0241164  Skin tenderness
C0241165  Thickening of skin
C0241310  Suprapubic pain
C0241413  burning sensation in toes
C0241439  Paraesthesia of tongue
C0241538  UPPER EXTREMITY NUMBNESS
C0241562  Urethral meatal pain
C0241705  URINATION DIFFICULTY
C0241709  Burning sensation of vulva
C0241718  Pain of vulva
C0241981  Loss of balance
C0242429  Sore Throat
C0262527  INTERMITTENT ABDOMINAL PAIN
C0262578  NIGHT CRAMPS
C0263355  RASH SCARLATINIFORM
C0264588  SPASTIC DYSPHONIAS
C0264598  Spastic aphonia
C0264599  Aphonia paralytica
C0264601  Flaccid dysphonia
C0264602  Spastic pseudobulbar dysphonia
C0264609  Dysphonia of essential tremor
C0266836  Colic infantile
C0267169  Gastric tympany
C0267633  Appendiceal colic
C0268988  Itching of penis
C0270327  Enuresis, nocturnal
C0270541  Rebound insomnia
C0270697  Headache following lumbar puncture
C0270777  Edema of spinal cord
C0270795  Monoparesis
C0270844  Tonic seizures
C0271185  Metamorphopsia
C0271188  Visual Halos
C0277794  Prostration
C0277799  Intermittent fever
C0277820  Clasp-knife effect
C0277821  Extrapyramidal rigidity
C0277845  Retropulsion
C0277852  Stocking anesthesia
C0277969  Abdominal pain through to back
C0277970  Abdominal pain worse on motion
C0277972  Abdominal voluntary guarding
C0277998  Absent palatal reflex
C0278107  Painful ejaculation
C0278114  Cerebral paraplegia
C0278115  Paraplegia, spinal
C0278118  Cerebral paraparesis
C0278126  Loss of equilibrium
C0278134  Anesthesia
C0278147  NERVE ROOT PAIN
C0278155  Taste-blindness
C0278161  Kinetic ataxia
C0278184  Scanning speech
C0278248  Barany's sign
C0282005  Swelling of Scrotum
C0302540  Generalized abdominal tenderness (finding)
C0302807  AGITATION MENTAL
C0311212  Migrating cheilosis
C0312422  BLACK-OUT (NOT AMNESIA)
C0332579  Black and blue
C0338642  Toxic confusional state
C0339667  Voluntary nystagmus
C0339693  Internal ophthalmoplegia
C0339780  Syncopal vertigo
C0341865  Menopausal headache
C0343494  RISUS SARDONICUS
C0344232  Blurred vision
C0344239  Mixed nystagmus
C0344240  Irregular nystagmus
C0344246  Postural nystagmus
C0344304  General abdominal pain-symptom
C0344306  Intercostal neuralgia
C0344307  Analgesia
C0344375  Stomach cramps
C0347826  C/O nightmares
C0349681  Spontaneous nystagmus
C0349683  Body positional nystagmus
C0349684  Neck positional nystagmus
C0375209  Flaccid hemiplegia of nondominant side
C0375212  Spastic hemiplegia of nondominant side
C0392156  Akathisia
C0392162  CLAMMINESS
C0392184  PILL HANGOVER
C0392674  EXHAUSTION
C0392699  DYSESTHESIA
C0392700  Color taste
C0392701  Giddiness
C0393588  Paroxysmal dystonia
C0393610  Diurnal dystonia
C0393750  External compression headache
C0393754  Headache ass with sex activity
C0393759  Transient insomnia
C0393764  Exc dytme slpnss norm night sl
C0393765  24 hour hypersomnolence
C0393766  Postviral excessive daytime sleepiness
C0393767  Exc dytm sleep & par not catap
C0393775  Sleep-related head banging
C0393903  Painful legs and moving toes
C0395923  Multisensory dizziness
C0395959  Tinnitus of vascular origin
C0399410  Teeth staining due to metals
C0399411  Teeth staining due to drugs
C0399459  Discomfort in mouth
C0399590  Drug-induced xerostomia
C0400882  Chr nonspecific abdom pain
C0404484  Chronic pelvic pain
C0406399  Urticaria geographica
C0406400  Menstrual urticaria
C0406402  Erythema fugax
C0406403  Delayed dermographism
C0406404  Cold reflex urticaria
C0406405  Delayed cold sensitivity
C0406406  Persist cholinergic urticaria
C0406407  Cholinergic pruritus
C0406408  Reflex urticaria
C0406411  Immune complex urticaria
C0406672  Proctodynia
C0406833  Wound erythema
C0406846  Post-episiotomy pain
C0420855  Headache caused by o.c. pill
C0422879  CNS symptom
C0422885  Allochiria
C0423042  Divergence paralysis
C0423386  Silver wire retinal artery
C0423571  Abnormal sensation
C0423572  Pins and needles
C0423599  Sensation as if rectum still full
C0423610  Female genital pain
C0423617  Shooting headache
C0423618  Headache Throbbing
C0423619  Aching headache
C0423621  TEMPORAL HEADACHE
C0423622  Parietal headache
C0423623  Bilateral headache
C0423628  Painful teething
C0423640  Right flank pain
C0423641  Left flank pain
C0423642  Right subcostal pain
C0423643  Left subcostal pain
C0423644  Central abdominal pain
C0423645  Subcostal pain
C0423646  Site of abdominal pain
C0423647  Iliac fossa pain
C0423649  Abdominal migraine - symptom
C0423650  Non-colicky abdominal pain
C0423655  Pain on abdom wall movement
C0423674  Pain in cervical spine
C0423681  Pain in lumbar spine
C0423683  Lumbar ache - renal
C0423685  Acute thoracic back pain
C0423689  Post compartment low back pain
C0423701  Urinary tract pain
C0423703  Genitourinary pain
C0423707  Lateral femor cutaneous neur
C0423708  Obturator neuralgia
C0423709  Cruralgia
C0423710  Segmental peripheral neuralgia
C0423713  Ilioinguinal nerve neuralgia
C0423714  Genitofemoral nerve neuralgia
C0423715  Testicular neuralgia
C0423718  Thalamic pain
C0423721  Painful arms and moving fing
C0423735  Tenesmus, urinary
C0423736  Burning on urination
C0423739  Tenesmus - anal
C0423746  Pain on penetration
C0423773  SKIN SCALY
C0424068  Hearing voices
C0424071  Unformed visual hallucinations
C0424072  Formed visual hallucinations
C0424083  Dissociative hallucinations
C0424275  Reaction to sudden wakening
C0424276  Repetitive dreams
C0424284  Sleep automatism
C0424359  [D]Self-neglect (context-dependent category)
C0424518  Flushes/goes red
C0424520  Gets drowsiness
C0424535  Vasovagal symptom
C0424569  Circumstances interfere sleep
C0424570  Symptoms interfere with sleep
C0424572  Can't wake up
C0426390  Spasm of bladder
C0426623  Excessive flatulence
C0426631  Unable to break wind
C0426649  Bowel spasm
C0426785  Intermittent torticollis
C0427042  Stiff neck symptom
C0427086  INVOLUNTARY MOVEMENT (NOS)
C0427092  Has a tic
C0427149  Dropfoot gait
C0427190  Truncal ataxia
C0438432  Angioscotoma
C0438434  Ring scotoma
C0439019  C/O - ureteric colic
C0439040  C/O - loin pain
C0439042  C/O - renal pain
C0439052  Polyphagia symptom
C0439053  Fatigue - symptom
C0439814  Prickling sensation
C0451632  Sore nostril
C0451633  Sore lip
C0451941  Itching of scrotum
C0452143  Flaccid paraplegia
C0454539  Covert stammering
C0454542  Acquired stammering
C0454545  Hyperkinetic dysphonia
C0454596  Pseudobulbar palsy dysarthria
C0454597  Bulbar palsy dysarthria
C0454598  Comb flaccd/spastic dysarthria
C0454605  Oral choreiform movement
C0455981  C/O - ureteric pain
C0456073  Neonatal facial petechiae
C0456074  Traumat neonat facial cyanosis
C0457950  Acute back pain - lumbar
C0458002  Acquired dysphasias
C0458104  Pain in male genitalia
C0458109  Ovarian pain
C0458110  Cervical trigger point syndrom
C0458112  Chr pelv pain w/out obv pathol
C0458116  Lumbar trigger point syndrome
C0458232  Arthralgia of sacroiliac joint
C0458960  Peripheral neuropathic pain
C0474366  Generalised headache
C0474520  Generalised myokymia
C0475858  Generalised itching
C0476206  Dizziness and giddiness
C0476207  Giddiness
C0476211  Sleep dysfunct./sleep stage
C0476212  Sleep dysfunction with arousal disturbance
C0476217  Abnormal head movements
C0476223  Crossed laterality
C0476226  Anaesthesia of skin
C0476289  GAS PAIN
C0476305  Hypochondrial pain
C0476306  Pain in right iliac fossa
C0476307  Left iliac fossa pain
C0476311  [D]Umbilical swelling (context-dependent category)
C0476457  Senile debility
C0476481  Chronic intractable pain
C0476543  [D]Symptoms and signs involving appearance and behavior (context-dependent category)
C0478659  Pelvic and perineal pain
C0478662  Slowness & poor responsiven
C0494475  SEIZURE GRAND MAL
C0495671  Flatulence and related conditions
C0495696  Hypernasality and hyponasality
C0497134  Excessive crying infant
C0497293  Vertigo/dizziness
C0497364  Local redness/erythema/rash
C0497366  Other changes in skin color
C0497481  PENILE PAIN
C0520559  Numbness of tongue
C0520587  Vulvovaginal discomfort
C0520588  Vulvovaginal pain
C0520821  Pleurothotonos
C0520822  Wrist clonus
C0520901  Increased skin sensitivity
C0520902  Decreased skin sensitivity
C0521005  Apoplectic vertigo
C0521485  Mucosal numbness
C0521486  BURNING MUCOSAL
C0521503  Injection site burning
C0521506  Injection site paraesthesia
C0521591  MOUTH PARESTHESIA
C0521592  Oral hypoaesthesia
C0521628  Itching of male genital organs
C0521634  Female genital pruritus
C0521651  Excessive crying in the newborn
C0521662  Transient hemiplegia
C0521663  Chronic progressive paraparesis
C0521668  Thunderclap headache
C0521765  Nystagmus unchanged when fixation removed
C0521766  Nystagmus inhibited when fixation removed
C0521787  Clicking sound in ear
C0521788  Crackling sound in ear
C0521789  Nervous tinnitus
C0521790  Non-vibratory tinnitus
C0521791  Vibratory tinnitus
C0521800  Central cyanosis
C0521815  Vertigo preceded by head injury
C0521991  Symptoms of stress
C0522030  Recumbency cramps
C0522031  Cervical spinous process tenderness
C0522032  Neck pain aggravated by recumbency
C0522037  Dyspraxia of arm
C0522042  Loss of control of legs
C0522047  Photoptarmosis
C0522057  Numbness of skin
C0522061  Localized abdominal pain
C0522062  Ulcer-type pain
C0522067  Liver pain
C0522071  Pancreatalgia
C0522123  Renal angle pain
C0522245  Feeling hot and cold
C0522250  Postpartum headache
C0522256  Thoracic nerve root pain
C0522257  Lumbosacral nerve root pain
C0522331  Abnormal lateral conjugate gaze
C0522349  Essential vertigo
C0522353  Horizontal vertigo
C0522354  Matutinal vertigo
C0522355  Height vertigo
C0522358  Intermittent vertigo
C0522359  Constant vertigo
C0522360  Visually-induced vertigo
C0522361  Vertigo produced by neck pressure
C0522362  Vertigo preceded by prolonged dental work or oral surgery
C0522363  Vertigo preceded by chewing
C0522364  Drug-induced vertigo, NOS
C0522365  Severe vertigo
C0522366  Severe vertigo, acute onset
C0522367  Vertigo preceded by unsteady feeling
C0522368  Vertigo, acute onset with vomiting and inability to stand
C0522369  Vertigo when trying to urinate
C0522370  Hearing loss remits during vertigo attacks
C0522371  Vertigo associated with recent change in eyeglasses
C0541798  Insomnia, matutinal
C0541976  GAS IN STOMACH
C0542239  TIRED AND HEAVY
C0542267  WEAKNESS POSTURAL
C0542476  FORGETFULNESS
C0544668  Hallucination, kinesthetic
C0546947  Sense of suffocation
C0547001  Myopathic gait
C0547030  Visual disturbances
C0549209  JITTERINESS
C0554107  Appendicular pain
C0554990  Pale - symptom
C0555957  Scaly scalp
C0555976  Vulva sore
C0557875  Tired
C0558486  Tiredness symptom NOS
C0558489  KIDNEY PAIN
C0558855  Meningism present
C0559208  Anal stump pain
C0559537  Perineal irritation
C0560252  Post-vasectomy epididymal pain
C0560253  Persistent testicular pain
C0562456  Hypomanic behavior
C0562459  Continuously shifting in seat
C0563234  Painful tooth socket
C0563276  Left sided abdominal pain
C0563277  Right sided abdominal pain
C0563287  Tightness in arm
C0563608  Formed hallucination of people
C0563661  Reflex hallucinations
C0564773  Dyspareunia - non-psychogenic (finding)
C0566948  Swelling of vagina
C0573983  Nuchal pain
C0574747  Pain on movement of skin
C0575012  Cervical spine stiff
C0575014  Lumbar spine stiff
C0575081  Gait abnormality
C0575090  Disorder of balance
C0575465  Lasegue test positive (finding)
C0576657  Cryanaesthesia
C0576690  Decrease of position sense
C0576700  Sensation of a lesion
C0576701  Named sensory signs
C0576705  Piano playing sign
C0576707  Tightness sensation
C0576710  Observation relating to fit
C0576711  Observation of measures of fit
C0576836  Pinna tender
C0576837  General tenderness in pinna
C0576838  Focal tenderness in pinna
C0576841  Numbness of pinna
C0577256  Prostate swelling
C0577590  Swelling urogenital struct
C0577591  Swelling urological struct
C0577592  Swelling male genital struct
C0577593  Epididymal swelling
C0577594  Swelling female genital struct
C0577655  Quadriceps weakness
C0577660  Postural low back pain
C0578043  Pain of eye structure
C0578046  Maxillary sinus pain
C0578047  Frontal sinus pain
C0578051  Pain of oral cavity structure
C0578052  Pain of digestive structure
C0578057  Right hypochondrial pain
C0578058  Left hypochondrial pain
C0578077  Tenderness of eye structure
C0578082  Tenderness of oral cav struct
C0578083  Tenderness of digestive struct
C0578084  Genitourinary tenderness
C0578085  Urinary tract tenderness
C0578086  Tenderness of male genitalia
C0578087  Tenderness of female genitalia
C0578093  Tenderness of epigastrium
C0578094  Tenderness R hypochondrium
C0578095  Tenderness L hypochondrium
C0578096  Tenderness of central region
C0578097  Tenderness of right lumbar
C0578098  Tenderness of left lumbar
C0578099  Tenderness of hypogastrium
C0578100  RIF - Tenderness R iliac fossa
C0578101  LIF - Tenderness L iliac fossa
C0578102  Rebound tenderness epigastrium
C0578105  Rebound tendern centr region
C0578106  Rebound tendern R lumbar
C0578107  Rebound tenderness L lumbar
C0578108  Rebound tendern hypogastrium
C0578109  RIF-Rebnd tendern R iliac foss
C0578110  LIF-Rebnd tendern L iliac foss
C0578475  Cyanotic attack
C0578675  Thyrotoxic tremor
C0578687  Sore eye
C0578994  Bad taste in mouth
C0581322  Bony pelvic pain
C0581358  Gastric spasm (disorder)
C0581362  Anorectal pain
C0581519  Sensation of heaviness in limbs
C0581869  Abdominal wall pain
C0581870  Hunger pangs
C0581875  Viral headache
C0581879  Feeling faint
C0581880  Morning headache
C0581881  Heavy head
C0581882  Trans neuro symptom
C0585134  Perianal pain
C0585540  Oculopalatal myoclonus
C0585566  Nystagmus signs
C0586392  Parkinsonian tremor
C0586407  Skin symptoms NOS
C0586738  Calf muscle weakness
C0587054  Numbness of finger
C0587055  Numbness of lower limb
C0587056  Numbness of toe
C0587058  Paraesthesia of upper extremity
C0587223  Abdominal pain in pregnancy
C0587246  Limb weakness
C0589386  [D]Nonspecific abdominal pain (context-dependent category)
C0595963  Muzziness
C0596601  Gas
C0600142  Hot flash
C0677500  STINGING
C0684219  Myokymia
C0686729  Generalized chronic body aches
C0686769  Hutchinson's mask
C0687681  Feels feverish
C0687713  GI PAIN
C0694551  RLQ ABDOMINAL PAIN
C0700078  Decreased deep tendon reflexes
C0700153  Myotonus
C0700200  NEAR SYNCOPE
C0701795  Reaction to spinal or lumbar puncture
C0701824  Gait, staggering
C0740577  Acute abdominal pain
C0740584  diffuse abdominal pain
C0740880  Alcoholic withdrawal symptoms
C0742514  COCAINE CRACK INDUCED CHEST PAIN
C0742520  COCAINE INDUCED ANGINA
C0742523  COCAINE INDUCED CHEST PAIN
C0743670  numbness of hands and feet
C0743724  retro-orbital pain
C0744034  weakness in fingers (symptom)
C0744636  bilateral frontal headache
C0744646  new-onset headache
C0744649  bilateral temporal headache (symptom)
C0749134  SUICIDAL IDEATION DENIED
C0750957  Blindness, total
C0751186  Headache, Orthostatic
C0751188  PDPH - Post dural puncture headache
C0751192  Vertex Headache
C0751251  secondary insomnia
C0751372  NERVE PAIN
C0751409  Monoparesis - arm
C0751410  Muscle weakness of lower extremity
C0751460  Flaccid tetraplegia
C0751466  Phonophobia
C0751495  partial seizure
C0751535  SYNCOPE CARDIAC
C0751536  Convulsive syncope (disorder)
C0751564  Pill rolling
C0751837  Ataxic gait
C0752255  Impaired light touch sensation
C0848211  skin papules generalized [as symptom]
C0848213  skin papule localized to [as symptom]
C0848332  Spots
C0849907  itching of ears (symptom)
C0849913  Localized erythema
C0849916  generalized change in color of skin to red (erythema)
C0849963  Feeling jittery
C0849970  feeling tired (symptom)
C0849993  fussy infant (diagnosis)
C0850060  pruritus of nose
C0850800  excessive crying of adult
C0850809  total loss of vision in one eye (symptom)
C0850814  muscle cramps in thigh (symptom)
C0856054  Change in mental status
C0856864  FULLNESS HEAD
C0857160  numbness of legs (symptom)
C0857217  TREMBLING INSIDE
C0857278  vise-like headache
C0857361  headache occurring
C0858722  facial muscle twitching (symptom)
C0860515  Frozen gait
C0860635  fugue states (symptom)
C0860645  Bizarre dreams
C0863108  Numbness in shoulder
C0866957  visuospatial neglect
C0877040  fear of falling
C0877197  Numbness of lip
C0877487  tingling of lip (symptom)
C0877495  tingling of tongue (symptom)
C0877639  blister of gum (diagnosis)
C0877717  burning sensation in mouth (symptom)
C0877781  Hemicrania
C0878578  Shaky leg syndrome
C0917799  Hypersomnia disorder
C0917801  Sleeplessness
C0919793  breast pruritus
C0920171  feels like something is in eye
C0920289  SLUGGISHNESS
C0948992  Paresthesia lower limb
C1168149  circumoral tingling
C1168188  headache comes and goes (recurrent)
C1268585  Headache due to intracranial disease (finding)
C1268587  Tympanic plexus neuralgia syndrome
C1268591  Quadrantic scotoma (finding)
C1274923  Cutaneous hyperalgesia (finding)
C1274924  Cutaneous allodynia (finding)
C1274925  painful skin
C1274926  skin stinging
C1274927  Formication of skin (finding)
C1277287  Transient paraesthesia (finding)
C1277295  Cough with fever (finding)
C1277598  Intermittent drowsiness (finding)
C1277673  Splitting toenail (finding)
