C0003107  Anogenital pruritus
C0241413  burning sensation in toes
C0241439  Paraesthesia of tongue
C0241538  UPPER EXTREMITY NUMBNESS
C0241709  Burning sensation of vulva
C0262977  DECOLORATION SKIN
C0263355  RASH SCARLATINIFORM
C0263531  Horizontal splitting of nail plate
C0263534  Beau's lines
C0263538  CLUBBING OF NAILS
C0263540  Complete loss of nails
C0263571  Chloasma gravidarum
C0263634  Abnormal granulation tissue
C0268988  Itching of penis
C0277852  Stocking anesthesia
C0277938  Circumoral rhytides
C0277941  Blanching of skin
C0277943  Puffiness of skin
C0277952  Change in nail appearance
C0277953  Change in nail texture
C0277956  Usure des ongles
C0277959  Coarse hair
C0277961  Greasy hair
C0277962  Auspitz's sign
C0277986  Gingival edema
C0278134  Anesthesia
C0282005  Swelling of Scrotum
C0302310  Familial annular erythema
C0311212  Migrating cheilosis
C0332566  Maculopapule
C0332573  Macula
C0332579  Black and blue
C0340979  Cryoglobulinaemic purpura
C0343731  Penile warts
C0344307  Analgesia
C0392162  CLAMMINESS
C0392699  DYSESTHESIA
C0406146  Meningococcal rash
C0406216  Juvenile spring eruption
C0406218  Persistent light reaction
C0406219  Actinic reaction
C0406399  Urticaria geographica
C0406400  Menstrual urticaria
C0406402  Erythema fugax
C0406403  Delayed dermographism
C0406404  Cold reflex urticaria
C0406405  Delayed cold sensitivity
C0406406  Persist cholinergic urticaria
C0406407  Cholinergic pruritus
C0406408  Reflex urticaria
C0406411  Immune complex urticaria
C0406547  Pathological striae
C0406548  Stellate pseudoscar
C0406569  Congen eros+vesicl+retic scars
C0406671  Burning scrotum
C0406833  Wound erythema
C0406881  Pain from tissue expander
C0423571  Abnormal sensation
C0423572  Pins and needles
C0423575  Altered sensation
C0423773  SKIN SCALY
C0423797  Bruising symptom
C0423812  Nail shedding
C0423813  Nail splitting
C0423818  Grooving of nail
C0423823  Decreased thickness of nail
C0423869  Exclamation mark hair
C0423875  Kinked hairs
C0424512  Yellow - symptom
C0424513  Blue - symptom
C0424518  Flushes/goes red
C0424849  Breast lump symptom
C0425791  Peau d'orange over breast
C0426498  Dry tongue
C0439814  Prickling sensation
C0451941  Itching of scrotum
C0456073  Neonatal facial petechiae
C0456074  Traumat neonat facial cyanosis
C0456122  Harlequin change
C0457004  Adolescent striae
C0458085  Tender scar
C0473249  Idiopathic scrotal edema
C0473563  Achenbach's syndrome
C0475858  Generalised itching
C0476226  Anaesthesia of skin
C0476311  [D]Umbilical swelling (context-dependent category)
C0497364  Local redness/erythema/rash
C0497366  Other changes in skin color
C0520559  Numbness of tongue
C0520895  Normal hair texture
C0520897  Bleached hair
C0520899  Normal skin sensitivity
C0520901  Increased skin sensitivity
C0520902  Decreased skin sensitivity
C0520903  Radiosensitivity of skin
C0521485  Mucosal numbness
C0521486  BURNING MUCOSAL
C0521503  Injection site burning
C0521506  Injection site paraesthesia
C0521591  MOUTH PARESTHESIA
C0521592  Oral hypoaesthesia
C0521628  Itching of male genital organs
C0521629  Leukoplakia of male genital organs
C0521634  Female genital pruritus
C0521635  Female genital leukoplakia
C0521800  Central cyanosis
C0522057  Numbness of skin
C0522245  Feeling hot and cold
C0554990  Pale - symptom
C0555957  Scaly scalp
C0558143  Maceration of epidermis
C0559537  Perineal irritation
C0560174  Temporal hair recession
C0563287  Tightness in arm
C0574747  Pain on movement of skin
C0574769  Balding
C0574921  Micropapular weal
C0574922  Bullous weal
C0574925  Transverse split nail
C0576430  Excessive growth facial hair
C0576431  Excessive growth of body hair
C0576433  Excessive growth of leg hair
C0576657  Cryanaesthesia
C0576700  Sensation of a lesion
C0576836  Pinna tender
C0576837  General tenderness in pinna
C0576838  Focal tenderness in pinna
C0576841  Numbness of pinna
C0578475  Cyanotic attack
C0586407  Skin symptoms NOS
C0587054  Numbness of finger
C0587055  Numbness of lower limb
C0587056  Numbness of toe
C0587058  Paraesthesia of upper extremity
C0600142  Hot flash
C0677500  STINGING
C0686768  Poor complexion
C0686769  Hutchinson's mask
C0686770  Leser-Trelat sign
C0700590  DIAPHORESIS
C0702164  Trichorrhexis invaginata
C0743670  numbness of hands and feet
C0747243  PAPULE NON TENDER
C0750016  Generalized urticarial
C0752255  Impaired light touch sensation
C0848211  skin papules generalized [as symptom]
C0848213  skin papule localized to [as symptom]
C0848332  Spots
C0848360  scrotal tenderness
C0849907  itching of ears (symptom)
C0849913  Localized erythema
C0849916  generalized change in color of skin to red (erythema)
C0850060  pruritus of nose
C0857160  numbness of legs (symptom)
C0863108  Numbness in shoulder
C0877113  Scar: [NOS] or [painful] (disorder)
C0877197  Numbness of lip
C0877487  tingling of lip (symptom)
C0877495  tingling of tongue (symptom)
C0877639  blister of gum (diagnosis)
C0877717  burning sensation in mouth (symptom)
C0878658  Darier's sign
C0919793  breast pruritus
C0920171  feels like something is in eye
C0948992  Paresthesia lower limb
C1168149  circumoral tingling
C1274923  Cutaneous hyperalgesia (finding)
C1274924  Cutaneous allodynia (finding)
C1274925  painful skin
C1274926  skin stinging
C1274927  Formication of skin (finding)
C1277287  Transient paraesthesia (finding)
C1277673  Splitting toenail (finding)
C1279511  Malarial pigment deposition
C1301340  Problem;umbilicus
C1304408  Urticarial vasculitis
C1328466  Laryngopharyngeal Dysesthesia
C1334192  Integumentary System Signs and Symptoms
C1387638  local skin lesion; anesthesia
C1396873  eruption; ringed
C1398289  furrowed; nail
C1399357  hemiparesthesia
C1442877  Sore
C1446312  Erythematous mucosa (disorder)
C1504494  tingling of limbs (symptom)
C1517205  Flare
C1536047  desquamation of lip
C1536053  TONGUE DESQUAMATION
C1562577  C/O: dry skin
C1658104  arm numbness
C1706846  Arm Or Hand Hypoesthesia
C1708090  Foot Or Leg Hypoesthesia
C1768507  Yellow nails
C2004820  burning sensation in middle finger of right hand (symptom)
C2004821  burning sensation in perianal area (symptom)
C2004822  burning sensation in perineum
C2004823  burning sensation in right ankle (symptom)
C2004824  burning sensation in right arm or hand
C2004825  burning sensation in right groin (symptom)
C2004826  burning sensation in right inner thigh (symptom)
C2004827  burning sensation in right leg or foot
C2004828  burning sensation in right outer thigh
C2004829  burning sensation in right thigh
C2004830  burning sensation in ring finger of right hand (symptom)
C2004831  burning sensation in thumb of left hand (symptom)
C2004832  burning sensation in thumb of right hand
C2004833  burning sensation in toes of left foot (symptom)
C2004834  burning sensation in toes of right foot
C2004835  burning sensation localized to area of exposure (symptom)
C2004836  burning sensation on one entire side (symptom)
C2004837  burning superficial skin pain (symptom)
C2010778  generalized dry skin (symptom)
C2010790  generalized sandpaper-like skin crusts excluding palms and soles (symptom)
C2010791  generalized sandpaper-like skin lesions excluding palms and soles
C2010797  generalized scrotal swelling (symptom)
C2010801  generalized skin lesions excluding palms (symptom)
C2010802  generalized skin lesions excluding palms and soles (symptom)
C2010803  generalized skin lesions excluding soles of feet (symptom)
C2010804  generalized lesions including the eyelid(s)
C2010805  generalized skin lesions including interior of genitalia (symptom)
C2010806  generalized skin lesions including interior of mouth (symptom)
C2010807  generalized skin lesions including interior of nose
C2010808  generalized skin lesions including interior of rectum (symptom)
C2010809  generalized skin lesions including interior surfaces
C2010810  generalized skin lesions including palms (symptom)
C2010811  generalized skin lesions including palms and soles
C2010812  generalized skin lesions including soles of feet (symptom)
C2010971  genital lesion began as small inflamed pimple
C2010972  genital lesion began as sore (symptom)
C2010973  genital lesion first looked like small blister (symptom)
C2012497  gradual onset of foot pain
C2012694  spots on gums
C2012695  black spots on the gums
C2012696  blue spots on the gums
C2012697  gray spots on gums
C2012698  multiple spots on gums
C2012699  single spot on gums (symptom)
C2012700  white spots on gums
C2016836  soft tissue pain in finger only when cold (symptom)
C2016837  finger tissue pain with black discoloration
C2016838  finger tissue pain with blue discoloration
C2016839  soft tissue pain in finger with discoloration (symptom)
C2016840  finger tissue pain with white discoloration
C2016948  soft tissue pain in foot (symptom)
C2016950  soft tissue pain in lateral aspect of left great toe
C2016951  soft tissue pain in lateral aspect of right great toe (symptom)
C2016952  soft tissue pain in left fifth toe
C2016953  soft tissue pain at base of left fifth toe (symptom)
C2016954  soft tissue pain in the lateral left fifth toe
C2016955  soft tissue pain in the medial left fifth toe
C2016956  soft tissue pain in left fourth toe (symptom)
C2016957  soft tissue pain at base of left fourth toe (symptom)
C2016958  soft tissue pain in the lateral left fourth toe
C2016959  soft tissue pain in the medial left fourth toe
C2016960  soft tissue pain in left great toe (symptom)
C2016961  soft tissue pain in left second toe
C2016962  soft tissue pain at base of left second toe (symptom)
C2016963  soft tissue pain in the lateral left second toe
C2016964  soft tissue pain in the medial left second toe
C2016965  soft tissue pain in left third toe (symptom)
C2016966  soft tissue pain at base of left third toe
C2016967  soft tissue pain in the lateral left third toe
C2016968  soft tissue pain in the medial left third toe
C2016970  soft tissue pain in medial aspect of left great toe (symptom)
C2016971  soft tissue pain in medial aspect of right great toe (symptom)
C2016972  soft tissue pain in one foot (symptom)
C2016973  soft tissue pain in right fifth toe (symptom)
C2016974  soft tissue pain at base of right fifth toe
C2016975  soft tissue pain in the lateral right fifth toe
C2016976  soft tissue pain in the medial right fifth toe
C2016977  pain in the right foot
C2016978  soft tissue pain in right fourth toe
C2016979  soft tissue pain at base of right fourth toe (symptom)
C2016980  soft tissue pain in the lateral right fourth toe
C2016981  soft tissue pain in the medial right fourth toe
C2016982  soft tissue pain in right great toe (symptom)
C2016983  soft tissue pain in right second toe (symptom)
C2016984  soft tissue pain at base of right second toe (symptom)
C2016985  soft tissue pain in the lateral right second toe
C2016986  soft tissue pain in the medial right second toe
C2016987  soft tissue pain in right third toe (symptom)
C2016988  soft tissue pain at base of right third toe
C2016989  soft tissue pain in the lateral right third toe
C2016990  soft tissue pain in the medial right third toe
C2016992  soft tissue pain of finger
C2016993  soft tissue pain of fingers of left hand (symptom)
C2016994  soft tissue pain of finger of right hand
C2016995  soft tissue pain of index finger of left hand (symptom)
C2016996  soft tissue pain of distal phalanx of index finger of left hand
C2016997  soft tissue pain of middle phalanx of index finger of left hand (symptom)
C2016998  soft tissue pain of proximal phalanx of index finger of left hand
C2016999  soft tissue pain of little finger of left hand
C2017000  soft tissue pain of distal phalanx of little finger of left hand
C2017001  soft tissue pain of middle phalanx of little finger of left hand (symptom)
C2017002  soft tissue pain of proximal phalanx of little finger of left hand (symptom)
C2017003  soft tissue pain of middle finger of left hand
C2017004  soft tissue pain of distal phalanx of middle finger of left hand (symptom)
C2017005  soft tissue pain of middle phalanx of middle finger of left hand (symptom)
C2017006  soft tissue pain of proximal phalanx of middle finger of left hand (symptom)
C2017007  soft tissue pain of ring finger of left hand
C2017008  soft tissue pain of distal phalanx of ring finger of left hand (symptom)
C2017009  soft tissue pain of middle phalanx of ring finger of left hand (symptom)
C2017010  soft tissue pain of proximal phalanx of ring finger of left hand (symptom)
C2017016  soft tissue pain of left thumb
C2017017  soft tissue pain of distal phalanx of left thumb (symptom)
C2017018  soft tissue pain of proximal phalanx of left thumb
C2017019  soft tissue pain of index finger of right hand (symptom)
C2017020  soft tissue pain of distal phalanx of index finger of right hand (symptom)
C2017021  soft tissue pain of middle phalanx of index finger of right hand
C2017022  soft tissue pain of proximal phalanx of index finger of right hand
C2017023  soft tissue pain of little finger of right hand (symptom)
C2017024  soft tissue pain of distal phalanx of little finger of right hand
C2017025  soft tissue pain of middle phalanx of little finger of right hand (symptom)
C2017026  soft tissue pain of proximal phalanx of little finger of right hand (symptom)
C2017027  soft tissue pain of middle finger of right hand (symptom)
C2017028  soft tissue pain of distal phalanx of middle finger of right hand (symptom)
C2017029  soft tissue pain of middle phalanx of middle finger of right hand (symptom)
C2017030  soft tissue pain of proximal phalanx of middle finger of right hand (symptom)
C2017031  soft tissue pain of ring finger of right hand (symptom)
C2017032  soft tissue pain of distal phalanx of ring finger of right hand
C2017033  soft tissue pain of middle phalanx of ring finger of right hand (symptom)
C2017034  soft tissue pain of proximal phalanx of ring finger of right hand
C2017040  soft tissue pain of right thumb (symptom)
C2017041  soft tissue pain of distal phalanx of right thumb
C2017042  soft tissue pain of proximal phalanx of right thumb (symptom)
C2017043  soft tissue pain in toes (symptom)
C2017044  soft tissue pain in toes just when cold (symptom)
C2017045  soft tissue pain in toes when wearing shoes (symptom)
C2017046  soft tissue pain in the left index finger distal phalanx along the extensor surface
C2017047  soft tissue pain in the left index finger distal phalanx along the flexor surface
C2017048  soft tissue pain L index finger mid phalanx extensor surface
C2017049  soft tissue pain L index finger mid phalanx flexor surface
C2017050  soft tissue pain in the left index finger proximal phalanx along the extensor surface
C2017051  soft tissue pain in the left index finger proximal phalanx along the flexor surface
C2017052  soft tissue pain in the left little finger distal phalanx along the extensor surface
C2017053  soft tissue pain in the left little finger distal phalanx along the flexor surface
C2017054  soft tissue pain in the left little finger middle phalanx along the extensor surface
C2017055  soft tissue pain L little finger mid phalanx flexor surface
C2017056  soft tissue pain in the left little finger proximal phalanx along the extensor surface
C2017057  soft tissue pain in the left little finger proximal phalanx along the flexor surface
C2017058  soft tissue pain in the left middle finger distal phalanx along the extensor surface
C2017059  soft tissue pain in the left middle finger distal phalanx along the flexor surface
C2017060  soft tissue pain in the left middle finger middle phalanx along the extensor surface
C2017061  soft tissue pain L middle finger mid phalanx flexor surface
C2017062  soft tissue pain in the left middle finger proximal phalanx along the extensor surface
C2017063  soft tissue pain in the left middle finger proximal phalanx along the flexor surface
C2017064  soft tissue pain in the left ring finger distal phalanx along the extensor surface
C2017065  soft tissue pain L ring finger distal phalanx flexor surface
C2017066  soft tissue pain in the left ring finger middle phalanx along the extensor surface
C2017067  soft tissue pain L ring finger middle phalanx flexor surface
C2017068  soft tissue pain in the left ring finger proximal phalanx along the extensor surface
C2017069  soft tissue pain in the left ring finger proximal phalanx along the flexor surface
C2017070  soft tissue pain in the left thumb distal phalanx along the extensor surface
C2017071  soft tissue pain in the left thumb distal phalanx along the flexor surface
C2017072  soft tissue pain L thumb proximal phalanx extensor surface
C2017073  soft tissue pain in the left thumb proximal phalanx along the flexor surface
C2017074  pain in the right foot on the bottom
C2017075  pain on bottom of right forefoot center
C2017076  pain on bottom of right forefoot center radiating to 4th toe
C2017077  pain on bottom of right forefoot center radiating to 2nd toe
C2017078  pain on bottom of right forefoot center radiating to 3rd toe
C2017079  pain on bottom of right forefoot
C2017080  right forefoot pain on bottom better after rest
C2017081  right forefoot pain on bottom increases with activity
C2017082  pain on bottom of right forefoot lateral
C2017083  pain on bottom of right forefoot medial
C2017084  right foot pain on top over center forefoot
C2017085  pain in the right foot on top
C2017086  right foot pain on top over forefoot
C2017087  right foot pain on top over lateral forefoot
C2017088  right foot pain on top over medial forefoot
C2017089  right foot pain on top over midfoot
C2017090  soft tissue pain in the right index finger distal phalanx along the extensor surface
C2017091  soft tissue pain in the right index finger distal phalanx along the flexor surface
C2017092  soft tissue pain R index finger mid phalanx extensor surface
C2017093  soft tissue pain R index finger mid phalanx flexor surface
C2017094  soft tissue pain in the right index finger proximal phalanx along the extensor surface
C2017095  soft tissue pain in the right index finger proximal phalanx along the flexor surface
C2017096  soft tissue pain in the right little finger distal phalanx along the extensor surface
C2017097  soft tissue pain in the right little finger distal phalanx along the flexor surface
C2017098  soft tissue pain in the right little finger middle phalanx along the extensor surface
C2017099  soft tissue pain R little finger mid phalanx flexor surface
C2017100  soft tissue pain in the right little finger proximal phalanx along the extensor surface
C2017101  soft tissue pain in the right little finger proximal phalanx along the flexor surface
C2017102  soft tissue pain in the right middle finger distal phalanx along the extensor surface
C2017103  soft tissue pain in the right middle finger distal phalanx along the flexor surface
C2017104  soft tissue pain in the right middle finger middle phalanx along the extensor surface
C2017105  soft tissue pain R middle finger mid phalanx flexor surface
C2017106  soft tissue pain in the right middle finger proximal phalanx along the extensor surface
C2017107  soft tissue pain in the right middle finger proximal phalanx along the flexor surface
C2017108  soft tissue pain in the right ring finger distal phalanx along the extensor surface
C2017109  soft tissue pain R ring finger distal phalanx flexor surface
C2017110  soft tissue pain in the right ring finger middle phalanx along the extensor surface
C2017111  soft tissue pain R ring finger middle phalanx flexor surface
C2017112  soft tissue pain in the right ring finger proximal phalanx along the extensor surface
C2017113  soft tissue pain in the right ring finger proximal phalanx along the flexor surface
C2017114  soft tissue pain in the right thumb distal phalanx along the extensor surface
C2017115  soft tissue pain in the right thumb distal phalanx along the flexor surface
C2017116  soft tissue pain R thumb proximal phalanx extensor surface
C2017117  soft tissue pain in the right thumb proximal phalanx along the flexor surface
C2029213  cyanosis of hand or foot (symptom)
C2029231  hanging, extra skin
C2032150  dorsal pain in both feet
C2032192  left heel pain worse while jumping
C2032193  left heel pain worse while running
C2032194  left heel pain worse while standing
C2032253  right heel pain worse while jumping
C2032254  right heel pain worse while running
C2032255  right heel pain worse while standing
C2032294  non-joint foot pain disproportionate to injury
C2032295  foot pain occurring often at night (symptom)
C2032296  non-joint foot pain precipitated
C2032297  non-joint foot pain precipitated by cold weather
C2032298  factors relieving foot pain (symptom)
C2032299  foot pain relieved by medication (symptom)
C2032300  non-joint foot pain relieved by sitting down with feet elevated
C2032301  non-joint foot pain relieved by sitting down with feet hanging
C2032302  non-joint foot pain worsens
C2032303  non-joint foot pain worse with lying down
C2032304  pain in fingertip (symptom)
C2032349  left heel pain
C2032350  dorsal left foot pain
C2032352  lateral left heel pain
C2032353  medial left heel pain
C2032354  left heel pain occurring after rest
C2032355  left heel pain occuring at night
C2032356  plantar left heel pain
C2032357  plantar-lateral left heel pain
C2032358  plantar-medial left heel pain
C2032359  posterior left heel pain
C2032360  unrelenting left heel pain
C2032361  pain in left heel worse with weightbearing (symptom)
C2032362  left heel pain worst with first few steps
C2032418  right heel pain
C2032419  medial right foot pain
C2032421  lateral right heel pain
C2032422  medial right heel pain
C2032423  right heel pain occuring after rest
C2032424  right heel pain occuring at night
C2032425  plantar right heel pain
C2032426  plantar-lateral right heel pain
C2032427  plantar-medial right heel pain
C2032428  posterior right heel pain
C2032429  right heel pain relieved by dangling the feet
C2032430  unrelenting right heel pain
C2032431  right heel pain worse with foot elevation
C2032432  pain in right heel worse with weightbearing
C2032433  right heel pain worst with first few steps
C2032580  pain of left arch
C2032581  pain of right arch (symptom)
C2032582  pain in the left foot on the bottom
C2032583  shooting plantar left foot pain
C2032584  pain on bottom of left forefoot (symptom)
C2032585  central plantar left forefoot pain
C2032586  pain on bottom of left forefoot center radiating to fourth toe (symptom)
C2032587  pain on bottom of left forefoot center radiating to 2nd toe
C2032588  pain on bottom of left forefoot center radiating to 3rd toe
C2032589  lateral plantar left forefoot pain
C2032590  medial plantar left forefoot pain
C2032591  pain on bottom of left midfoot
C2032592  diffuse plantar left midfoot pain
C2032593  shooting plantar right foot pain
C2032594  pain on bottom of right midfoot (symptom)
C2032595  diffuse plantar right midfoot pain
C2032596  pain on bottoms of both feet
C2032707  pain shooting from inside of left ankle into left foot (symptom)
C2032708  pain shooting from inside of right ankle into right foot
C2032709  pain shooting from inside of ankle into foot
C2032731  painful genital lesion (symptom)
C2032736  painful skin area without rash or sore
C2036419  stretch marks in skin (symptom)
C2037194  foot pain sudden onset
C2037201  duration of sudden redness of skin
C2037202  frequency of sudden redness of skin
C2037203  sudden redness of skin lasting several hours (symptom)
C2037204  sudden redness of skin lasting several minutes (symptom)
C2037205  flushing precipitated by stressful situations
C2037206  flushing precipitated
C2037207  flushing precipitated by alcohol
C2037208  flushing precipitated by food
C2037209  flushing precipitated by minimal exertion
C2037210  sudden redness of skin several times a day (symptom)
C2037211  sudden redness of skin several times a month
C2037212  sudden redness of skin several times a week (symptom)
C2037303  superficial skin pain (symptom)
C2037304  superficial skin pain of lower leg
C2039340  symptoms involving nails
C2045658  cyanosis with cold temperature
C2045659  cyanosis with exertion (symptom)
C2045660  change in color of skin to gray or ashen
C2045661  circumoral pallor
C2045674  callus on bottom of foot (symptom)
C2047122  hot flashes after recent gynecological surgery (symptom)
C2047123  hot flashes after recent orchiectomy (symptom)
C2047124  hot flashes after recent treatment for prostate cancer
C2047125  gradual onset of hot flashes
C2047126  sudden onset of hot flashes
C2047127  hot flashes with recent cessation of estrogen therapy (symptom)
C2048807  increase in hair growth on back of hand
C2048808  increase in hair growth on forearm (symptom)
C2048809  increase in hair growth on top of foot (symptom)
C2051864  peeling of skin between toes (symptom)
C2052727  crusted penile lesion (symptom)
C2057725  change in color of skin to metallic gray or blue color (symptom)
C2074685  chronic dry skin
C2077829  arm (upper) is blue (cyanosis) intermittent
C2079572  persistent cyanosis (symptom)
C2108380  itching after warm bath or shower
C2108381  itching between toes (symptom)
C2108382  itching causing awakening from sleep
C2108384  itching of both breasts
C2108385  itching of abdomen (symptom)
C2108386  itching of both ears
C2108387  itching of left ear (symptom)
C2108388  itching of palms and soles
C2108389  itching of right ear (symptom)
C2108390  itching of soles
C2108391  itching of teeth (symptom)
C2114690  currently nursing with pain in left breast during lactation
C2114691  currently nursing with pain in right breast during lactation
C2116330  tingling from waist down (symptom)
C2116331  tingling of feet
C2116332  tingling in perianal region (symptom)
C2116333  tingling in perineum
C2116334  factors exacerbating tingling (symptom)
C2116335  tingling made worse by exercise
C2116336  tingling made worse by heat (symptom)
C2116337  tingling made worse by stress
C2116338  tingling of arms
C2116339  tingling of arms or legs during exercise
C2116340  tingling of both arms (symptom)
C2116341  tingling of both arms and both legs (symptom)
C2116342  tingling of both feet
C2116343  tingling of both forearms
C2116344  tingling of dorsum of both forearms (symptom)
C2116345  tingling of inner aspect of both forearms (symptom)
C2116346  tingling of outer aspect of both forearms (symptom)
C2116347  tingling of volar aspect of both forearms (symptom)
C2116348  tingling of both hands
C2116349  tingling of both legs
C2116350  tingling of hands
C2116351  tingling of left arm (symptom)
C2116352  tingling of left first and second toes (symptom)
C2116353  tingling of left fourth and fifth toes (symptom)
C2116354  tingling of left fourth toe (symptom)
C2116355  tingling of left great toe
C2116356  tingling of left hand (symptom)
C2116357  tingling of left leg
C2116358  tingling of left little toe
C2116359  tingling of left middle toe
C2116360  tingling of left second and third toes (symptom)
C2116361  tingling of left second toe (symptom)
C2116362  tingling of left third and fourth toes
C2116363  tingling of thumb, index, and middle fingers of left hand (symptom)
C2116364  tingling of legs (symptom)
C2116365  tingling of one entire side (symptom)
C2116366  tingling of right first and second toes
C2116367  tingling of right fourth and fifth toes
C2116368  tingling of right fourth toe
C2116369  tingling of right great toe
C2116370  tingling of right hand (symptom)
C2116371  tingling of right little toe
C2116372  tingling of right middle toe (symptom)
C2116373  tingling of right second and third toes (symptom)
C2116374  tingling of right second toe (symptom)
C2116375  tingling of right third and fourth toes (symptom)
C2116376  tingling of shoulder
C2116377  tingling of ankle (symptom)
C2116378  tingling of back of both arms
C2116379  tingling of back of left arm (symptom)
C2116380  tingling of left calf (symptom)
C2116381  tingling of back of right arm (symptom)
C2116382  tingling of right calf (symptom)
C2116383  tingling of back of left thigh (symptom)
C2116384  tingling of back of right thigh
C2116385  tingling of chin
C2116386  tingling of both sides of chin (symptom)
C2116387  tingling of left side of chin (symptom)
C2116388  tingling of right side of chin
C2116389  left-sided hemiparesthesia
C2116390  right-sided hemiparesthesia
C2116391  tingling of forearm (symptom)
C2116392  tingling of forehead (symptom)
C2116393  tingling of left side of forehead (symptom)
C2116394  tingling of right side of forehead (symptom)
C2116395  tingling of front of both arms
C2116396  tingling of front of left arm
C2116397  tingling of front of left thigh (symptom)
C2116398  tingling of front of right arm (symptom)
C2116399  tingling of right shin (symptom)
C2116400  tingling of hands at night (symptom)
C2116401  tingling of inner aspect of left arm (symptom)
C2116402  tingling of inner aspect of left lower leg (symptom)
C2116403  tingling of inner aspect of right lower leg (symptom)
C2116404  tingling of inner aspect of right thigh (symptom)
C2116405  tingling of left ankle (symptom)
C2116406  tingling of left buttock (symptom)
C2116407  tingling of left cheek
C2116408  tingling of left foot only
C2116409  tingling of left forearm
C2116410  tingling of dorsum of left forearm (symptom)
C2116411  tingling of inner aspect of left forearm (symptom)
C2116412  tingling of outer aspect of left forearm (symptom)
C2116413  tingling of volar aspect of left forearm
C2116414  tingling of left groin
C2116415  tingling of index finger of left hand (symptom)
C2116416  tingling of little finger of left hand (symptom)
C2116417  tingling of middle finger of left hand
C2116418  tingling of ring and little fingers of left hand (symptom)
C2116419  tingling of ring finger of left hand (symptom)
C2116420  tingling of left shoulder
C2116421  tingling of left thumb (symptom)
C2116422  tingling of thumb and index finger of left hand (symptom)
C2116423  tingling of lower lip (symptom)
C2116424  tingling of medial aspect of left ankle (symptom)
C2116425  tingling of medial aspect of left ankle into arch
C2116426  tingling of medial aspect of right ankle (symptom)
C2116427  tingling of medial aspect of right ankle into arch
C2116428  tingling of outer aspect of both arms
C2116429  tingling of outer aspect of left arm
C2116430  tingling of outer aspect of left lower leg (symptom)
C2116431  tingling of outer aspect of left thigh
C2116432  tingling of outer aspect of right arm (symptom)
C2116433  tingling of outer aspect of right lower leg (symptom)
C2116434  tingling of outer aspect of right thigh (symptom)
C2116435  tingling of right ankle
C2116436  tingling of right arm (symptom)
C2116437  tingling of right buttock
C2116438  tingling of right cheek
C2116439  tingling of right foot only
C2116440  tingling of right forearm
C2116441  tingling of dorsum of right forearm (symptom)
C2116442  tingling of inner aspect of right forearm
C2116443  tingling of outer aspect of right forearm (symptom)
C2116444  tingling of volar aspect of right forearm (symptom)
C2116445  tingling of right groin (symptom)
C2116446  tingling of index finger of right hand (symptom)
C2116447  tingling of right leg
C2116448  tingling of little finger of right hand (symptom)
