C0000731  ABDOMINAL DISTENTION
C0231397  Anticipatory anxiety, NOS
C0231398  Anticipatory anxiety, mild
C0231399  Anticipatory anxiety, moderate
C0231400  Anticipatory anxiety, severe
C0231401  Mild anxiety
C0231402  Moderate anxiety
C0231403  Severe anxiety (panic)
C0231405  Powerlessness, severe
C0231406  Powerlessness, low
C0231407  Powerlessness, moderate
C0231411  Unresolved independence-dependence conflict
C0231417  Alteration in parenting
C0231426  Avoidance coping
C0231444  Flail
C0231513  Nocturnal muscle spasm
C0231519  Diffuse rigidity
C0231535  ACCL
C0231536  AOCL
C0231537  CCCL
C0231538  COCL
C0231634  Paravertebral muscle spasm
C0231651  Flail arm
C0231685  Antalgic gait
C0231686  UNSTABLE GAIT
C0231687  Gait, spastic
C0231688  GAIT SHUFFLING
C0231689  Athetotic gait
C0231691  Cerebellar gait
C0231693  Charcot's gait
C0231694  FESTINATING GAIT
C0231695  Gait, reeling
C0231696  Hemiplegic gait
C0231698  Scissor gait
C0231716  Gluteal gait
C0232389  Abnormal keratinization
C0232465  Occasional overeating
C0232591  Gastric hypertonus
C0232693  BORBORYGMUS
C0232694  Bowel sounds, increased
C0232696  Absence of bowel sounds
C0233180  Chaussier's sign
C0233408  Disorientation as to time
C0233409  Disorientation as to place
C0233415  Distractability
C0233417  Poor concentration
C0233465  AFFECT LOSS
C0233481  Worry
C0233484  Detached mood
C0233490  Hyposensitivity
C0233519  SUSPICIOUSNESS
C0233542  Family conflict
C0233569  Wandering
C0233657  Flight of ideas
C0233729  Coprolalia
C0233730  Obscene speech
C0233740  Repetition of words
C0233741  Repetition of phrases
C0233767  Haptic hallucination
C0233771  Macropsia
C0233797  Paramnesia
C0233921  Sexual exposure
C0233922  Sexual overexposure
C0233956  Statutory rape
C0234019  Sexual anhedonia
C0234072  Abnormal nervous system function
C0234090  Abnormal nerve conduction
C0234092  Abnormal axonal conduction
C0234094  Abnormal saltatory conduction
C0234146  Absence of reflex
C0234155  Abnormal postural reflex
C0234162  DYSMETRIA
C0234164  Hypermetria
C0234180  Chvostek's sign
C0234181  Trousseau's sign
C0234185  SENSATION AND PAIN
C0234199  Absence of vibratory sense
C0234216  HEMIANESTHESIA
C0234218  Absence of 2-point discrimination
C0234236  Hemianalgesia
C0234237  Hemihypalgesia
C0234266  Abnormal unpleasant perception of strong scent, NOS
C0234269  THIRD CRANIAL NERVE FUNCTIONS AND DYSFUNCTIONS
C0234271  FOURTH CRANIAL NERVE FUNCTIONS AND DYSFUNCTIONS
C0234274  FIFTH CRANIAL NERVE FUNCTIONS AND DYSFUNCTIONS
C0234286  SIXTH CRANIAL NERVE FUNCTIONS AND DYSFUNCTIONS
C0234289  SEVENTH CRANIAL NERVE FUNCTIONS AND DYSFUNCTIONS
C0234308  EIGHTH CRANIAL NERVE FUNCTIONS AND DYSFUNCTIONS
C0234314  NINTH CRANIAL NERVE FUNCTIONS AND DYSFUNCTIONS
C0234324  TENTH CRANIAL NERVE FUNCTIONS AND DYSFUNCTIONS
C0234334  ELEVENTH CRANIAL NERVE FUNCTIONS AND DYSFUNCTIONS
C0234338  TWELFTH CRANIAL NERVE FUNCTIONS AND DYSFUNCTIONS
C0234418  Left handedness
C0234425  Level of consciousness
C0234488  Paraphasia, NOS
C0234492  Paragraphia
C0234502  Agnosia, visual
C0234509  Finger agnosia
C0234518  SLURRED SPEECH
C0234543  Postictal state
C0234559  Normal intracranial pressure
C0234565  Cerebrospinal fluid formation, decreased
C0234574  Axon function, normal
C0234584  Sensory loss, spinal nerve
C0234585  Dissociated spinal nerve sensory loss
C0234630  Tunnel vision
C0234641  Abnormal corneal reflex
C0234648  Non-Rhythmic Abnormal Eye Movements
C0234650  Ocular flutter
C0234651  Ocular bobbing
C0234719  Scotoma, physiologic
C0234784  Absent gag reflex
C0234964  Bad balance
C0234971  EPILEPTIC EQUIVALENT
C0234975  CONVULSIONS AGGRAVATED
C0234976  Lowered convulsive threshold
C0234987  DIZZINESS POSTURAL
C0234988  DIZZINESS EXERTIONAL
C0234996  GAIT RIGID
C0235000  GAIT BROADENED
C0235008  MUSCULAR HYPERACTIVITY
C0235010  MUSCULAR UNREST
C0235012  ACTIVITY MOTOR EXAGGERATED
C0235019  MOVEMENTS REDUCED
C0235020  RESPONSES VOLUNTARY REDUCED
C0235041  COLDNESS LOCAL
C0235043  DRAWING NECK
C0235047  SENSORY ABERRATIONS
C0235061  POLIO-LIKE PARALYSIS
C0235066  SCOTOMA PERIPHERAL
C0235070  UNCONSCIOUS PARTIAL
C0235071  AROUSAL DIFFICULT
C0235072  DOPINESS
C0235093  BLADDER PARALYSIS
C0235095  VISUAL FIELD CONSTRICTION
C0235096  VISION PERIPHERAL DECREASED
C0235101  DISCOMPOSURE MARKED
C0235113  EMOTIONAL POVERTY
C0235115  AMBITION LOSS OF
C0235117  EMOTIONAL WITHDRAWAL
C0235118  INITIATIVE LOSS OF
C0235161  SLEEP DECREASED
C0235193  TORPOR
C0235194  DRUGGEDNESS
C0235196  SUICIDAL TENDENCY
C0235198  CONCENTRATION IMPAIRED
C0235229  CILIARY SPASM
C0235231  PUPILS PINPOINT
C0235291  TASTE GARLIC
C0235356  TEETH YELLOW
C0235396  HYPERTONICITY
C0235532  CYANOSIS PERIPHERAL
C0235702  DEBILITY MARKED
C0235839  FEVER NEONATAL
C0235844  AGITATION NEONATAL
C0236018  AURA
C0236071  THROAT TIGHTNESS
C0236711  Amphetamine Intoxication
C0236850  Diagnosis Deferred on Axis II
C0236858  Partner Relational Problem
C0236861  Physical Abuse of Child
C0236869  No Diagnosis on Axis II
C0236870  No Diagnosis or Condition on Axis I
C0237176  Assumes new role (finding)
C0237177  Loses previous role
C0237180  Minimal shared activities (finding)
C0237187  Disrupted spiritual rituals
C0237188  Disrupted spiritual trust (finding)
C0237192  Difficulty coping with grief responses (finding)
C0237200  Scattered attention (finding)
C0237203  Difficulty managing stress (finding)
C0237208  Difficulty expressing intimacy (finding)
C0237209  Sexual identity confusion
C0237211  Dissatisfied with sexual relationship (finding)
C0237220  Abusive behavior
C0237225  Inappropriately left alone
C0237226  Lacks necessary supervision
C0237240  Inappropriate behavior for age
C0237244  Difficulty hearing normal speech tones (finding)
C0237249  Difficulty seeing distant objects (finding)
C0237284  UNRESPONSIVE
C0237341  Fears delivery procedure
C0237827  Social Rejection
C0237849  DESQUAMATION
C0238547  Abdominal guarding
C0238569  rebound tenderness of abdomen
C0238594  ADNEXAL TENDERNESS
C0238651  ANKLE CLONUS
C0238652  ANKLE ERYTHEMA
C0238739  muscle spasms in lower back (symptom)
C0238986  erythema on chest (physical finding)
C0239058  Chvostek Sign Positive
C0239063  Circumoral pallor
C0239067  Difficulty climbing stairs
C0239227  skin lesion on ears (symptom)
C0239343  Acral erythema
C0239378  pallor of extremities (physical finding)
C0239390  plaque on the lower extremities
C0239513  Facial pallor
C0239574  Low grade pyrexia
C0239582  cyanosis of finger
C0239585  erythema of finger (physical finding)
C0239639  desquamation of feet
C0239644  Erythema of foot
C0239652  Paraesthesia of foot
C0239735  Gingival erythema
C0239807  hallucinogen use
C0239817  desquamation of hand
C0239821  Erythema of hand
C0239830  Hand muscle atrophy
C0239831  Hand muscle weakness
C0239852  head CT scan brain atrophy
C0239885  dull headache (symptom)
C0239953  high pitched bowel sounds (physical finding)
C0240080  Weakness of jaw muscles
C0240193  crusts on lip
C0240209  scales on lip (physical finding)
C0240210  skin lesion on lip
C0240264  Bending gait
C0240302  Masseter spasm
C0240341  Micrographia
C0240353  Moro reflex absent
C0240354  Moro reflex present
C0240369  Erythema of mucous membrane of mouth (finding)
C0240391  Mucous membrane erythema (finding)
C0240443  Transverse nail ridge
C0240491  Tenderness of neck
C0240514  nodules on the chest nipple(s)
C0240575  skin lesion on nose (symptom)
C0240596  Fear of becoming fat
C0240682  pain in the pelvic girdle
C0240766  pipe smoking
C0240773  erythema of plantar aspect of foot
C0240778  Absent plantar response
C0240928  craving salt (symptom)
C0240930  crusts on scalp
C0240964  Positive scotoma
C0241083  crusting skin lesion (physical finding)
C0241113  polygonal skin lesions as symptom
C0241140  skin papule: brown [as symptom]
C0241365  Erythema of thigh
C0241681  visual distortion
C0241752  Erythema of wrist
C0242385  Bite, Cross
C0262630  SHORT ATTENTION SPAN
C0266491  Neuronal heterotopia
C0266868  Habitual abrasion of teeth
C0266935  Malocclusion due to mouth breathing
C0266937  Malocclusion due to lip habits
C0270280  Deferred condition on Axis I
C0270281  No condition on Axis III
C0270282  Deferred condition on Axis III
C0270284  Deferred diagnosis on Axis IV
C0270286  Deferred assessment on Axis V
C0270614  Intracranial lump
C0270685  Cerebral calcification
C0270691  Cyst of spinal meninges
C0270695  Reaction to spinal puncture
C0270696  Reaction to lumbar puncture
C0271012  Retained magnetic foreign body in vitreous
C0271014  Retained magnetic foreign body in multiple sites
C0271196  Centrocecal scotoma
C0271197  Paracentral scotoma
C0271198  Arcuate defects
C0271200  Bjerrum scotoma
C0271202  Homonymous bilateral field defects
C0271203  Right homonymous hemianopsia
C0271204  Left homonymous hemianopsia
C0271205  Altitudinal hemianopsia
C0271207  Heteronymous bilateral field defects
C0271208  Binasal hemianopia
C0271211  Erythropia
C0271381  Skew deviation
C0274248  Foreign body in nasopharynx
C0277646  First degree murder
C0277647  Murder, second degree
C0277649  Homicide, justifiable
C0277651  Matricide
C0277652  Patricide
C0277653  Fratricide
C0277654  Sororicide
C0277655  Murder of spouse
C0277657  Murder of friend
C0277658  Murder of acquaintance
C0277659  Murder of stranger
C0277660  Murder by hired killer
C0277661  Gangland execution
C0277662  Homicide attempt
C0277665  First known suicide attempt
C0277666  Previous known suicide attempt
C0277667  Suicide attempt by adequate means
C0277668  Suicide by multiple means
C0277670  Suicide under legal jurisdiction
C0277725  Victim of physical assault, NOS
C0277726  Victim of trampling
C0277730  Victim of sexual aggression
C0277731  Rape victim
C0277732  Rape victim, statutory
C0277733  Victim of homosexual agression
C0277800  Hectic fever
C0277807  Lack of exercise
C0277822  Splinting of muscles
C0277840  Glove anesthesia
C0277843  Distal tingling on percussion (Tinel's sign)
C0277948  Increased thickness of skin
C0277949  Decreased thickness of skin
C0277957  Abnormal keratinization of hair follicle
C0277958  Abnormal keratinization of nail matrix
C0277999  Excessive belching
C0278084  Erotophobia
C0278090  Precocious pseudopuberty
C0278091  Isosexual precocious pseudopuberty
C0278124  Absent tendon reflex
C0278136  Dissociated sensory loss
C0278151  Facial spasm, NOS
C0278152  Hemifacial spasm
C0278156  Franklinic taste
C0278164  Glasgow coma scale, 3
C0278166  Glasgow coma scale, 5
C0278167  Glasgow coma scale, 6
C0278168  Glasgow coma scale, 7
C0278169  Glasgow coma scale, 8
C0278170  Glasgow coma scale, 9
C0278171  Glasgow coma scale, 10
C0278172  Glasgow coma scale, 11
C0278173  Glasgow coma scale, 12
C0278174  Glasgow coma scale, 13
C0278175  Glasgow coma scale, 14
C0278176  Glasgow coma scale, 15
C0278185  Atonic seizure, brief
C0278205  Inequality in size of cerebral ventricles
C0278207  Sunken fontanel
C0278211  Absent corneal reflex
C0278228  Binocular vision, fusion
C0278231  A V nicking
C0278232  Blurring of the disk margins
C0281981  Skin Mass
C0311394  Gait difficulty
C0311395  Gait, limp
C0334168  New Bone Formations
C0337210  GAIT STUMBLING
C0337632  Career choice problem
C0337664  Smoker
C0337667  Cigarette smoker
C0337671  Ex-smoker
C0337672  Non-smoker
C0337682  Ex-drug user
C0338572  SAH - Subarachnoid haemorrhage from ruptured aneurysm
C0338597  Choroid plexus cyst
C0338599  Ependymal cyst
C0338700  Barbiturate abuse
C0339173  Conj deposits due to drugs
C0339346  Miotic cyst of iris
C0339347  Miotic cyst of ciliary body
C0339666  Nystagmus and other irregular eye movements
C0339806  Feather allergy
C0340658  Vertebral artery rupture
C0342420  Pituitary cyst
C0342540  Arrested puberty
C0342576  Growth hormone receptor absent
C0342577  GH receptor abnormality
C0342658  Hypomagnesaemic tetany
C0343310  Hypomagnesaemic tetany in newborn
C0344169  Penicillin-induced anaphylaxis
C0344197  Emotional abuse of child
C0344198  Adult abuse
C0344298  Cupping of the optic disk
C0344315  Feeling of sadness
C0344329  Collapse
C0344484  Spinal arachnoid cyst
C0347827  O/E - delirious
C0347829  O/E - pinpoint pupils
C0347836  O/E - delayed puberty
C0347843  O/E - acalculia
C0347845  O/E - pupil small
C0347943  Pelvic swelling, NOS
C0349435  Subarach haem from mult aneur
C0349436  Subarach haem frm ant cer a an
C0349440  Subarach haem frm pst cer a an
C0349444  Subar haem pst inf cerebl a an
C0349445  Subarach haem frm carotid a an
C0349448  Dissociated anaesthesia
C0349506  Photosensitivity
C0349594  Rupt aneurysm of ant cer art
C0349595  Rupt aneurysm of mid cer art
C0349596  Rupt aneurysm of pst cer art
C0349598  Rup aneurysm of post com art
C0349600  Rup aneur post inf cerebel a
C0349601  Rupt int carot-ant com aneur
C0349602  Rupt int carot-pst com aneur
C0349603  Rupt int carot bifur aneurys
C0349608  Spinal epidermoid cyst
C0375700  nutritional child neglect (diagnosis)
C0375716  Adult neglect-nutrition
C0376405  Noncompliance with medical treatment
C0392168  EMPROSTHOTONUS
C0392183  PEDALING
C0392751  Incarcerated
C0393707  Situation-related seizures
C0393709  Isolated seizures
C0393710  Seizur in resp to acute/tox ev
C0393711  Anoxic seizure
C0393768  REM-sleep type
C0393772  non-24-hour sleep-wake rhythm
C0393782  Morning glory disc
C0393969  Drop attacks in mid aged woman
C0393976  Postoperative cerebrospinal fluid leak
C0395001  Situational panic attack
C0395002  Non-situational panic attack
C0395004  Examination fear
C0395956  Tinnitus of muscular origin
C0395957  Tinnitus arising from tensor tympani
C0395958  Tinnitus arising from tensor palatini
C0395960  SOAE - SOAE related tinnitus
C0399412  Extrinsic staining of tooth
C0399413  Betel deposit on teeth
C0399414  Tobacco deposit on teeth
C0399415  Extrinsic stain tooth - black
C0399416  Extrinsic stain tooth - brown
C0399417  Extrinsic staining of tooth - chromogenic plaque flora
C0399489  Iron pigmentation of oral mucosa
C0399556  Malocclusion due to finger habits
C0405138  Postnatal vaginal discomfort
C0406487  Rosaceal flushing
C0410923  Rumination in newborn
C0410961  Neonatal tetany no ca/mag def
C0413322  Battered baby syndrome NOS
C0413326  Emotional deprivation of child
C0413627  AR - metoclopramide
C0413637  Adverse reaction to treosulfan
C0413698  Adverse reaction diamorphine
C0413702  AR - buprenorphine
C0413704  AR - dextromoramide
C0413793  Adverse reaction to isoflurane
C0413794  Adverse reaction to enflurane
C0413799  Adverse reaction to etomidate
C0413800  Adverse reaction to propofol
C0413930  Adverse reaction to acebutolol
C0413968  Adverse reaction to danthron
C0413971  Adverse reaction to senna
C0413975  Adverse reaction to lactulose
C0414027  Adverse reaction to mebeverine
C0419426  Bonding problems
C0419429  Maternal tobacco abuse
C0420260  Patient requests alternative treatment
C0420856  Hypertension induced by o.c
C0420877  Uses contraceptive sheath
C0422813  Clinical function
C0422838  Nervous system exam. NAD
C0422839  No nervous system symptom
C0422870  Absence seiz,impair consc only
C0422871  Absence seiz, mild clonic comp
C0422873  Absence seiz, tonic components
C0422874  Absence seizure with automatisms
C0422875  Absence seiz,autonom component
C0422878  CNS observation
C0422884  Loss of body image
C0422886  Neglect of part of body
C0422887  Neglect of one side of body
C0422888  Neglect of affected side
C0422889  Neglect of arm
C0422890  Neglect of leg
C0422893  Disorientation as to space
C0422916  Bilat flexor plantar response
C0422917  Bilat extens plantar response
C0422918  Equivocal plantar response
C0422920  Bilat equiv plantar response
C0422922  Unilat absent plantar response
C0422923  Bilat absent plantar response
C0422924  Spinal nerve root observation
C0422925  Sciatic nerve root observation
C0422930  Femoral nerve root observation
C0422932  Root irritat non-organic orig
C0422936  Peripheral nerve observation
C0422937  Ulnar nerve observation
C0422938  Excess mobil ulnar n at elbow
C0422939  Palpable thickening of ulnar nerve at elbow
C0422940  Median nerve observation
C0422964  Temporary visual disturbance
C0422968  Sees patterns
C0422974  Halo vision
C0422980  Movement of visual image
C0422984  Multiple visual images
C0422987  Loss of part of visual field
C0422989  Peripheral ring scotoma
C0422990  Local peripheral scotoma
C0422991  Altitudinal scotoma
C0422993  Complete homonymous hemianopia
C0422994  Incomplete homonym hemianopia
C0422996  Inattention homon hemianopia
C0422997  Complete bitemporal hemianopia
C0422998  Incomplete bitemp hemianopia
C0423034  Convergence on approaching object
C0423082  Hypometric saccades
C0423083  Hypermetric saccades
C0423085  Cogwheel eye movements
C0423090  VOR - Vestibulo-ocular resp
C0423094  Ocular dipping
C0423114  Inner canthus observation
C0423115  Hyperaemia of caruncle of eye
C0423116  Scarring of caruncle of eye
C0423134  Aberrant III nerve regeneration
C0423135  Cyclic III nerve palsy
C0423146  Lateral canthus observation
C0423253  Corneal stromal wound
C0423302  Absent pupillary reflex
C0423303  Fixed constricted pupil
C0423310  Wernicke's hemianopic pupil
C0423383  Retinal artery observation
C0423385  Copper wire retinal artery
C0423387  Retinal arteries irregular
C0423388  Retinal arteries sheathed
C0423389  Narrowing of retinal vessels
C0423391  AV - Arterioven cross change
C0423393  Distension of vein beyond arteriovenous crossing
C0423401  Retinal arterial tortuosity
C0423402  Retinal macroaneurysm
C0423451  Optic disc observation
C0423452  Clear disc margin
C0423454  Optic cup filled
C0423456  Optic disc tissue remnants
C0423457  Optic disc hyaloid vasc remn
C0423458  Optic disc glial tissue remn
C0423459  Optic disc vascular anomaly
C0423464  Optic disc - myopic changes
C0423465  Optic disc myopic crescent
C0423466  Optic disc myopic tract'n fold
C0423467  Optic disc - sector notching
C0423469  Large optic disc and cup
C0423470  Optic disc pathological cup
C0423472  Optic disc vasc observation
C0423473  Optic disc venous collaterals
C0423474  Optic disc spont venous pulsat
C0423475  Optic disc - venous pulsation only on pressure
C0423476  Optic disc - venous pulsation absent
C0423539  Hearing for speech
C0423540  Hearing for quiet voice
C0423541  Hearing for conversation voice
C0423542  Hearing for loud voice
C0423551  Sensory symptom NOS
C0423555  Deep pressure touch
C0423557  Discrimination between sharp and blunt
C0423564  Abnormal taste in mouth
C0423565  Taste of food lingers
C0423569  Things smell different
C0423570  Abnormal smell in nose
C0423576  Irritation of ear
C0423578  Has an itchy eye
C0423581  Has numbness
C0423594  Sensation as if period due
C0423595  Sensation as bladder not empty
C0423596  Persist abd sensn after mictn
C0423597  Persist perin sensn after mict
C0423598  Sensation as bowel not empty
C0423601  Sensation of swelling
C0423602  Foreign body sensation
C0423603  Pricking pain
C0423620  Headache site
C0423722  Excessive sensitivity to pain
C0423724  Low tolerance of pain
C0423726  High tolerance of pain
C0423743  female dyspareunia due to physical condition (diagnosis)
C0423744  Dyspareunia due to non-psychogenic cause in the male
C0423745  Superfic pain on intercourse
C0423747  Deep dyspareunia
C0423748  Sexual function painful
C0423749  Painful orgasm
C0423758  Thick skin
C0423760  Woody indurat skin + subcutis
C0423774  Scurfiness of skin
C0423824  Bitten nails
C0423852  Delayed growth 2ry sex hair
C0423908  Difficulty making decisions
C0423915  Forgets what was going to do
C0423916  Forgets what was going to say
C0423917  Forgets recent activities
C0423918  Forgets what has just done
C0423919  Forgets what has just said
C0423920  Forgets what has just read
C0423921  Forgets what has just seen
C0423922  Forgets what has just heard
C0423930  Amnesia for day to day facts
C0423934  Amnes importnt personal inform
C0423945  Memory: own age
C0423953  Memory: present year
C0423956  Memory: own DOB
C0423958  Memory: present month
C0423984  Persistent thoughts
C0423988  Sexual preoccupation
C0423995  Bewildered
C0423997  Thought echo
C0424000  Suicidal Thought(s)
C0424001  Planning suicide
C0424003  Sexually obscene thoughts
C0424007  Poor grasp abstract concepts
C0424015  Getting lost
C0424016  Getting lost inside the home
C0424017  Found wandering the streets
C0424018  Delusion of grandiose ability
C0424019  Delusion of grandiose identity
C0424020  Delusion of special mission
C0424021  Religious delusion
C0424025  Delusion associated with smell
C0424026  Delusion assoc sex hallucinatn
C0424027  Bizarre delus assoc body sensn
C0424028  Delusion concerning appearance
C0424029  Delusion of being loved
C0424030  Delusion of catastrophe
C0424031  Depress delusion catastrophe
C0424032  Depressive delusion of poverty
C0424033  Hypochondriacal delusion
C0424034  Depressive hypochond delusion
C0424035  Delus replace will ext force
C0424036  Delusion of control of voice
C0424037  Delusion control handwriting
C0424038  Delusion of own appearance
C0424039  Overestimates own body weight
C0424040  Underestimates own body weight
C0424047  Perception of things changing shape
C0424050  Perception that things appear flat
C0424051  Heightened perception
C0424052  Heightened auditory perception
C0424053  Sounds seem unnaturally clear
C0424055  Heightened visual perception
C0424056  Patterns appear intricately detailed
C0424057  Patterns appear interesting
C0424058  Heightened olfact perception
C0424059  Heightened perception of touch
C0424060  Heightened perception of taste
C0424061  Changed perception of time
C0424062  Time seems to go very slowly
C0424063  Time seems to go unnaturally fast
C0424064  Feels own body is unreal
C0424065  Own reflection in mirror seems unreal
C0424066  Objects seem unreal
C0424067  People seem actors in a film
C0424069  Non-verbal audit hallucinatns
C0424073  Scenic visual hallucinations
C0424074  Halluc self giving off a smell
C0424075  Halluc others giving off smell
C0424076  Hallucinations of pain
C0424077  Hallucinations of temperature
C0424078  Complex hallucinations
C0424080  Hallucinations associated with bereavement
C0424081  Sexual hallucinations
C0424084  Dissoc auditory hallucination
C0424085  Dissoc visual hallucination
C0424086  Dissoc olfact hallucination
C0424088  Dissoc tactile hallucination
C0424089  Sense of purpose
C0424095  WITHDRAWAL FROM SOCIAL CONTACTS
C0424099  Reduced concentration
C0424102  Easily distracted
C0424109  Crying associated with emotion
C0424132  Bored with life
C0424135  Diurnal variation of mood
C0424136  Depression worse in morning
C0424137  Depression worse later in day
C0424138  Seasonal variation of mood
C0424140  No nervous symptoms
C0424141  General nervous symptom NOS
C0424143  Avoids situations
C0424145  Anxiety about body function or health
C0424146  Fear of losing control bowels
C0424147  Fear of wetting self
C0424148  Fear of vomiting in public
C0424149  Fear of having a fit
C0424150  Fear of choking
C0424151  Fear of swallowing
C0424152  Fear of collapsing
C0424153  Fear of fainting
C0424154  Fear of having a heart attack
C0424155  Fear of shaking
C0424156  Fear of sweating
C0424158  Fear losing emotional control
C0424159  Fear of appearing foolish
C0424160  Fear of saying the wrong thing
C0424161  Fear of going out
C0424162  Fear of empty streets
C0424163  Fear of crossing streets
C0424167  Fear of activities in public
C0424170  Fear of using public toilets
C0424171  Fear of writing in public
C0424172  Fear of social group activities
C0424173  Fear of being in a small group
C0424174  Fear of social gatherings
C0424175  Fear of speaking on the phone
C0424176  Fear of speaking to people in authority
C0424177  Fear of being laughed at
C0424178  Fear of being watched
C0424179  Fear of natural phenomena
C0424180  Fear of feathers
C0424182  Fear of tunnels
C0424183  Fear of phone boxes
C0424185  Fear assoc illness, body funct
C0424187  Fear of injections
C0424188  Fear of masks
C0424189  Fear of hospitals
C0424190  Fear of contracting disease
C0424192  Fear contracting venereal dis
C0424193  Fear contract radiation sickn
C0424194  Fear of the bogey man
C0424195  Fear of ghosts
C0424197  Obsess thought harm property
C0424198  Obsess thought of being robbed
C0424199  Obsessional thoughts of fire
C0424200  Obsess thoughts of explosions
C0424201  Obs thought cause harm others
C0424202  Obsess thought cause accidents
C0424203  Obsess thoughts of poisoning
C0424204  Obs thought give other illness
C0424205  Obs thought causing harm self
C0424206  Obsess thought contamination
C0424207  Obsessional thought of disease
C0424208  Obsessional thoughts of dirt
C0424209  Obsessional thoughts of germs
C0424210  Obsessional doubts
C0424211  Obsess thought of incompletion
C0424212  Obs thought throw things away
C0424218  Poor evaluation of self
C0424219  Lack of self-esteem
C0424220  Pathological guilt
C0424221  Guilty ideas of reference
C0424228  Stillness
C0424229  Frozen watchfulness
C0424230  Psychomotor Retardation
C0424231  Delayed start to movement
C0424232  Lack of spontaneous movement
C0424233  Arms not swung when walking
C0424234  Squirming
C0424235  Fidgeting
C0424236  Constant movement
C0424237  Actions not completed
C0424238  Aimless movement
C0424239  Aimless overactivity
C0424240  Destructive motor activity
C0424241  Violent motor activity
C0424243  Forced grasping
C0424244  Freezing in one posture
C0424245  Automatic compliance
C0424246  Repetitive routines
C0424247  Flapping movements of hands
C0424248  Flapping movements of arms
C0424258  Flicking objects near eyes
C0424259  Flicking hands near eyes
C0424266  Clinging to special objects
C0424268  Arr obj str lin stereotyp rout
C0424269  Posturing routine
C0424270  Complex mannerism - stereotype
C0424271  Resistance to change
C0424272  Resist changes in environment
C0424273  Resist changes house contents
C0424274  Resist change pattern activity
C0424280  Blank, staring face sleep walk
C0424281  Unrespons communicn sleep walk
C0424282  Not easily wakened from sleep walking
C0424285  Compulsive checking
C0424286  Compulsive repeating
C0424287  Compulsive washing
C0424288  Compulsive handwashing
C0424289  Compulsive cleaning
C0424290  Compulsive hoarding
C0424292  Compulsive counting
C0424293  Compulsive tidying
C0424294  Compulsive arrangement objects
C0424295  Hyperactivity
C0424297  Making impulsive remarks
C0424298  Making insensitive remarks
C0424299  Inapprop approaches to others
C0424300  Invades others' personal space
